index,pageName,question,answer,condition,next,click,hover,mouse,pointer,score,key,delta,participant
2024-07-25 15:36:32.113,Background Questions,0,14,undefined,1,0,0,0,0,,,0.0,pa
2024-07-25 15:36:32.113,Background Questions,1,2023-2024,undefined,1,0,0,0,0,,,0.0,pa
2024-07-25 15:36:32.113,Background Questions,2,9th grade,undefined,1,0,0,0,0,,,0.0,pa
2024-07-25 15:36:32.113,Background Questions,3,regular,undefined,1,0,0,0,0,,,0.0,pa
2024-07-25 15:36:44.421,P1,qID-2,MN,static,0,0,0,0,0,1.0,MN,12.308,pa
2024-07-25 15:36:50.554,P1,qID-3,HJ,static,0,0,0,0,0,1.0,HJ,6.133,pa
2024-07-25 15:36:59.666,P1,qID-1,BC,static,0,0,0,0,0,1.0,BC,9.112,pa
2024-07-25 15:37:12.207,P2,qID-1,Angle GHJ,static,0,0,0,0,0,1.0,Angle GHJ,12.541,pa
2024-07-25 15:37:19.032,P2,qID-3,Angle NQP,static,0,0,0,0,0,1.0,Angle NQP,6.825,pa
2024-07-25 15:37:30.463,P2,qID-2,Angle DEF,static,0,0,0,0,0,1.0,Angle DEF,11.431,pa
2024-07-25 15:38:32.580,P7,qID-1,RHL (Right-Hypotenuse-Leg),static,0,0,0,0,0,1.0,RHL (Right-Hypotenuse-Leg),62.117,pa
2024-07-25 15:38:36.880,P7,qID-13,No,static,0,0,0,0,0,1.0,No,4.3,pa
2024-07-25 15:38:46.335,P7,qID-11,"be the same shape, not necessarily the same size",static,0,0,0,0,0,0.0,"be the same shape and size, can be mirror images of each other",9.455,pa
2024-07-25 15:38:48.653,P7,qID-12,No,static,0,0,0,0,0,1.0,No,2.318,pa
2024-07-25 15:39:01.710,P6,qID-1,ASA (Angle-Side-Angle),static,0,0,0,0,0,1.0,ASA (Angle-Side-Angle),13.057,pa
2024-07-25 15:39:17.334,P5,qID-1,AAS (Angle-Angle-Side),static,0,0,0,0,0,1.0,AAS (Angle-Angle-Side),15.624,pa
2024-07-25 15:39:30.122,P4,qID-1,SSS (Side-Side-Side),static,0,0,0,0,0,1.0,SSS (Side-Side-Side),12.788,pa
2024-07-25 15:39:40.195,P3,qID-1,SAS (Side-Angle-Side),static,0,8,54,9,15,1.0,SAS (Side-Angle-Side),10.073,pa
2024-07-25 15:41:15.722,TutorialProof1,qID-1,No,interactive,0,2,45,10,4,1.0,No,95.527,pa
2024-07-25 15:44:12.432,TutorialProof1,qID-2,No,interactive,0,2,29,8,0,1.0,No,176.71,pa
2024-07-25 15:45:12.764,TutorialProof2,qID-1,No,interactive,1,7,35,2,0,1.0,No,60.332,pa
2024-07-25 15:50:00.627,T1_S1_IN1,qID-3,Yes,interactive,0,0,0,0,0,0.0,No,287.863,pa
2024-07-25 15:50:15.324,T1_S1_IN1,qID-1,Yes,interactive,0,0,0,0,0,0.0,No,14.697,pa
2024-07-25 15:50:22.532,T1_S1_IN1,qID-2,Yes,interactive,0,0,0,0,0,0.0,No,7.208,pa
2024-07-25 15:51:59.945,T1_S1_C3,qID-2,No,static,0,0,0,0,0,1.0,No,97.413,pa
2024-07-25 15:52:15.822,T1_S1_C3,qID-4,Yes,static,0,0,0,0,0,1.0,Yes,15.877,pa
2024-07-25 15:53:09.757,T1_S1_C3,qID-1,Yes,static,0,0,0,0,0,1.0,Yes,53.935,pa
2024-07-25 15:53:42.383,T1_S1_C3,qID-3,No,static,0,19,2,6,0,1.0,No,32.626,pa
2024-07-25 15:55:30.646,T1_S1_IN3,qID-1,Yes,interactive,0,0,30,1,0,1.0,Yes,108.263,pa
2024-07-25 15:55:50.728,T1_S1_IN3,qID-3,Yes,interactive,0,1,11,1,0,1.0,Yes,20.082,pa
2024-07-25 15:56:03.261,T1_S1_IN3,qID-2,Yes,interactive,0,0,0,0,0,0.0,No,12.533,pa
2024-07-25 15:57:11.950,T1_S1_C1,qID-2,Yes,static,0,0,0,0,0,1.0,Yes,68.689,pa
2024-07-25 15:57:21.326,T1_S1_C1,qID-3,Yes,static,0,0,0,0,0,0.0,No,9.376,pa
2024-07-25 15:59:44.648,T1_S1_C1,qID-1,Yes,static,0,0,0,0,0,1.0,Yes,143.322,pa
