index,pageName,question,answer,condition,next,click,hover,mouse,pointer,score,key,delta,participant
2024-07-25 15:36:31.516,Background Questions,0,15,undefined,1,0,0,0,0,,,0.0,pb
2024-07-25 15:36:31.516,Background Questions,1,2024,undefined,1,0,0,0,0,,,0.0,pb
2024-07-25 15:36:31.516,Background Questions,2,10,undefined,1,0,0,0,0,,,0.0,pb
2024-07-25 15:36:31.516,Background Questions,3,honors,undefined,1,0,0,0,0,,,0.0,pb
2024-07-25 15:37:31.829,P1,qID-1,BC,static,0,0,0,0,0,1.0,BC,60.313,pb
2024-07-25 15:37:43.461,P1,qID-3,HJ,static,0,0,0,0,0,1.0,HJ,11.632,pb
2024-07-25 15:37:53.384,P1,qID-2,MN,static,0,0,0,0,0,1.0,MN,9.923,pb
2024-07-25 15:38:01.791,P2,qID-3,Angle NQP,static,0,0,0,0,0,1.0,Angle NQP,8.407,pb
2024-07-25 15:38:13.813,P2,qID-2,Angle DEF,static,0,0,0,0,0,1.0,Angle DEF,12.022,pb
2024-07-25 15:38:23.976,P2,qID-1,Angle GHJ,static,0,0,0,0,0,1.0,Angle GHJ,10.163,pb
2024-07-25 15:38:34.664,P3,qID-1,SAS (Side-Angle-Side),static,0,0,0,0,0,1.0,SAS (Side-Angle-Side),10.688,pb
2024-07-25 15:39:10.343,P3,qID-11,"be the same shape, not necessarily the same size",static,0,0,0,0,0,0.0,"be the same shape and size, can be mirror images of each other",35.679,pb
2024-07-25 15:39:14.725,P3,qID-12,No,static,0,0,0,0,0,1.0,No,4.382,pb
2024-07-25 15:39:23.183,P3,qID-13,Yes,static,0,0,0,0,0,0.0,No,8.458,pb
2024-07-25 15:40:06.361,P7,qID-1,SAS (Side-Angle-Side),static,0,0,0,0,0,0.0,RHL (Right-Hypotenuse-Leg),43.178,pb
2024-07-25 15:40:13.254,P6,qID-1,ASA (Angle-Side-Angle),static,0,0,0,0,0,1.0,ASA (Angle-Side-Angle),6.893,pb
2024-07-25 15:40:25.337,P5,qID-1,AAS (Angle-Angle-Side),static,0,0,0,0,0,1.0,AAS (Angle-Angle-Side),12.083,pb
2024-07-25 15:40:31.270,P4,qID-1,SSS (Side-Side-Side),static,0,6,109,5,2,1.0,SSS (Side-Side-Side),5.933,pb
2024-07-25 15:42:14.896,TutorialProof1,qID-1,Yes,interactive,0,3,44,2,5,0.0,No,103.626,pb
2024-07-25 15:43:04.544,TutorialProof1,qID-2,Yes,interactive,0,2,16,3,0,0.0,No,49.648,pb
2024-07-25 15:44:02.826,TutorialProof2,qID-1,No,interactive,1,4,29,8,0,1.0,No,58.282,pb
2024-07-25 15:46:51.610,T1_S1_C1,qID-2,Yes,static,0,0,0,0,0,1.0,Yes,168.784,pb
2024-07-25 15:46:55.368,T1_S1_C1,qID-3,Yes,static,0,0,0,0,0,0.0,No,3.758,pb
2024-07-25 15:46:57.393,T1_S1_C1,qID-1,No,static,0,1,9,5,0,0.0,Yes,2.025,pb
2024-07-25 15:48:02.889,T1_S1_C3,qID-3,No,interactive,0,0,12,1,0,1.0,No,65.496,pb
