index,pageName,question,answer,condition,next,click,hover,mouse,pointer,score,key,delta,participant
2024-07-24 20:16:51.395,Background Questions,0,20,undefined,0,0,0,0,0,,,0.0,pilotB
2024-07-24 20:16:51.395,Background Questions,1,2017,undefined,0,0,0,0,0,,,0.0,pilotB
2024-07-24 20:16:51.395,Background Questions,2,15,undefined,0,0,0,0,0,,,0.0,pilotB
2024-07-24 20:16:51.396,Background Questions,3,,undefined,1,0,0,0,0,,,0.001,pilotB
2024-07-24 20:17:07.636,P1,qID-3,HJ,static,0,0,0,0,0,1.0,HJ,16.24,pilotB
2024-07-24 20:17:29.604,P1,qID-2,MN,static,0,0,0,0,0,1.0,MN,21.968,pilotB
2024-07-24 20:17:36.894,P1,qID-1,BC,static,0,0,0,0,0,1.0,BC,7.29,pilotB
2024-07-24 20:17:45.955,P2,qID-2,Angle DEF,static,0,0,0,0,0,1.0,Angle DEF,9.061,pilotB
2024-07-24 20:17:52.712,P2,qID-3,Angle NQP,static,0,0,0,0,0,1.0,Angle NQP,6.757,pilotB
2024-07-24 20:17:59.965,P2,qID-1,Angle GHJ,static,0,0,0,0,0,1.0,Angle GHJ,7.253,pilotB
2024-07-24 20:18:23.021,P5,qID-1,AAS (Angle-Angle-Side),static,0,0,0,0,0,1.0,AAS (Angle-Angle-Side),23.056,pilotB
2024-07-24 20:18:25.166,P5,qID-13,No,static,0,0,0,0,0,1.0,No,2.145,pilotB
2024-07-24 20:18:28.016,P5,qID-12,No,static,0,0,0,0,0,1.0,No,2.85,pilotB
2024-07-24 20:18:54.762,P5,qID-11,"be the same shape and size, can be mirror images of each other",static,0,0,0,0,0,1.0,"be the same shape and size, can be mirror images of each other",26.746,pilotB
2024-07-24 20:19:07.422,P7,qID-1,SSA (Side-Side-Angle),static,0,0,0,0,0,0.0,RHL (Right-Hypotenuse-Leg),12.66,pilotB
2024-07-24 20:19:12.860,P6,qID-1,ASA (Angle-Side-Angle),static,0,0,0,0,0,1.0,ASA (Angle-Side-Angle),5.438,pilotB
2024-07-24 20:19:25.828,P4,qID-1,SSS (Side-Side-Side),static,0,0,0,0,0,1.0,SSS (Side-Side-Side),12.968,pilotB
