index,pageName,question,answer,condition,next,click,hover,mouse,pointer,score,key,delta,participant
2024-07-24 20:10:37.961,Background Questions,0,20,undefined,1,0,0,0,0,,,0.0,pilotD
2024-07-24 20:10:37.961,Background Questions,1,9th grade,undefined,1,0,0,0,0,,,0.0,pilotD
2024-07-24 20:10:37.961,Background Questions,2,College Junior,undefined,1,0,0,0,0,,,0.0,pilotD
2024-07-24 20:10:37.961,Background Questions,3,Honors,undefined,1,0,0,0,0,,,0.0,pilotD
2024-07-24 20:10:48.666,P1,qID-3,HJ,static,0,0,0,0,0,1.0,HJ,10.705,pilotD
2024-07-24 20:11:14.932,P1,qID-1,BC,static,0,0,0,0,0,1.0,BC,26.266,pilotD
2024-07-24 20:11:19.702,P1,qID-2,MN,static,0,0,0,0,0,1.0,MN,4.77,pilotD
2024-07-24 20:11:26.740,P2,qID-1,Angle GHJ,static,0,0,0,0,0,1.0,Angle GHJ,7.038,pilotD
2024-07-24 20:11:31.590,P2,qID-2,Angle DEF,static,0,0,0,0,0,1.0,Angle DEF,4.85,pilotD
2024-07-24 20:11:39.908,P2,qID-3,Angle NQP,static,0,0,0,0,0,1.0,Angle NQP,8.318,pilotD
2024-07-24 20:12:12.422,P5,qID-1,AAS (Angle-Angle-Side),static,0,0,0,0,0,1.0,AAS (Angle-Angle-Side),32.514,pilotD
2024-07-24 20:12:15.355,P5,qID-12,No,static,0,0,0,0,0,1.0,No,2.933,pilotD
2024-07-24 20:12:19.284,P5,qID-13,No,static,0,0,0,0,0,1.0,No,3.929,pilotD
2024-07-24 20:12:37.232,P5,qID-11,"be the same shape and size, can be mirror images of each other",static,0,0,0,0,0,1.0,"be the same shape and size, can be mirror images of each other",17.948,pilotD
2024-07-24 20:12:50.861,P3,qID-1,SAS (Side-Angle-Side),static,0,0,0,0,0,1.0,SAS (Side-Angle-Side),13.629,pilotD
2024-07-24 20:13:12.994,P7,qID-1,RHL (Right-Hypotenuse-Leg),static,0,0,0,0,0,1.0,RHL (Right-Hypotenuse-Leg),22.133,pilotD
2024-07-24 20:13:16.976,P4,qID-1,SSS (Side-Side-Side),static,0,0,0,0,0,1.0,SSS (Side-Side-Side),3.982,pilotD
2024-07-24 20:13:21.987,P6,qID-1,ASA (Angle-Side-Angle),static,0,8,34,9,16,1.0,ASA (Angle-Side-Angle),5.011,pilotD
2024-07-24 20:14:46.377,TutorialProof1,qID-1,Yes,interactive,0,3,47,16,36,0.0,No,84.39,pilotD
