,id,question,version,time_elapsed,proof,score,pilot,order,questionText,reasoning,cues,steps,reasonCorrect,understanding,misconception,questionType,reason
15,seal,qID-11,A,1.372,S1_IN1,1.0,0,1,Is there a mistake? [11],"yes, there's a mistake","inconsistency, relies on, tick marks, all proof text","step 3, step 4",right,"geometric, direct lookup",,1.0,1
16,seal,qID-12,A,2.159,S1_IN1,1.0,0,1,Which step is wrong? [12],step 4,"inconsistency, construction, all proof text","step 3, step 4",right,"geometric, direct lookup",,2.0,1
17,seal,qID-13,A,1.239,S1_IN1,0.0,0,1,Describe reasoning [13],there's already enough information for SAS so to fix they would remove the red tick marks,"tick marks, construction, earlier proof steps (text)",step 4,wrong,"geometric, direct lookup",,3.0,0
18,seal,qID-2,A,5.321,S1_IN1,1.0,0,1,conclude BA congruent to CB? [2],no because different tick marks,"tick marks, construction",step 5,right,"geometric, direct lookup",,4.0,1
19,seal,qID-3,A,46.725,S1_IN1,1.0,0,1, conclude <DBA congruent to <BCD? [3],"no, not the same tick marks","construction, tick marks",step 5,right,"geometric, direct lookup",,4.0,1
21,seal,qID-11,A,10.541,S1_IN3,0.0,0,2,Is there a mistake? [11],"no mistake, quad == rectangle","construction, inconsistency, tick marks, all proof text",step 4,wrong,geometric,,1.0,0
22,seal,qID-3,A,16.644,S1_IN3,1.0,0,2,conclude KN congruent to ML? [3],yes bc matching ticks,"construction, tick marks",step 4,right,"geometric, direct lookup",,4.0,1
24,seal,qID-11,A,1.554,S1_IN2,1.0,0,3,Is there a mistake? [11],"yes, there's a mistake","inconsistency, construction, all proof text, tick marks, relies on",step 5,right,"geometric, direct lookup",,1.0,1
25,seal,qID-12,A,21.311,S1_IN2,1.0,0,3,Which step is wrong? [12],"step 5, issue with reason","tick marks, all proof text, construction",step 5,right,"geometric, direct lookup",,2.0,1
26,seal,qID-13,A,91.144,S1_IN2,0.0,0,3,Describe reasoning [13],use SSA to fix,construction,step 5,wrong,geometric,,3.0,0
27,seal,qID-2,A,19.456,S1_IN2,1.0,0,3,conclude KL congruent to KM? [2],no bc different ticks,tick marks,step 5,right,"geometric, direct lookup",,4.0,1
28,seal,qID-1,A,25.796,S1_IN2,1.0,0,3,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],"yes, can be used anywhere",,"step 4, step 1, step 2",right,geometric,,5.0,1
30,seal,qID-11,A,4.717,S1_C2,3.0,0,4,Is there a mistake? [11],no mistake,"construction, all proof text",step 9,right,geometric,,1.0,1
31,seal,qID-3,A,9.773,S1_C2,1.0,0,4,enough info...Congruent Adjacent Angles at step 5? [3],yes enough information,"earlier proof steps (text), relies on",step 5,right,geometric,,5.0,1
32,seal,qID-4,A,8.357,S1_C2,1.0,0,4,enough info...ASA at step 7? [4],yes enough information,"earlier proof steps (text), relies on",step 7,right,geometric,,5.0,1
34,seal,qID-11,A,10.7,S1_C1,3.0,0,5,Is there a mistake? [11],no mistake,"construction, all proof text",step 7,right,geometric,,1.0,1
35,seal,qID-2,A,22.861,S1_C1,1.0,0,5,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],"yes, enough information",earlier proof steps (text),"step 4, step 1, step 2",right,geometric,,5.0,1
36,seal,qID-3,A,10.513,S1_C1,0.0,0,5,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],thinks there's enough information (you COULD conclude that there's enough info for SAS but filled in the vertical angles in their head),"construction, tick marks","step 5, step 3, step 4",wrong,geometric,,5.0,0
38,seal,qID-11,A,1.558,S2_IN2,1.0,0,6,Is there a mistake? [11],"yes, wrong use of CPCTC","construction, inconsistency, tick marks",step 7,right,"geometric, direct lookup",,1.0,1
39,seal,qID-12,A,9.698,S2_IN2,1.0,0,6,Which step is wrong? [12],"step 7, wrong use of CPCTC","construction, inconsistency",step 7,right,"geometric, direct lookup",,2.0,1
40,seal,qID-13,A,6.075,S2_IN2,1.0,0,6,Describe reasoning [13],,,step 7,right,geometric,,3.0,1
41,seal,qID-2,A,16.093,S2_IN2,1.0,0,6,conclude <MYZ congruent to <MWX? [2],"different angles, not congruent",construction,step 7,right,"geometric, direct lookup",,4.0,1
42,seal,qID-1,A,75.743,S2_IN2,1.0,0,6,enough info...Alternate Interior Angles (Converse) (step 8) bw steps 2 and 3? [1],not enough information to complete,"earlier proof steps (text), construction","step 2, step 3",right,geometric,,5.0,1
43,seal,qID-11,A,67.111,S2_C2,3.0,0,7,Is there a mistake? [11],no mistake,"construction, all proof text",step 10,right,geometric,,1.0,1
44,seal,qID-2,A,22.719,S2_C2,1.0,0,7,conclude <BAF congruent to <DCB? [2],"no, different ticks","construction, tick marks",step 1,right,"geometric, direct lookup",,4.0,1
45,seal,qID-1,A,83.525,S2_C2,1.0,0,7,enough info...SAS Triangle Congruence (step 9) bw steps 7 and 8? [1],no not enough information,earlier proof steps (text),"step 9, step 7, step 8",right,geometric,,5.0,1
48,seal,qID-11,A,3.027,S2_IN1,0.0,0,8,Is there a mistake? [11],"no mistake, saw red inconsistency but didn't understand what it meant or how to read it","construction, inconsistency, all proof text","step 8, step 9",wrong,geometric,,1.0,0
49,seal,qID-2,A,18.6,S2_IN1,0.0,0,8,conclude tLNU congruent to tUQL? [2],"yes, enough information",earlier proof steps (text),step 9,wrong,geometric,,4.0,0
65,zebra,qID-11,B,12.905,S1_IN1,0.0,0,1,Is there a mistake? [11],"looked at construction (showing SSA) and thought SAS requirements were met, so there's no mistake","construction, all proof text, tick marks",,wrong,geometric,,1.0,0
66,zebra,qID-2,B,24.422,S1_IN1,1.0,0,1,conclude BA congruent to CB? [2],"Not the same # of ticks, so no","tick marks, construction",,right,geometric,,4.0,1
67,zebra,qID-3,B,39.191,S1_IN1,1.0,0,1, conclude <DBA congruent to <BCD? [3],no because angles are not congruent to each other,"tick marks, construction",,right,geometric,,4.0,1
69,zebra,qID-11,B,77.084,S1_C2,3.0,0,2,Is there a mistake? [11],no mistake,"construction, all proof text",,right,geometric,,1.0,1
70,zebra,qID-4,B,29.344,S1_C2,1.0,0,2,enough info...ASA at step 7? [4],"yes, requirements for ASA met","construction, earlier proof steps (text)",,right,geometric,,5.0,1
71,zebra,qID-3,B,17.343,S1_C2,1.0,0,2,enough info...Congruent Adjacent Angles at step 5? [3],"yes, lines established to be perpendicular","construction, earlier proof steps (text)",,right,geometric,,5.0,1
73,zebra,qID-11,B,35.664,S1_C1,0.0,0,3,Is there a mistake? [11],yes bc thinks can't prove lines are parallel using triangle congruence,"construction, tick marks, all proof text",,wrong,geometric,,1.0,0
74,zebra,qID-12,B,30.351,S1_C1,0.0,0,3,Which step is wrong? [12],"step 7, issue with saying AC || BD","construction, all proof text",,wrong,geometric,,2.0,0
75,zebra,qID-13,B,29.739,S1_C1,0.0,0,3,Describe reasoning [13],doesn't think the last line can be corrected,,,wrong,geometric,,3.0,0
76,zebra,qID-2,B,60.054,S1_C1,1.0,0,3,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],"yes, knows lines are intersecting before","construction, earlier proof steps (text)",,right,geometric,,5.0,1
77,zebra,qID-3,B,16.369,S1_C1,1.0,0,3,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],"no, need vertical angles before","construction, earlier proof steps (text)",,right,geometric,,5.0,1
