,id,questionType,points,version,time,score
0,capybara,1.0,4.0,B,25.908,0.5
1,capybara,2.0,4.0,B,15.797749999999999,0.5
2,capybara,3.0,3.0,B,15.923,0.375
3,capybara,4.0,5.0,B,34.11714285714286,0.7142857142857143
4,capybara,5.0,6.0,B,35.86671428571429,0.8571428571428571
5,eagle,1.0,2.0,B,15.908,0.25
6,eagle,2.0,2.0,B,49.751666666666665,0.25
7,eagle,3.0,2.0,B,29.099333333333334,0.25
8,eagle,4.0,2.0,B,25.14414285714286,0.2857142857142857
9,eagle,5.0,2.0,B,29.709600000000002,0.2857142857142857
10,elephant,1.0,7.0,A,12.489625,0.875
11,elephant,2.0,6.0,A,20.908875000000002,0.75
12,elephant,3.0,6.0,A,41.688875,0.75
13,elephant,4.0,7.0,A,24.23671428571429,1.0
14,elephant,5.0,7.0,A,59.84285714285714,1.0
15,giraffe,1.0,7.0,A,20.561,0.875
16,giraffe,2.0,7.0,A,9.083571428571428,0.875
17,giraffe,3.0,5.0,A,24.348000000000003,0.625
18,giraffe,4.0,4.0,A,24.23442857142857,0.5714285714285714
19,giraffe,5.0,3.0,A,19.860999999999997,0.42857142857142855
20,hedgehog,1.0,8.0,A,25.692875,1.0
21,hedgehog,2.0,6.0,A,11.445625,0.75
22,hedgehog,3.0,4.0,A,27.0685,0.5
23,hedgehog,4.0,5.0,A,21.82842857142857,0.7142857142857143
24,hedgehog,5.0,6.0,A,14.887,0.8571428571428571
25,hippo,1.0,3.0,B,51.188625,0.375
26,hippo,2.0,2.0,B,19.6606,0.25
27,hippo,3.0,1.0,B,32.8842,0.125
28,hippo,4.0,5.0,B,29.710285714285714,0.7142857142857143
29,hippo,5.0,7.0,B,36.991,1.0
30,lemur,1.0,5.0,B,39.784625,0.625
31,lemur,2.0,4.0,B,21.893,0.5
32,lemur,3.0,2.0,B,37.36533333333333,0.25
33,lemur,4.0,5.0,B,26.487285714285715,0.7142857142857143
34,lemur,5.0,6.0,B,55.97557142857143,0.8571428571428571
35,lion,1.0,5.0,A,42.720375,0.625
36,lion,2.0,4.0,A,39.2624,0.5
37,lion,3.0,4.0,A,46.479,0.5
38,lion,4.0,6.0,A,19.395714285714288,0.8571428571428571
39,lion,5.0,7.0,A,21.72442857142857,1.0
40,peacock,1.0,8.0,A,3.691375,1.0
41,peacock,2.0,8.0,A,8.744125,1.0
42,peacock,3.0,6.0,A,36.048,0.75
43,peacock,4.0,6.0,A,19.01085714285714,0.8571428571428571
44,peacock,5.0,7.0,A,30.712142857142858,1.0
45,penguin,1.0,2.0,B,11.736875,0.25
46,penguin,2.0,1.0,B,23.3505,0.125
47,penguin,3.0,1.0,B,40.52075,0.125
48,penguin,4.0,6.0,B,32.20385714285714,0.8571428571428571
49,penguin,5.0,5.0,B,26.017714285714284,0.7142857142857143
50,seal,1.0,6.0,A,12.572500000000002,0.75
51,seal,2.0,6.0,A,19.282666666666668,0.75
52,seal,3.0,4.0,A,30.164333333333335,0.5
53,seal,4.0,6.0,A,20.794,0.8571428571428571
54,seal,5.0,6.0,A,33.795428571428566,0.8571428571428571
55,zebra,1.0,4.0,B,28.400125,0.5
56,zebra,2.0,3.0,B,26.3714,0.375
57,zebra,3.0,2.0,B,32.8684,0.25
58,zebra,4.0,5.0,B,24.452285714285715,0.7142857142857143
59,zebra,5.0,7.0,B,31.801142857142857,1.0
