participant,proof,question,reasoning,visual queues used,steps viewed?,reasoning,type of understanding,misconception
elephant,S1_C1,Is there a mistake? [11],Thinks that SAS triangle congruence is incorrectly applied because of the way that the triangles are named not aligning with matching SAS.,"statement text, construction",step 5,wrong,geometric,thinks that the ordering of the name of the triangle is significant
elephant,S1_C1,Which step is wrong? [12],step 5,,,wrong,geometric,
elephant,S1_C1,Describe reasoning [13],"Thinks that 2 pieces of information are missing, wants to find information that would match the order laid out in the proof (so an additional pair of segments and pair of angles would need to be proven true in order for the proof to be correct).","statement text, construction",,wrong,geometric,misunderstanding reqs to describe SAS
elephant,S1_C1,enough info...SAS Triangle Congruence (step 5) bw steps 3 and 4? [3],Had trouble keeping track of the information that was known and was not sure if enough sides had been proven congruent by step 3. Did not catch the fact that there was no angle demonstrated.,"construction, tick marks",,wrong,"geometric, guess",got answer right but reasoning was based on fixation that SAS was incorrectly applied
elephant,S1_C1,enough info...Vertical Angles Theorem (step 4) bw steps 1 and 2? [2],bc lines are intersecting,earlier proof steps (text),step 2,right,geometric,
elephant,S1_C2,Is there a mistake? [11],walked through the whole proof and described each step geometrically. Nothing seemed to be wrong to them/pretty straightforward read of the proof.,"construction, tick marks, all proof text",,right,geometric,
elephant,S1_C2,Which step is wrong? [12],,,,,,
elephant,S1_C2,Describe reasoning [13],,,,,,
elephant,S1_C2,enough info...Congruent Adjacent Angles at step 5? [3],bc requirements for ASA have already been met,"tick marks, construction",step 9,right,"geometric, direct lookup",
elephant,S1_C2,enough info...ASA at step 7? [4],"bc lines are established as perp, can conclude","earlier proof steps (text), construction",step 5,right,geometric,
elephant,S1_IN1,Is there a mistake? [11],"found that proof established SSA and used SAS, immediately noticed red inconsistency and then investigated: ""what's that?""","inconsistency, tick marks, construction",step 4,right,geometric,
elephant,S1_IN1,Which step is wrong? [12],"looked through proof again, checked step 5 before concluding step 4 was using SSA again","construction, tick marks, inconsistency","step 4, step 5",right,geometric,
elephant,S1_IN1,Describe reasoning [13],"add BD=BD reflexive, then use SAS",construction,step 4,right,geometric,
elephant,S1_IN1,conclude BA congruent to CB? [2],"not necessarily congruent, don't have same # of ticks","construction, tick marks",step 4,right,"geometric, direct lookup",
elephant,S1_IN1, conclude <DBA congruent to <BCD? [3],not same number of ticks,"construction, tick marks",step 4,right,"geometric, direct lookup",
elephant,S1_IN2,Is there a mistake? [11],recognized that only 1 side and 1 angle were used for ASA,"tick marks, construction, inconsistency",step 5,right,geometric,
elephant,S1_IN2,Which step is wrong? [12],step 4 because red ? was next to step 4,"inconsistency, relies on",step 5,wrong,direct lookup,didn't fully keep track of state of proof geometrically and picked answer bc of misleading visual cue
elephant,S1_IN2,Describe reasoning [13],skipped many steps established lots of extra information to prove AAS,construction,step 5,wrong,geometric,too focused on proving with AAS instead of recognizing that RHL was already met
elephant,S1_IN2,conclude KL congruent to KM? [2],don't have to be congruent,"construction, tick marks",step 5,right,"geometric, direct lookup",
elephant,S1_IN2,enough info...Reflexive Property (step 4) bw steps 1 and 2? [1],MK is always going to = MK,statement text,step 1,right,geometric,
elephant,S1_IN3,Is there a mistake? [11],notices inconsistency,"inconsistency, tick marks, construction",step 4,right,geometric,
