index,pageName,question,answer,condition,next,click,hover,mouse,pointer,score,key,delta,age,year_taken,grade,track,pretest,static_sus,inter_sus,participant
2024-07-25 15:50:00.627,T1_S1_IN1,qID-3,Yes,1,0,0,0,0,0,0,No,287.863,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 15:50:15.324,T1_S1_IN1,qID-1,Yes,1,0,0,0,0,0,0,No,14.697,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 15:50:22.532,T1_S1_IN1,qID-2,Yes,1,0,0,0,0,0,0,No,7.208,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 15:51:59.945,T1_S1_C3,qID-2,No,0,0,0,0,0,0,1,No,97.413,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 15:52:15.822,T1_S1_C3,qID-4,Yes,0,0,0,0,0,0,1,Yes,15.877,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 15:53:09.757,T1_S1_C3,qID-1,Yes,0,0,0,0,0,0,1,Yes,53.935,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 15:53:42.383,T1_S1_C3,qID-3,No,0,0,19,2,6,0,1,No,32.626,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 15:55:30.646,T1_S1_IN3,qID-1,Yes,1,0,0,30,1,0,1,Yes,108.263,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 15:55:50.728,T1_S1_IN3,qID-3,Yes,1,0,1,11,1,0,1,Yes,20.082,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 15:56:03.261,T1_S1_IN3,qID-2,Yes,1,0,0,0,0,0,0,No,12.533,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 15:57:11.950,T1_S1_C1,qID-2,Yes,0,0,0,0,0,0,1,Yes,68.689,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 15:57:21.326,T1_S1_C1,qID-3,Yes,0,0,0,0,0,0,0,No,9.376,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 15:59:44.648,T1_S1_C1,qID-1,Yes,0,0,0,0,0,0,1,Yes,143.322,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 16:00:11.612,T1_S1_C2,qID-2,Yes,0,0,0,0,0,0,1,Yes,26.964,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 16:00:33.888,T1_S1_C2,qID-1,No,0,0,0,0,0,0,0,Yes,22.276,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 16:01:43.086,T1_S1_C2,qID-4,No,0,0,0,0,0,0,0,Yes,69.198,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 16:03:21.339,T1_S1_C2,qID-3,Yes,0,0,8,12,1,3,1,Yes,98.253,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 16:07:03.802,T1_S1_IN2,qID-1,Yes,1,0,0,33,0,1,1,Yes,222.463,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 16:07:27.409,T1_S1_IN2,qID-2,No,1,1,15,95,9,1,1,No,23.607,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
2024-07-25 16:09:22.406,T1_S2_IN2,qID-1,Yes,1,0,0,0,0,0,1,Yes,114.997,14,2023-2024,9th grade,regular,0.7272727272727273,49.0,65.5,pa
