pageName,question,answer,time,version
"Background Questions","0","24","1733361144847","undefined"
"Background Questions","1","14","1733361144847","undefined"
"Background Questions","2","N/A","1733361144847","undefined"
"Background Questions","3","Honors","1733361144847","undefined"
"P1","qID-1","BC","1733361374110","static"
"P1","qID-2","MN","1733361393417","static"
"P1","qID-3","HJ","1733361417292","static"
"P2","qID-2","Angle DEF","1733361438847","static"
"P2","qID-1","Angle GHJ","1733361469087","static"
"P2","qID-3","Angle NQP","1733361478840","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1733361509214","static"
"P5","qID-13","Yes","1733361527270","static"
"P5","qID-12","No","1733361530030","static"
"P5","qID-11","be the same shape and size, can be mirror images of each other","1733361576445","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1733361586649","static"
"P7","qID-1","RHL (Right-Hypotenuse-Leg)","1733361644913","static"
"P4","qID-1","SSS (Side-Side-Side)","1733361690540","static"
"P3","qID-1","SAS (Side-Angle-Side)","1733361701834","static"
"TutorialProof1","qID-1","No","1733361980338","interactive"
"TutorialProof1","qID-2","No","1733362006620","interactive"
"TutorialProof2","qID-1","No","1733362092421","interactive"
"T1_S1_C1","qID-0","Continue","1733362189823","interactive"
"T1_S1_C1","qID-11","No","1733362291515","interactive"
"T1_S1_C1","qID-13","Continue","1733362315656","interactive"
"T1_S1_C1","qID-3","No","1733362355753","interactive"
"T1_S1_C1","qID-2","Yes","1733362407052","interactive"
"T1_S1_C2","qID-0","Continue","1733362508893","interactive"
"T1_S1_C2","qID-11","Yes","1733362607863","interactive"
"T1_S1_C2","qID-12","Step 6","1733362622971","interactive"
"T1_S1_C2","qID-13","Continue","1733362685569","interactive"
"T1_S1_C2","qID-3","Yes","1733362703689","interactive"
"T1_S1_C2","qID-4","No","1733362708066","interactive"
"T1_S1_IN1","qID-0","Continue","1733362711682","interactive"
"T1_S1_IN1","qID-11","Yes","1733362756349","interactive"
"T1_S1_IN1","qID-12","Step 4","1733362765412","interactive"
"T1_S1_IN1","qID-13","Continue","1733362806519","interactive"
"T1_S1_IN1","qID-2","No","1733362948013","interactive"
"T1_S1_IN1","qID-3","No","1733362972798","interactive"
"T1_S1_IN2","qID-0","Continue","1733363028510","interactive"
"T1_S1_IN2","qID-11","Yes","1733363057337","interactive"
"T1_S1_IN2","qID-12","Step 5","1733363116261","interactive"
"T1_S1_IN2","qID-13","Continue","1733363166193","interactive"
"T1_S1_IN2","qID-1","Yes","1733363218481","interactive"
"T1_S1_IN2","qID-2","No","1733363242706","interactive"
"T1_S1_IN3","qID-0","Continue","1733363333866","interactive"
"T1_S1_IN3","qID-11","No","1733363344214","interactive"
"T1_S1_IN3","qID-13","Continue","1733363347252","interactive"
"T1_S1_IN3","qID-3","Yes","1733363358549","interactive"
"T1_S2_IN1","qID-0","Continue","1733363479651","interactive"
"T1_S2_IN1","qID-11","Yes","1733363482617","interactive"
"T1_S2_IN1","qID-12","Step 8","1733363489570","interactive"
"T1_S2_IN1","qID-13","Continue","1733363682164","interactive"
"T1_S2_IN1","qID-2","No","1733363694459","interactive"
"T1_S2_C2","qID-0","Continue","1733363697994","interactive"
"T1_S2_C2","qID-11","No","1733363814430","interactive"
"T1_S2_C2","qID-13","Continue","1733363816309","interactive"
"T1_S2_C2","qID-1","No","1733363850602","interactive"
"T1_S2_C2","qID-2","No","1733363878871","interactive"
"T1_S2_IN2","qID-0","Continue","1733363987556","interactive"
"T1_S2_IN2","qID-11","Yes","1733363989543","interactive"
"T1_S2_IN2","qID-12","Step 7","1733363999894","interactive"
"T1_S2_IN2","qID-13","Continue","1733364016242","interactive"
"T1_S2_IN2","qID-2","No","1733364037721","interactive"
"T1_S2_IN2","qID-1","No","1733364086089","interactive"
"SUS","0","4","1733364162950","undefined"
"SUS","1","2","1733364162950","undefined"
"SUS","2","4","1733364162950","undefined"
"SUS","3","2","1733364162950","undefined"
"SUS","4","4","1733364162950","undefined"
"SUS","5","1","1733364162950","undefined"
"SUS","6","4","1733364162950","undefined"
"SUS","7","2","1733364162950","undefined"
"SUS","8","5","1733364162950","undefined"
"SUS","9","2","1733364162950","undefined"
