pageName,question,answer,time,version
"Background Questions","0","25","1733369340817","undefined"
"Background Questions","1","8th grade","1733369340817","undefined"
"Background Questions","2","adult","1733369340817","undefined"
"Background Questions","3","honors","1733369340817","undefined"
"P1","qID-2","MN","1733369418527","static"
"P1","qID-3","HJ","1733369431678","static"
"P1","qID-1","BC","1733369439843","static"
"P2","qID-1","Angle GHJ","1733369453992","static"
"P2","qID-2","Angle DEF","1733369460031","static"
"P2","qID-3","Angle NQP","1733369465693","static"
"P7","qID-1","RHL (Right-Hypotenuse-Leg)","1733369501163","static"
"P7","qID-13","No","1733369516643","static"
"P7","qID-12","Yes","1733369538712","static"
"P7","qID-11","be the same shape and size, can be mirror images of each other","1733369567702","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1733369579209","static"
"P3","qID-1","SAS (Side-Angle-Side)","1733369590583","static"
"P4","qID-1","SSS (Side-Side-Side)","1733369601075","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1733369610002","static"
"TutorialProof1","qID-1","No","1733369813899","interactive"
"TutorialProof1","qID-2","No","1733369834194","interactive"
"TutorialProof2","qID-1","No","1733369902127","interactive"
"T1_S1_IN2","qID-0","Continue","1733369965066","interactive"
"T1_S1_IN2","qID-11","Yes","1733369970954","interactive"
"T1_S1_IN2","qID-12","Step 5","1733369986567","interactive"
"T1_S1_IN2","qID-13","Continue","1733370019269","interactive"
"T1_S1_IN2","qID-2","No","1733370037282","interactive"
"T1_S1_IN2","qID-1","Yes","1733370063789","interactive"
"T1_S1_C2","qID-0","Continue","1733370119732","interactive"
"T1_S1_C2","qID-11","No","1733370130378","interactive"
"T1_S1_C2","qID-3","Yes","1733370147738","interactive"
"T1_S1_C2","qID-4","Yes","1733370160500","interactive"
"T1_S1_C1","qID-0","Continue","1733370208668","interactive"
"T1_S1_C1","qID-11","No","1733370213287","interactive"
"T1_S1_C1","qID-3","No","1733370225500","interactive"
"T1_S1_C1","qID-2","Yes","1733370237893","interactive"
"T1_S1_IN1","qID-0","Continue","1733370269313","interactive"
"T1_S1_IN1","qID-11","Yes","1733370273105","interactive"
"T1_S1_IN1","qID-12","Step 4","1733370281170","interactive"
"T1_S1_IN1","qID-13","Continue","1733370301644","interactive"
"T1_S1_IN1","qID-3","No","1733370334903","interactive"
"T1_S1_IN1","qID-2","No","1733370364390","interactive"
"T1_S1_IN3","qID-0","Continue","1733370428282","interactive"
"T1_S1_IN3","qID-11","Yes","1733370429826","interactive"
"T1_S1_IN3","qID-12","Step 4","1733370432497","interactive"
"T1_S1_IN3","qID-13","Continue","1733370454489","interactive"
"T1_S1_IN3","qID-3","Yes","1733370515341","interactive"
"T1_S2_IN2","qID-0","Continue","1733370590298","interactive"
"T1_S2_IN2","qID-11","Yes","1733370592075","interactive"
"T1_S2_IN2","qID-12","Step 7","1733370598570","interactive"
"T1_S2_IN2","qID-13","Continue","1733370618051","interactive"
"T1_S2_IN2","qID-1","No","1733370632359","interactive"
"T1_S2_IN2","qID-2","No","1733370689273","interactive"
"T1_S2_C2","qID-0","Continue","1733370743130","interactive"
"T1_S2_C2","qID-11","No","1733370747350","interactive"
"T1_S2_C2","qID-2","No","1733370764937","interactive"
"T1_S2_C2","qID-1","No","1733370786846","interactive"
"T1_S2_IN1","qID-0","Continue","1733370852533","interactive"
"T1_S2_IN1","qID-11","Yes","1733370853845","interactive"
"T1_S2_IN1","qID-12","Step 8","1733370867348","interactive"
"T1_S2_IN1","qID-13","Continue","1733370915616","interactive"
"T1_S2_IN1","qID-2","No","1733370931347","interactive"
"SUS","0","5","1733371043160","undefined"
"SUS","1","1","1733371043160","undefined"
"SUS","2","4","1733371043160","undefined"
"SUS","3","1","1733371043160","undefined"
"SUS","4","5","1733371043160","undefined"
"SUS","5","1","1733371043160","undefined"
"SUS","6","4","1733371043160","undefined"
"SUS","7","1","1733371043160","undefined"
"SUS","8","5","1733371043160","undefined"
"SUS","9","1","1733371043160","undefined"
