pageName,question,answer,time,version
"Background Questions","0","23","1733427488941","undefined"
"Background Questions","1","10","1733427488942","undefined"
"Background Questions","2","18","1733427488942","undefined"
"Background Questions","3","normal","1733427488942","undefined"
"P1","qID-3","HJ","1733427593080","static"
"P1","qID-1","BC","1733427604825","static"
"P1","qID-2","MN","1733427615337","static"
"P2","qID-2","Angle DEF","1733427626810","static"
"P2","qID-3","Angle NQP","1733427636114","static"
"P2","qID-1","Angle GHJ","1733427646672","static"
"P7","qID-1","AAS (Angle-Angle-Side)","1733427662896","static"
"P7","qID-11","be the same shape and size, can be mirror images of each other","1733427688608","static"
"P7","qID-13","Yes","1733427696507","static"
"P7","qID-12","Yes","1733427706862","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1733427722643","static"
"P3","qID-1","SAS (Side-Angle-Side)","1733427732626","static"
"P6","qID-1","AAS (Angle-Angle-Side)","1733427747690","static"
"P4","qID-1","SSS (Side-Side-Side)","1733427760964","static"
"TutorialProof1","qID-1","Yes","1733427860846","static"
"TutorialProof1","qID-2","No","1733427908495","static"
"TutorialProof2","qID-1","No","1733427950397","static"
"T1_S1_IN3","qID-0","Continue","1733428056926","static"
"T1_S1_IN3","qID-11","Yes","1733428070319","static"
"T1_S1_IN3","qID-12","Step 4","1733428115666","static"
"T1_S1_IN3","qID-13","Continue","1733428120832","static"
"T1_S1_IN3","qID-3","Yes","1733428143201","static"
"T1_S1_C1","qID-0","Continue","1733428196649","static"
"T1_S1_C1","qID-11","No","1733428199679","static"
"T1_S1_C1","qID-3","No","1733428221397","static"
"T1_S1_C1","qID-2","Yes","1733428247428","static"
"T1_S1_IN1","qID-0","Continue","1733428283716","static"
"T1_S1_IN1","qID-11","No","1733428291779","static"
"T1_S1_IN1","qID-2","No","1733428307255","static"
"T1_S1_IN1","qID-3","Yes","1733428322048","static"
"T1_S1_IN2","qID-0","Continue","1733428378122","static"
"T1_S1_IN2","qID-11","Yes","1733428380415","static"
"T1_S1_IN2","qID-12","Step 5","1733428386213","static"
"T1_S1_IN2","qID-13","Continue","1733428396784","static"
"T1_S1_IN2","qID-2","No","1733428406413","static"
"T1_S1_IN2","qID-1","Yes","1733428421829","static"
"T1_S1_C2","qID-0","Continue","1733428521453","static"
"T1_S1_C2","qID-11","No","1733428561080","static"
"T1_S1_C2","qID-3","Yes","1733428586049","static"
"T1_S1_C2","qID-4","Yes","1733428600035","static"
"T1_S2_IN1","qID-0","Continue","1733428900662","static"
"T1_S2_IN1","qID-11","Yes","1733428725058","static"
"T1_S2_IN1","qID-12","Step 9","1733428734476","static"
"T1_S2_IN1","qID-13","Continue","1733428770987","static"
"T1_S2_IN1","qID-2","No","1733428778787","static"
"T1_S2_C2","qID-0","Continue","1733428910356","static"
"T1_S2_C2","qID-11","No","1733428911804","static"
"T1_S2_C2","qID-1","No","1733428944063","static"
"T1_S2_C2","qID-2","No","1733428958062","static"
"T1_S2_IN2","qID-0","Continue","1733429052130","static"
"T1_S2_IN2","qID-11","No","1733429054287","static"
"T1_S2_IN2","qID-2","No","1733429080685","static"
"T1_S2_IN2","qID-1","No","1733429099896","static"
"SUS","0","4","1733429180853","undefined"
"SUS","1","1","1733429180853","undefined"
"SUS","2","4","1733429180853","undefined"
"SUS","3","1","1733429180853","undefined"
"SUS","4","3","1733429180853","undefined"
"SUS","5","1","1733429180853","undefined"
"SUS","6","4","1733429180853","undefined"
"SUS","7","1","1733429180853","undefined"
"SUS","8","5","1733429180853","undefined"
"SUS","9","1","1733429180853","undefined"
