pageName,question,answer,time,version
"Background Questions","0","17","1733688706071","undefined"
"Background Questions","1","10th grade","1733688706071","undefined"
"Background Questions","2","11th grade","1733688706071","undefined"
"Background Questions","3","regular","1733688706071","undefined"
"P1","qID-2","MN","1733688828550","static"
"P1","qID-1","BC","1733688853448","static"
"P1","qID-3","HJ","1733688880032","static"
"P2","qID-1","Angle GHJ","1733688915751","static"
"P2","qID-3","Angle NQP","1733688928355","static"
"P2","qID-2","Angle DEF","1733688952117","static"
"P4","qID-1","SSS (Side-Side-Side)","1733688984668","static"
"P4","qID-13","No","1733689016773","static"
"P4","qID-12","No","1733689060860","static"
"P4","qID-11","be the same shape and size, can be mirror images of each other","1733689087709","static"
"P3","qID-1","SAS (Side-Angle-Side)","1733689101426","static"
"P7","qID-1","RHL (Right-Hypotenuse-Leg)","1733689130043","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1733689146544","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1733689161414","static"
"TutorialProof1","qID-1","No","1733689452990","interactive"
"TutorialProof1","qID-2","No","1733689479025","interactive"
"TutorialProof2","qID-1","No","1733689590460","interactive"
"T1_S1_IN1","qID-0","Continue","1733689696473","interactive"
"T1_S1_IN1","qID-11","Yes","1733689739892","interactive"
"T1_S1_IN1","qID-12","Step 4","1733689752576","interactive"
"T1_S1_IN1","qID-13","Continue","1733689850195","interactive"
"T1_S1_IN1","qID-3","No","1733689863806","interactive"
"T1_S1_IN1","qID-2","No","1733689880823","interactive"
"T1_S1_C1","qID-0","Continue","1733689978523","interactive"
"T1_S1_C1","qID-11","No","1733689986192","interactive"
"T1_S1_C1","qID-3","No","1733690020711","interactive"
"T1_S1_C1","qID-2","Yes","1733690047423","interactive"
"T1_S1_IN2","qID-0","Continue","1733690098996","interactive"
"T1_S1_IN2","qID-11","Yes","1733690103996","interactive"
"T1_S1_IN2","qID-12","Step 5","1733690125026","interactive"
"T1_S1_IN2","qID-13","Continue","1733690257528","interactive"
"T1_S1_IN2","qID-1","Yes","1733690277708","interactive"
"T1_S1_IN2","qID-2","No","1733690299027","interactive"
"T1_S1_IN3","qID-0","Continue","1733690346592","interactive"
"T1_S1_IN3","qID-11","No","1733690353457","interactive"
"T1_S1_IN3","qID-3","Yes","1733690383356","interactive"
"T1_S1_C2","qID-0","Continue","1733690444510","interactive"
"T1_S1_C2","qID-11","No","1733690446508","interactive"
"T1_S1_C2","qID-3","Yes","1733690471614","interactive"
"T1_S1_C2","qID-4","Yes","1733690490806","interactive"
"T1_S2_C2","qID-0","Continue","1733690545911","interactive"
"T1_S2_C2","qID-11","No","1733690548376","interactive"
"T1_S2_C2","qID-2","No","1733690580973","interactive"
"T1_S2_C2","qID-1","No","1733690596758","interactive"
"T1_S2_IN1","qID-0","Continue","1733690677526","interactive"
"T1_S2_IN1","qID-11","Yes","1733690680874","interactive"
"T1_S2_IN1","qID-12","Step 8","1733690698177","interactive"
"T1_S2_IN1","qID-13","Continue","1733690767839","interactive"
"T1_S2_IN1","qID-2","No","1733690788858","interactive"
"T1_S2_IN2","qID-0","Continue","1733690870189","interactive"
"T1_S2_IN2","qID-11","Yes","1733690873556","interactive"
"T1_S2_IN2","qID-12","Step 7","1733690879775","interactive"
"T1_S2_IN2","qID-13","Continue","1733690904993","interactive"
"T1_S2_IN2","qID-2","No","1733690947409","interactive"
"T1_S2_IN2","qID-1","No","1733690993139","interactive"
"SUS","0","3","1733691132040","undefined"
"SUS","1","2","1733691132040","undefined"
"SUS","2","4","1733691132040","undefined"
"SUS","3","2","1733691132040","undefined"
"SUS","4","3","1733691132040","undefined"
"SUS","5","2","1733691132040","undefined"
"SUS","6","4","1733691132040","undefined"
"SUS","7","1","1733691132040","undefined"
"SUS","8","4","1733691132041","undefined"
"SUS","9","1","1733691132041","undefined"
