t,e,c,v
1733688673414,n,i,
1733688706071,n,b,
1733688798988,n,i,
1733689191527,c,pr-r,s1
1733689210169,a,pr,prove
1733689210910,a,pr,s1
1733689211559,a,pr,s2
1733689212243,a,pr,s1
1733689213064,a,pr,s2
1733689246095,a,pr,s3
1733689273940,a,pr,s4
1733689330364,a,pr,s3
1733689331050,a,pr,s4
1733689331631,a,pr,s3
1733689332253,a,pr,s4
1733689333428,a,pr,s3
1733689334013,a,pr,s4
1733689335594,a,pr,s3
1733689336044,a,pr,s4
1733689337098,a,pr,s3
1733689337725,a,pr,s4
1733689420427,a,pr,prove
1733689421374,a,pr,s1
1733689421694,a,pr,s2
1733689422104,a,pr,s3
1733689422298,a,pr,s4
1733689433075,a,pr,s3
1733689433576,a,pr,s2
1733689434674,a,pr,s3
1733689436071,a,pr,s2
1733689442727,a,pr,s3
1733689443417,a,pr,s2
1733689443810,a,pr,s3
1733689444651,a,pr,s2
1733689445506,a,pr,s3
1733689446831,a,pr,s2
1733689447916,a,pr,s3
1733689475449,a,pr,s4
1733689476042,a,pr,s3
1733689493742,a,pr,prove
1733689494108,a,pr,s1
1733689494294,a,pr,s2
1733689494608,a,pr,s3
1733689495009,a,pr,s4
1733689512061,a,pr,s3
1733689512496,a,pr,s4
1733689539792,a,pr,s3
1733689540461,a,pr,s4
1733689541193,a,pr,s3
1733689543751,a,pr,s4
1733689639375,n,i,
1733689643050,a,pr,prove
1733689645095,a,pr,s1
1733689645743,a,pr,prove
1733689646431,a,pr,s1
1733689648279,a,pr,s2
1733689651968,a,pr,s3
1733689653425,a,pr,s4
1733689655284,a,pr,s3
1733689656476,a,pr,s4
1733689670393,a,pr,s3
1733689673130,a,pr,s4
1733689675145,a,pr,s5
1733689676115,a,pr,s4
1733689684960,a,pr,s5
1733689689894,a,pr,s4
1733689690827,a,pr,s5
1733689766661,a,pr,s4
1733689767962,a,pr,s3
1733689768529,a,pr,s4
1733689768771,a,pr,s5
1733689779664,a,pr,s4
1733689779993,a,pr,s3
1733689780710,a,pr,s4
1733689888160,a,pr,prove
1733689888980,a,pr,given
1733689894343,a,pr,prove
1733689895128,a,pr,given
1733689896060,a,pr,prove
1733689900604,a,pr,s1
1733689905230,a,pr,s2
1733689911377,a,pr,s3
1733689914607,a,pr,s4
1733689924144,a,pr,s5
1733689940702,a,pr,s6
1733689947781,a,pr,s7
1733690002636,a,pr,s6
1733690003034,a,pr,s5
1733690003249,a,pr,s4
1733690003617,a,pr,s3
1733690003798,a,pr,s2
1733690003985,a,pr,s1
1733690006735,a,pr,s2
1733690007128,a,pr,s1
1733690007948,a,pr,s2
1733690010343,a,pr,s3
1733690010972,a,pr,s2
1733690013182,a,pr,s3
1733690014025,a,pr,s4
1733690016498,a,pr,s5
1733690027314,a,pr,s4
1733690027720,a,pr,s3
1733690027925,a,pr,s2
1733690028086,a,pr,s1
1733690028885,a,pr,s2
1733690029778,a,pr,s1
1733690030826,a,pr,s2
1733690033320,a,pr,s1
1733690035710,a,pr,s2
1733690035895,a,pr,s3
1733690036049,a,pr,s4
1733690043556,a,pr,s3
1733690043744,a,pr,s2
1733690043916,a,pr,s1
1733690051691,a,pr,prove
1733690052614,a,pr,s1
1733690057424,a,pr,s2
1733690060630,a,pr,s3
1733690061367,a,pr,s2
1733690061814,a,pr,s1
1733690064234,a,pr,s2
1733690064642,a,pr,s3
1733690074410,a,pr,s4
1733690078349,a,pr,s5
1733690079494,a,pr,s4
1733690081086,a,pr,s5
1733690096828,a,pr,s4
1733690097416,a,pr,s5
1733690150560,a,pr,s4
1733690150741,a,pr,s3
1733690150904,a,pr,s2
1733690151259,a,pr,s1
1733690159143,a,pr,s2
1733690160827,a,pr,s3
1733690162070,a,pr,s2
1733690163427,a,pr,s3
1733690170108,a,pr,s4
