pageName,question,answer,time,version,score,key,delta,participant
Background Questions,0,23,2024-12-05 19:38:08.941,undefined,,,0.0,pC
Background Questions,1,10,2024-12-05 19:38:08.942,undefined,,,0.001,pC
Background Questions,2,18,2024-12-05 19:38:08.942,undefined,,,0.0,pC
Background Questions,3,normal,2024-12-05 19:38:08.942,undefined,,,0.0,pC
P1,qID-3,HJ,2024-12-05 19:39:53.080,B,1.0,HJ,104.138,pC
P1,qID-1,BC,2024-12-05 19:40:04.825,B,1.0,BC,11.745,pC
P1,qID-2,MN,2024-12-05 19:40:15.337,B,1.0,MN,10.512,pC
P2,qID-2,Angle DEF,2024-12-05 19:40:26.810,B,1.0,Angle DEF,11.473,pC
P2,qID-3,Angle NQP,2024-12-05 19:40:36.114,B,1.0,Angle NQP,9.304,pC
P2,qID-1,Angle GHJ,2024-12-05 19:40:46.672,B,1.0,Angle GHJ,10.558,pC
P7,qID-1,AAS (Angle-Angle-Side),2024-12-05 19:41:02.896,B,0.0,RHL (Right-Hypotenuse-Leg),16.224,pC
P7,qID-11,"be the same shape and size, can be mirror images of each other",2024-12-05 19:41:28.608,B,1.0,"be the same shape and size, can be mirror images of each other",25.712,pC
P7,qID-13,Yes,2024-12-05 19:41:36.507,B,0.0,No,7.899,pC
P7,qID-12,Yes,2024-12-05 19:41:46.862,B,0.0,No,10.355,pC
P5,qID-1,AAS (Angle-Angle-Side),2024-12-05 19:42:02.643,B,1.0,AAS (Angle-Angle-Side),15.781,pC
P3,qID-1,SAS (Side-Angle-Side),2024-12-05 19:42:12.626,B,1.0,SAS (Side-Angle-Side),9.983,pC
P6,qID-1,AAS (Angle-Angle-Side),2024-12-05 19:42:27.690,B,0.0,ASA (Angle-Side-Angle),15.064,pC
P4,qID-1,SSS (Side-Side-Side),2024-12-05 19:42:40.964,B,1.0,SSS (Side-Side-Side),13.274,pC
TutorialProof1,qID-1,Yes,2024-12-05 19:44:20.846,B,,,99.882,pC
TutorialProof1,qID-2,No,2024-12-05 19:45:08.495,B,,,47.649,pC
TutorialProof2,qID-1,No,2024-12-05 19:45:50.397,B,,,41.902,pC
T1_S1_IN3,qID-0,Continue,2024-12-05 19:47:36.926,B,1.0,Continue,106.529,pC
T1_S1_IN3,qID-11,Yes,2024-12-05 19:47:50.319,B,1.0,Yes,13.393,pC
T1_S1_IN3,qID-12,Step 4,2024-12-05 19:48:35.666,B,1.0,Step 4,45.347,pC
T1_S1_IN3,qID-13,Open-ended Incorrect,2024-12-05 19:48:40.832,B,0.0,Open-ended Correct,5.166,pC
T1_S1_IN3,qID-3,Yes,2024-12-05 19:49:03.201,B,1.0,Yes,22.369,pC
T1_S1_C1,qID-0,Continue,2024-12-05 19:49:56.649,B,1.0,Continue,53.448,pC
T1_S1_C1,qID-11,No,2024-12-05 19:49:59.679,B,3.0,No,3.03,pC
T1_S1_C1,qID-3,No,2024-12-05 19:50:21.397,B,1.0,No,21.718,pC
