pageName,question,answer,time,version,score,key,delta,participant
Background Questions,0,17,2024-12-08 20:11:46.071,undefined,,,0.0,pD
Background Questions,1,10th grade,2024-12-08 20:11:46.071,undefined,,,0.0,pD
Background Questions,2,11th grade,2024-12-08 20:11:46.071,undefined,,,0.0,pD
Background Questions,3,regular,2024-12-08 20:11:46.071,undefined,,,0.0,pD
P1,qID-2,MN,2024-12-08 20:13:48.550,B,1.0,MN,122.479,pD
P1,qID-1,BC,2024-12-08 20:14:13.448,B,1.0,BC,24.898,pD
P1,qID-3,HJ,2024-12-08 20:14:40.032,B,1.0,HJ,26.584,pD
P2,qID-1,Angle GHJ,2024-12-08 20:15:15.751,B,1.0,Angle GHJ,35.719,pD
P2,qID-3,Angle NQP,2024-12-08 20:15:28.355,B,1.0,Angle NQP,12.604,pD
P2,qID-2,Angle DEF,2024-12-08 20:15:52.117,B,1.0,Angle DEF,23.762,pD
P4,qID-1,SSS (Side-Side-Side),2024-12-08 20:16:24.668,B,1.0,SSS (Side-Side-Side),32.551,pD
P4,qID-13,No,2024-12-08 20:16:56.773,B,1.0,No,32.105,pD
P4,qID-12,No,2024-12-08 20:17:40.860,B,1.0,No,44.087,pD
P4,qID-11,"be the same shape and size, can be mirror images of each other",2024-12-08 20:18:07.709,B,1.0,"be the same shape and size, can be mirror images of each other",26.849,pD
P3,qID-1,SAS (Side-Angle-Side),2024-12-08 20:18:21.426,B,1.0,SAS (Side-Angle-Side),13.717,pD
P7,qID-1,RHL (Right-Hypotenuse-Leg),2024-12-08 20:18:50.043,B,1.0,RHL (Right-Hypotenuse-Leg),28.617,pD
P5,qID-1,AAS (Angle-Angle-Side),2024-12-08 20:19:06.544,B,1.0,AAS (Angle-Angle-Side),16.501,pD
P6,qID-1,ASA (Angle-Side-Angle),2024-12-08 20:19:21.414,B,1.0,ASA (Angle-Side-Angle),14.87,pD
TutorialProof1,qID-1,No,2024-12-08 20:24:12.990,A,,,291.576,pD
TutorialProof1,qID-2,No,2024-12-08 20:24:39.025,A,,,26.035,pD
TutorialProof2,qID-1,No,2024-12-08 20:26:30.460,A,,,111.435,pD
T1_S1_IN1,qID-0,Continue,2024-12-08 20:28:16.473,A,1.0,Continue,106.013,pD
T1_S1_IN1,qID-11,Yes,2024-12-08 20:28:59.892,A,1.0,Yes,43.419,pD
T1_S1_IN1,qID-12,Step 4,2024-12-08 20:29:12.576,A,1.0,Step 4,12.684,pD
T1_S1_IN1,qID-13,Open-ended Correct,2024-12-08 20:30:50.195,A,1.0,Open-ended Correct,97.619,pD
T1_S1_IN1,qID-3,No,2024-12-08 20:31:03.806,A,1.0,No,13.611,pD
T1_S1_IN1,qID-2,No,2024-12-08 20:31:20.823,A,1.0,No,17.017,pD
