pageName,question,answer,time,version
"Background Questions","0","12","1720724606078","undefined"
"Background Questions","1","1","1720724606078","undefined"
"Background Questions","2","1","1720724606078","undefined"
"TutorialProof1","qID-1","No","1720724632173","interactive"
"TutorialProof1","qID-2","No","1720724636877","interactive"
"TutorialProof2","qID-1","No","1720724646709","interactive"
"T1_S1_C3","qID-1","Yes","1720724672196","static"
"T1_S1_C3","qID-3","No","1720724681132","static"
"T1_S1_C3","qID-4","Yes","1720724686084","static"
"T1_S1_C3","qID-2","No","1720724691390","static"
"T1_S1_IN2","qID-1","Yes","1720724711499","interactive"
"T1_S1_IN2","qID-2","No","1720724720932","interactive"
"T1_S1_C1","qID-1","No","1720724734764","static"
"T1_S1_C1","qID-3","No","1720724739356","static"
"T1_S1_C1","qID-2","Yes","1720724754716","static"
"T1_S1_IN3","qID-3","Yes","1720724803900","interactive"
"T1_S1_IN3","qID-1","Yes","1720724817229","interactive"
"T1_S1_IN3","qID-2","No","1720724823269","interactive"
"T1_S1_IN1","qID-3","No","1720724828213","static"
"T1_S1_IN1","qID-2","No","1720724842773","static"
"T1_S1_IN1","qID-1","No","1720724863309","static"
"T1_S1_C2","qID-2","No","1720724883060","interactive"
"T1_S1_C2","qID-1","Yes","1720724905733","interactive"
"T1_S1_C2","qID-4","No","1720724924219","interactive"
"T1_S1_C2","qID-3","Yes","1720724941165","interactive"
"T1_S2_IN1","qID-1","Yes","1720724959016","interactive"
"T1_S2_IN1","qID-2","Step 8","1720724962133","interactive"
"T1_S2_IN1","qID-3","The step says the wrong things are congruent to each other","1720724978781","interactive"
"T1_S2_C1","qID-1","No","1720724983405","static"
"T1_S2_IN2","qID-1","Yes","1720724987773","static"
"T1_S2_IN2","qID-2","Step 8","1720725022157","static"
"T1_S2_IN2","qID-3","The step says the wrong things are congruent to each other","1720725024669","static"
"T1_S2_C2","qID-1","No","1720725088579","interactive"
"Static SUS","0","5","1720725136380","undefined"
"Static SUS","1","3","1720725136380","undefined"
"Static SUS","2","4","1720725136380","undefined"
"Static SUS","3","1","1720725136381","undefined"
"Static SUS","4","4","1720725136381","undefined"
"Static SUS","5","1","1720725136381","undefined"
"Static SUS","6","5","1720725136381","undefined"
"Static SUS","7","5","1720725136381","undefined"
"Static SUS","8","5","1720725136381","undefined"
"Static SUS","9","1","1720725136381","undefined"
"Interactive SUS","0","5","1720725158077","undefined"
"Interactive SUS","1","1","1720725158077","undefined"
"Interactive SUS","2","5","1720725158077","undefined"
"Interactive SUS","3","1","1720725158077","undefined"
"Interactive SUS","4","5","1720725158077","undefined"
"Interactive SUS","5","2","1720725158077","undefined"
"Interactive SUS","6","5","1720725158077","undefined"
"Interactive SUS","7","2","1720725158077","undefined"
"Interactive SUS","8","4","1720725158077","undefined"
"Interactive SUS","9","3","1720725158077","undefined"
