pageName,question,answer,time,version
"Background Questions","0","20","1721852211395","undefined"
"Background Questions","1","2017","1721852211395","undefined"
"Background Questions","2","15","1721852211395","undefined"
"Background Questions","3","N/A","1721852211396","undefined"
"P1","qID-3","HJ","1721852227636","static"
"P1","qID-2","MN","1721852249604","static"
"P1","qID-1","BC","1721852256894","static"
"P2","qID-2","Angle DEF","1721852265955","static"
"P2","qID-3","Angle NQP","1721852272712","static"
"P2","qID-1","Angle GHJ","1721852279965","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1721852303021","static"
"P5","qID-13","No","1721852305166","static"
"P5","qID-12","No","1721852308016","static"
"P5","qID-11","be the same shape and size, can be mirror images of each other","1721852334762","static"
"P7","qID-1","SSA (Side-Side-Angle)","1721852347422","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1721852352860","static"
"P4","qID-1","SSS (Side-Side-Side)","1721852365828","static"
"P3","qID-1","SAS (Side-Angle-Side)","1721852377932","static"
"TutorialProof1","qID-1","No","1721852649006","interactive"
"TutorialProof1","qID-2","No","1721852733633","interactive"
"TutorialProof2","qID-1","No","1721852779009","interactive"
"T1_S1_IN3","qID-3","Yes","1721853117682","interactive"
"T1_S1_IN3","qID-1","Yes","1721853152969","interactive"
"T1_S1_IN3","qID-2","No","1721853159649","interactive"
"T1_S1_C3","qID-1","Yes","1721853250775","static"
"T1_S1_C3","qID-3","No","1721853457802","static"
"T1_S1_C3","qID-4","Yes","1721853471173","static"
"T1_S1_C3","qID-2","No","1721853505637","static"
"T1_S1_IN1","qID-3","No","1721853641869","static"
"T1_S1_IN1","qID-1","No","1721853670422","static"
"T1_S1_IN1","qID-2","No","1721853724986","static"
"T1_S1_C1","qID-1","Yes","1721853884913","static"
"T1_S1_C1","qID-2","Yes","1721853900828","static"
"T1_S1_C1","qID-3","No","1721853945985","static"
"T1_S1_C2","qID-1","Yes","1721854067089","interactive"
"T1_S1_C2","qID-4","Yes","1721854195149","interactive"
"T1_S1_C2","qID-3","No","1721854213266","interactive"
"T1_S1_C2","qID-2","Yes","1721854242704","interactive"
"T1_S1_IN2","qID-1","Yes","1721854319182","interactive"
"T1_S1_IN2","qID-2","No","1721854332714","interactive"
"T1_S2_IN2","qID-1","No","1721854481170","static"
"T1_S2_C2","qID-1","No","1721854726378","static"
"T1_S2_C1","qID-1","No","1721854813335","interactive"
"T1_S2_IN1","qID-1","Yes","1721855094666","interactive"
"T1_S2_IN1","qID-2","Step 8","1721855107649","interactive"
"T1_S2_IN1","qID-3","There is not enough information to apply the theorem or definition","1721855180363","interactive"
"Static SUS","0","3","1721855250134","undefined"
"Static SUS","1","2","1721855250134","undefined"
"Static SUS","2","4","1721855250135","undefined"
"Static SUS","3","1","1721855250135","undefined"
"Static SUS","4","4","1721855250135","undefined"
"Static SUS","5","2","1721855250136","undefined"
"Static SUS","6","4","1721855250136","undefined"
"Static SUS","7","2","1721855250137","undefined"
"Static SUS","8","3","1721855250137","undefined"
"Static SUS","9","2","1721855250137","undefined"
"Interactive SUS","0","4","1721855294201","undefined"
"Interactive SUS","1","2","1721855294202","undefined"
"Interactive SUS","2","4","1721855294202","undefined"
"Interactive SUS","3","2","1721855294202","undefined"
"Interactive SUS","4","4","1721855294203","undefined"
"Interactive SUS","5","2","1721855294203","undefined"
"Interactive SUS","6","4","1721855294204","undefined"
"Interactive SUS","7","2","1721855294204","undefined"
"Interactive SUS","8","4","1721855294204","undefined"
"Interactive SUS","9","2","1721855294205","undefined"
