t,e,c,v
1720620185311,n,b,
1720620187053,h,t,triangle.ABC
1720620187115,h,t,triangle.ABC
1720620187116,h,s,segment.AC
1720620187132,h,s,segment.AC
1720620187132,h,a,BAC
1720620187148,h,a,BAC
1720620187148,h,a,CAD
1720620187172,h,a,CAD
1720620187172,h,s,segment.AD
1720620187188,h,s,segment.AD
1720620190477,h,s,segment.AD
1720620190532,h,s,segment.AD
1720620190533,h,s,segment.AC
1720620190546,h,s,segment.AC
1720620190547,h,s,segment.AB
1720620190567,h,s,segment.AB
1720620200332,h,po,D
1720620200787,c,po,D
1720620201723,c,po,D
1720620201939,h,po,D
1720620212659,c,pr,s4
1720620232110,h,a,ABC
1720620232117,h,a,ABC
1720620232117,h,t,triangle.ABC
1720620232145,h,t,triangle.ABC
1720620232152,h,s,segment.AC
1720620232158,h,s,segment.AC
1720620232158,h,t,triangle.ACD
1720620232172,h,t,triangle.ACD
1720620232193,h,s,segment.AD
1720620232214,h,s,segment.AD
1720620244884,h,a,ACB
1720620244892,h,a,ACB
1720620244892,h,t,triangle.ABC
1720620244967,h,t,triangle.ABC
1720620244967,h,s,segment.AC
1720620245043,h,s,segment.AC
1720620245043,h,t,triangle.ACD
1720620245085,h,t,triangle.ACD
1720620245085,h,s,segment.AD
1720620245106,h,s,segment.AD
1720620250933,h,a,CAD
1720620250964,h,a,CAD
1720620250964,h,a,BAC
1720620250991,h,a,BAC
1720620250991,h,s,segment.AB
1720620250998,h,s,segment.AB
1720620261482,c,pr,s4
1720620272594,c,pr,s5
1720620273100,h,po,A
1720620273114,h,po,A
1720620273114,h,s,segment.AB
1720620274001,h,s,segment.AB
1720620274018,h,t,triangle.ABD
1720620274473,h,t,triangle.ABD
1720620274474,h,s,segment.AD
1720620274517,h,s,segment.AD
1720620275315,h,s,segment.AD
1720620275322,h,s,segment.AD
1720620275322,h,a,BAD
1720620275363,h,a,BAD
1720620275363,h,s,segment.AB
1720620276625,h,s,segment.AB
1720620276659,h,t,triangle.ABD
1720620276743,h,t,triangle.ABD
1720620276743,h,s,segment.BD
1720620276764,h,s,segment.BD
1720620276764,h,t,triangle.BCD
1720620277297,h,t,triangle.BCD
1720620277297,h,s,segment.BC
1720620277365,h,s,segment.BC
1720620277681,h,s,segment.BC
1720620278089,c,s,segment.BC
1720620278256,h,t,triangle.BCD
1720620278305,h,t,triangle.BCD
1720620278305,h,s,segment.BD
1720620278318,h,s,segment.BD
1720620278318,h,t,triangle.ABD
1720620278513,h,t,triangle.ABD
1720620278513,h,s,segment.AB
1720620278937,c,s,segment.AB
1720620279236,h,po,A
1720620279243,h,po,A
1720620284031,h,po,B
1720620284038,h,po,B
1720620288206,h,s,segment.AD
1720620288226,h,s,segment.AD
1720620288227,h,t,triangle.ABD
1720620288352,h,t,triangle.ABD
1720620288352,h,s,segment.BD
1720620288372,h,s,segment.BD
1720620288373,h,t,triangle.BCD
1720620288629,h,t,triangle.BCD
1720620288629,h,a,CBD
1720620288643,h,a,CBD
1720620288643,h,a,ABD
1720620288672,h,a,ABD
1720620288672,h,t,triangle.ABD
1720620288680,h,t,triangle.ABD
1720620288851,h,t,triangle.ABD
1720620289061,h,t,triangle.ABD
1720620289061,h,s,segment.BD
1720620289206,h,s,segment.BD
1720620289206,h,a,BDC
1720620290214,h,a,BDC
1720620290214,h,a,ADB
1720620290249,h,a,ADB
1720620290249,h,s,segment.AD
1720620290457,h,s,segment.AD
1720620290457,h,a,BAD
1720620290492,h,a,BAD
1720620290492,h,po,A
1720620290700,h,po,A
1720620290742,h,s,segment.AD
1720620290791,h,s,segment.AD
1720620290791,h,a,BAD
1720620291370,h,a,BAD
1720620291786,h,s,segment.AD
1720620291812,h,s,segment.AD
1720620293649,h,s,segment.CD
1720620293664,h,s,segment.CD
1720620293666,h,t,triangle.BCD
1720620293844,h,t,triangle.BCD
1720620293844,h,a,CBD
1720620293955,h,a,CBD
1720620293955,h,a,ABD
1720620293990,h,a,ABD
1720620293990,h,s,segment.BD
1720620294031,h,s,segment.BD
1720620294123,h,a,CBD
1720620294156,h,a,CBD
1720620294275,h,a,BCD
1720620294288,h,a,BCD
1720620294516,h,a,BCD
1720620295018,h,a,BCD
1720620295498,c,s,segment.BC
1720620295623,h,t,triangle.BCD
1720620295679,h,t,triangle.BCD
1720620295679,h,a,ABD
1720620295693,h,a,ABD
1720620296490,c,s,segment.AB
1720620296706,h,t,triangle.ABD
1720620296823,h,t,triangle.ABD
1720620296851,h,s,segment.AD
1720620296871,h,s,segment.AD
1720620301257,h,s,segment.BC
1720620301275,h,s,segment.BC
1720620301276,h,t,triangle.BCD
1720620301324,h,t,triangle.BCD
1720620301324,h,s,segment.BD
1720620301352,h,s,segment.BD
1720620301352,h,t,triangle.ABD
1720620301421,h,t,triangle.ABD
1720620301422,h,a,BAD
1720620301521,h,a,BAD
1720620301521,h,po,A
1720620301561,h,po,A
1720620305530,c,pr,s4
1720620314556,c,pr,s3
1720620318609,h,po,A
1720620318617,h,po,A
1720620318786,h,s,segment.AD
1720620319409,h,s,segment.AD
1720620319589,h,po,A
1720620319609,h,po,A
1720620320369,h,po,A
1720620320378,h,po,A
1720620320378,h,s,segment.AB
1720620320390,h,s,segment.AB
1720620320391,h,a,BAD
1720620320433,h,a,BAD
1720620320433,h,s,segment.AD
1720620320818,h,s,segment.AD
1720620320819,h,s,segment.CD
1720620321227,h,s,segment.CD
1720620321227,h,a,CDB
1720620321252,h,a,CDB
1720620321252,h,t,triangle.BCD
1720620321266,h,t,triangle.BCD
1720620321266,h,s,segment.BD
1720620321551,h,s,segment.BD
1720620321551,h,t,triangle.BCD
1720620321717,h,t,triangle.BCD
1720620321717,h,a,CDB
1720620321933,h,a,CDB
1720620321933,h,s,segment.CD
1720620321954,h,s,segment.CD
1720620321967,h,po,D
1720620321988,h,po,D
1720620322346,h,s,segment.AD
1720620322675,h,s,segment.AD
1720620322676,h,po,A
1720620322703,h,po,A
1720620323279,h,po,A
1720620323362,h,po,A
1720620323362,h,s,segment.AB
1720620323375,h,s,segment.AB
1720620323376,h,s,segment.AD
1720620323383,h,s,segment.AD
1720620323383,h,a,BAD
1720620323879,h,a,BAD
1720620323879,h,s,segment.AD
1720620325632,h,s,segment.AD
1720620325633,h,po,A
1720620325646,h,po,A
1720620328918,h,po,A
1720620328953,h,po,A
1720620329429,h,s,segment.AD
1720620329512,h,s,segment.AD
1720620329512,h,po,A
1720620329519,h,po,A
1720620335210,c,pr,s6
1720620341178,h,s,segment.AB
1720620341681,h,s,segment.AB
1720620341682,h,t,triangle.ABD
1720620341703,h,t,triangle.ABD
1720620341708,h,t,triangle.ABD
1720620342049,h,t,triangle.ABD
1720620342051,h,s,segment.BD
1720620342292,h,s,segment.BD
1720620342292,h,a,ABD
1720620342668,h,a,ABD
1720620342669,h,a,CBD
1720620342849,h,a,CBD
1720620342850,h,s,segment.BC
1720620343139,h,s,segment.BC
1720620343140,h,t,triangle.BCD
1720620343314,h,t,triangle.BCD
1720620343314,h,a,CDB
1720620343536,h,a,CDB
1720620343536,h,s,segment.CD
1720620343556,h,s,segment.CD
1720620345643,h,s,segment.AD
1720620345762,h,s,segment.AD
1720620345762,h,a,BAD
1720620345804,h,a,BAD
1720620345804,h,t,triangle.ABD
1720620346418,c,t,triangle.ABD
1720620346585,h,a,ADB
1720620346619,h,a,ADB
1720620346620,h,a,CDB
1720620346704,h,a,CDB
1720620346705,h,t,triangle.BCD
1720620347202,c,t,triangle.BCD
1720620347369,h,s,segment.CD
1720620347389,h,s,segment.CD
1720620356665,h,s,segment.AD
1720620356674,h,s,segment.AD
1720620356674,h,a,BAD
1720620356693,h,a,BAD
1720620356693,h,s,segment.AB
1720620356728,h,s,segment.AB
1720620359914,c,pr,s7
1720620360730,c,pr,s8
1720620368698,c,pr,s3
1720620370620,p,l,LMK
1720620371212,p,l,JMK
1720620372881,p,l,LK
1720620372976,m,d,Congruent lines
1720620373528,p,l,JMK
1720620385042,c,pr,s5
1720620389505,h,s,segment.JK
1720620389526,h,s,segment.JK
1720620389526,h,t,triangle.JKM
1720620389553,h,t,triangle.JKM
1720620389553,h,s,segment.KM
1720620389574,h,s,segment.KM
1720620389575,h,a,JMK
1720620389594,h,a,JMK
1720620389594,h,a,LMK
