t,e,c,v
1721921745611,n,i,
1721921792113,n,b,
1721921988663,m,d,Congruent triangles
1721921988693,p,l,ADC
1721921989158,p,l,ADC
1721921990824,p,l,ABC
1721921991374,p,l,ABC
1721921992376,m,d,Congruent triangles
1721921992475,p,l,ADC
1721921993159,m,d,Congruent triangles
1721921993210,p,l,ABC
1721921994691,p,l,ABC
1721921995575,m,d,Congruent triangles
1721921995627,p,l,ADC
1721921996024,p,l,AD
1721921996406,p,l,AB
1721921998008,p,l,ADC
1721922002040,h,s,segment.CD
1721922002058,h,s,segment.CD
1721922002058,h,t,triangle.ACD
1721922002340,h,t,triangle.ACD
1721922002341,h,s,segment.CD
1721922002373,h,s,segment.CD
1721922003591,h,s,segment.CD
1721922003657,h,s,segment.CD
1721922003657,h,t,triangle.ACD
1721922007474,h,t,triangle.ACD
1721922007475,h,s,segment.AC
1721922007658,h,s,segment.AC
1721922007658,h,t,triangle.ABC
1721922008691,h,t,triangle.ABC
1721922008692,h,s,segment.BC
1721922008742,h,s,segment.BC
1721922009042,h,s,segment.BC
1721922009124,h,s,segment.BC
1721922009124,h,t,triangle.ABC
1721922009342,h,t,triangle.ABC
1721922009342,h,s,segment.AB
1721922009375,h,s,segment.AB
1721922009758,h,s,segment.AB
1721922010573,h,s,segment.AB
1721922010574,h,t,triangle.ABC
1721922010623,h,t,triangle.ABC
1721922010641,h,s,segment.AC
1721922010673,h,s,segment.AC
1721922010674,h,t,triangle.ACD
1721922010740,h,t,triangle.ACD
1721922010789,h,t,triangle.ACD
1721922010806,h,t,triangle.ACD
1721922010806,h,s,segment.AD
1721922010972,h,s,segment.AD
1721922011474,h,s,segment.AD
1721922012174,h,s,segment.AD
1721922012175,h,t,triangle.ACD
1721922012341,h,t,triangle.ACD
1721922012342,h,s,segment.CD
1721922012941,h,s,segment.CD
1721922012942,h,s,segment.BC
1721922013041,h,s,segment.BC
1721922013289,h,s,segment.BC
1721922014140,h,s,segment.BC
1721922014141,h,s,segment.AC
1721922014159,h,s,segment.AC
1721922014163,h,po,C
1721922014175,h,po,C
1721922014175,h,s,segment.CD
1721922014190,h,s,segment.CD
1721922015174,h,s,segment.CD
1721922015192,h,s,segment.CD
1721922015193,h,t,triangle.ACD
1721922015209,h,t,triangle.ACD
1721922015209,h,po,C
1721922015224,h,po,C
1721922015224,h,s,segment.AC
1721922016041,h,s,segment.AC
1721922016041,h,s,segment.CD
1721922016192,h,s,segment.CD
1721922016541,h,s,segment.CD
1721922017359,c,s,segment.CD
1721922023468,c,pr-r,s1
1721922024348,c,pr-r,s2
1721922025182,c,pr-r,s3
1721922031129,m,mi,
1721922031158,ml,mi,
1721922037250,c,s,segment.CD
1721922038240,h,s,segment.CD
1721922039224,h,s,segment.CD
1721922039744,m,re,
1721922039807,ml,re,
1721922041207,h,s,segment.CD
1721922041474,h,s,segment.CD
1721922041474,h,t,triangle.ACD
