t,e,c,v
1721847976508,pa,,
1721847977962,r,,
1721851810036,n,i,
1721851837961,n,b,
1721852011092,p,l,ADC
1721852011357,p,l,ADC
1721852012636,m,d,Congruent triangles
1721852012660,p,l,ABC
1721852012887,p,l,ABC
1721852013450,p,l,AB
1721852013974,m,d,Congruent lines
1721852014020,p,l,AD
1721852014155,p,l,BC
1721852014322,m,d,Congruent lines
1721852014339,p,l,DC
1721852015273,p,l,DC
1721852017289,h,s,segment.BC
1721852017320,h,s,segment.BC
1721852017320,h,s,segment.CD
1721852017438,h,s,segment.CD
1721852020375,h,po,D
1721852020421,h,po,D
1721852020421,h,s,segment.CD
1721852022238,h,s,segment.CD
1721852022238,h,s,segment.AD
1721852022789,h,s,segment.AD
1721852022790,h,t,triangle.ACD
1721852022874,h,t,triangle.ACD
1721852022874,h,s,segment.AC
1721852022890,h,s,segment.AC
1721852022891,h,t,triangle.ABC
1721852023052,h,t,triangle.ABC
1721852023053,h,s,segment.AC
1721852023139,h,s,segment.AC
1721852023139,h,t,triangle.ACD
1721852023388,h,t,triangle.ACD
1721852023388,h,s,segment.AC
1721852023656,h,s,segment.AC
1721852023656,h,t,triangle.ACD
1721852023706,h,t,triangle.ACD
1721852023753,h,s,segment.AD
1721852023922,h,s,segment.AD
1721852023923,h,t,triangle.ACD
1721852024772,h,t,triangle.ACD
1721852024772,h,s,segment.AC
1721852024790,h,s,segment.AC
1721852024791,h,t,triangle.ABC
1721852025638,h,t,triangle.ABC
1721852025639,h,s,segment.AC
1721852025656,h,s,segment.AC
1721852025657,h,t,triangle.ACD
1721852025672,h,t,triangle.ACD
1721852025672,h,s,segment.CD
1721852025705,h,s,segment.CD
1721852027239,h,s,segment.CD
1721852027793,c,s,segment.CD
1721852034692,c,pr-r,s1
1721852038860,c,pr-r,s2
1721852047956,h,t,triangle.ACD
1721852048206,h,t,triangle.ACD
1721852049972,h,t,triangle.ACD
1721852050721,c,t,triangle.ACD
1721852051173,h,s,segment.AD
1721852051237,h,s,segment.AD
1721852051237,h,po,D
1721852051273,h,po,D
1721852053094,c,pr-r,s3
1721852054268,m,mi,
1721852054438,ml,mi,
1721852054439,m,re,
1721852054486,ml,re,
1721852056126,m,re,
1721852056486,ml,re,
1721852065054,c,qh,show
1721852072373,m,d,Congruent angles
1721852072425,p,l,BAC
1721852072679,c,pr,s2
1721852072838,p,l,BAC
1721852072871,m,d,Congruent angles
1721852074688,p,l,DAC
1721852075555,p,l,DAC
1721852076086,p,l,DAC
1721852076906,m,d,Congruent angles
1721852077404,p,l,BAC
1721852077487,p,l,DAC
1721852078471,c,pr,s3
1721852079906,h,s,segment.AB
1721852079921,h,s,segment.AB
1721852079922,h,t,triangle.ABC
1721852079938,h,t,triangle.ABC
1721852079938,h,s,segment.AC
1721852079953,h,s,segment.AC
1721852079953,h,s,segment.AD
1721852079972,h,s,segment.AD
1721852098937,m,re,
1721852099003,ml,re,
1721852099104,h,po,D
1721852099121,h,po,D
1721852106121,h,s,segment.AD
1721852106139,h,s,segment.AD
1721852106154,h,s,segment.AC
1721852106171,h,s,segment.AC
1721852106172,h,t,triangle.ABC
1721852106202,h,t,triangle.ABC
1721852106202,h,s,segment.BC
1721852106220,h,s,segment.BC
1721852107018,h,s,segment.BC
1721852107054,h,s,segment.BC
1721852107055,h,t,triangle.ABC
1721852107239,h,t,triangle.ABC
1721852107252,h,s,segment.AC
1721852107855,h,s,segment.AC
1721852107856,h,t,triangle.ABC
1721852107968,h,t,triangle.ABC
1721852107969,h,s,segment.AB
1721852108005,h,s,segment.AB
1721852108737,h,s,segment.AB
1721852108835,h,s,segment.AB
1721852110509,c,pr-r,s4
1721852116403,h,s,segment.AB
1721852116474,h,s,segment.AB
1721852116475,h,t,triangle.ABC
1721852116935,h,t,triangle.ABC
