pageName,question,answer,time,version
"Background Questions","0","22","1720727153553","undefined"
"Background Questions","1","2015-2016","1720727153553","undefined"
"Background Questions","2","college 2nd year","1720727153553","undefined"
"TutorialProof1","qID-1","Yes","1720727393680","interactive"
"TutorialProof1","qID-2","Yes","1720727439251","interactive"
"TutorialProof2","qID-1","Yes","1720727454679","interactive"
"T1_S1_C1","qID-1","Yes","1720727610328","interactive"
"T1_S1_C1","qID-2","Yes","1720727745360","interactive"
"T1_S1_C1","qID-3","No","1720727870875","interactive"
"T1_S1_IN2","qID-2","No","1720728160940","interactive"
"T1_S1_IN2","qID-1","Yes","1720728185558","interactive"
"T1_S1_IN1","qID-3","Yes","1720728378020","static"
"T1_S1_IN1","qID-1","Yes","1720728391052","static"
"T1_S1_IN1","qID-2","Yes","1720728448769","static"
"T1_S1_C2","qID-1","Yes","1720728706871","static"
"T1_S1_C2","qID-3","Yes","1720728726057","static"
"T1_S1_C2","qID-4","Yes","1720728738624","static"
"T1_S1_C2","qID-2","Yes","1720728766908","static"
"T1_S1_C3","qID-3","No","1720728919207","interactive"
"T1_S1_C3","qID-1","Yes","1720728946723","interactive"
"T1_S1_C3","qID-4","Yes","1720728957474","interactive"
"T1_S1_C3","qID-2","No","1720729004874","interactive"
"T1_S1_IN3","qID-1","Yes","1720729134306","static"
"T1_S1_IN3","qID-2","Yes","1720729157790","static"
"T1_S1_IN3","qID-3","Yes","1720729180673","static"
"T1_S2_IN1","qID-1","Yes","1720729444988","interactive"
"T1_S2_IN1","qID-2","Step 8","1720729452538","interactive"
"T1_S2_IN1","qID-3","The step says the wrong things are congruent to each other","1720729478955","interactive"
"T1_S2_C1","qID-1","No","1720729645153","static"
"T1_S2_IN2","qID-1","No","1720729889985","static"
"T1_S2_C2","qID-1","No","1720730028417","interactive"
"Static SUS","0","2","1720730333167","undefined"
"Static SUS","1","2","1720730333167","undefined"
"Static SUS","2","3","1720730333167","undefined"
"Static SUS","3","4","1720730333167","undefined"
"Static SUS","4","3","1720730333167","undefined"
"Static SUS","5","2","1720730333167","undefined"
"Static SUS","6","3","1720730333167","undefined"
"Static SUS","7","2","1720730333167","undefined"
"Static SUS","8","1","1720730333167","undefined"
"Static SUS","9","1","1720730333167","undefined"
"Interactive SUS","0","5","1720730434665","undefined"
"Interactive SUS","1","2","1720730434665","undefined"
"Interactive SUS","2","4","1720730434665","undefined"
"Interactive SUS","3","1","1720730434665","undefined"
"Interactive SUS","4","4","1720730434665","undefined"
"Interactive SUS","5","1","1720730434665","undefined"
"Interactive SUS","6","4","1720730434665","undefined"
"Interactive SUS","7","1","1720730434665","undefined"
"Interactive SUS","8","5","1720730434665","undefined"
"Interactive SUS","9","1","1720730434665","undefined"
