t,e,c,v
1720807772585,n,b,
1720807809326,h,s,segment.AB
1720807809340,h,s,segment.AB
1720807809347,h,t,triangle.ABC
1720807809354,h,t,triangle.ABC
1720807809393,h,s,segment.AB
1720807809567,h,s,segment.AB
1720807809567,h,t,triangle.ABC
1720807809589,h,t,triangle.ABC
1720807809589,h,s,segment.AC
1720807809755,h,s,segment.AC
1720807809755,h,t,triangle.ABC
1720807809790,h,t,triangle.ABC
1720807809790,h,s,segment.AB
1720807809977,h,s,segment.AB
1720807809977,h,t,triangle.ABC
1720807810047,h,t,triangle.ABC
1720807810047,h,s,segment.AC
1720807810547,h,s,segment.AC
1720807810547,h,t,triangle.ACD
1720807810624,h,t,triangle.ACD
1720807810639,h,s,segment.AD
1720807811033,h,s,segment.AD
1720807811033,h,t,triangle.ACD
1720807811040,h,t,triangle.ACD
1720807811040,h,s,segment.AD
1720807811048,h,s,segment.AD
1720807811048,h,t,triangle.ACD
1720807811353,h,t,triangle.ACD
1720807811353,h,s,segment.CD
1720807811825,h,s,segment.CD
1720807811825,h,t,triangle.ACD
1720807811859,h,t,triangle.ACD
1720807811859,h,s,segment.AC
1720807812631,h,s,segment.AC
1720807812631,h,t,triangle.ABC
1720807812665,h,t,triangle.ABC
1720807812665,h,s,segment.BC
1720807812707,h,s,segment.BC
1720807812707,h,po,B
1720807812715,h,po,B
1720807814158,p,l,ABC
1720807814339,p,l,ABC
1720807816251,m,d,Congruent triangles
1720807816298,p,l,ADC
1720807817222,m,d,Congruent triangles
1720807817237,p,l,ABC
1720807818050,m,d,Congruent triangles
1720807818068,p,l,ADC
1720807818472,m,d,Congruent triangles
1720807818491,p,l,ABC
1720807818904,m,d,Congruent triangles
1720807818917,p,l,ADC
1720807821695,h,s,segment.CD
1720807822121,c,s,segment.CD
1720807822772,h,t,triangle.ACD
1720807822792,h,t,triangle.ACD
1720807822792,h,s,segment.AD
1720807823369,h,s,segment.AD
1720807823369,h,t,triangle.ACD
1720807824049,h,t,triangle.ACD
1720807824049,h,s,segment.AC
1720807824448,c,s,segment.AC
1720807824542,h,t,triangle.ACD
1720807824813,h,t,triangle.ACD
1720807824813,h,s,segment.AD
1720807826398,c,s,segment.AD
1720807826496,h,t,triangle.ACD
1720807826523,h,t,triangle.ACD
1720807826536,h,t,triangle.ABC
1720807826569,h,t,triangle.ABC
1720807826569,h,s,segment.AB
1720807826586,h,s,segment.AB
