pageName,question,answer,time,version
"Background Questions","0","17","1734473498247","undefined"
"Background Questions","1","2021","1734473498247","undefined"
"Background Questions","2","12","1734473498247","undefined"
"Background Questions","3","regular","1734473498247","undefined"
"P1","qID-1","BC","1734473612651","static"
"P1","qID-2","MN","1734473622558","static"
"P1","qID-3","HJ","1734473633262","static"
"P2","qID-1","Angle GHJ","1734473647656","static"
"P2","qID-3","Angle NQP","1734473657122","static"
"P2","qID-2","Angle DEF","1734473670615","static"
"P7","qID-1","SSA (Side-Side-Angle)","1734473695244","static"
"P7","qID-12","No","1734473703007","static"
"P7","qID-13","Yes","1734473707479","static"
"P7","qID-11","be the same shape, not necessarily the same size","1734473735904","static"
"P3","qID-1","SAS (Side-Angle-Side)","1734473743681","static"
"P4","qID-1","SSS (Side-Side-Side)","1734473748001","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1734473753408","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1734473765867","static"
"TutorialProof1","qID-1","No","1734473958595","static"
"TutorialProof1","qID-2","No","1734473988970","static"
"TutorialProof2","qID-1","No","1734474030308","static"
"T1_S1_C2","qID-0","Continue","1734474170898","static"
"T1_S1_C2","qID-11","No","1734474186387","static"
"T1_S1_C2","qID-3","Yes","1734474209526","static"
"T1_S1_C2","qID-4","Yes","1734474222929","static"
"T1_S1_C1","qID-0","Continue","1734474334944","static"
"T1_S1_C1","qID-11","No","1734474372725","static"
"T1_S1_C1","qID-2","Yes","1734474403966","static"
"T1_S1_C1","qID-3","No","1734474426595","static"
"T1_S1_IN2","qID-0","Continue","1734474459935","static"
"T1_S1_IN2","qID-11","No","1734474467677","static"
"T1_S1_IN2","qID-2","No","1734474500628","static"
"T1_S1_IN2","qID-1","Yes","1734474539597","static"
"T1_S1_IN3","qID-0","Continue","1734474602414","static"
"T1_S1_IN3","qID-11","No","1734474639669","static"
"T1_S1_IN3","qID-3","Yes","1734474656475","static"
"T1_S1_IN1","qID-0","Continue","1734474717065","static"
"T1_S1_IN1","qID-11","Yes","1734474735381","static"
"T1_S1_IN1","qID-12","Step 4","1734474744142","static"
"T1_S1_IN1","qID-13","Continue","1734474753404","static"
"T1_S1_IN1","qID-3","No","1734474826824","static"
"T1_S1_IN1","qID-2","No","1734474854582","static"
"T1_S2_IN2","qID-0","Continue","1734474948267","static"
"T1_S2_IN2","qID-11","No","1734474987808","static"
"T1_S2_IN2","qID-2","Yes","1734475011045","static"
"T1_S2_IN2","qID-1","Yes","1734475112598","static"
"T1_S2_IN1","qID-0","Continue","1734475229191","static"
"T1_S2_IN1","qID-11","No","1734475279171","static"
"T1_S2_IN1","qID-2","Yes","1734475300818","static"
"T1_S2_C2","qID-0","Continue","1734475379601","static"
"T1_S2_C2","qID-11","No","1734475380761","static"
"T1_S2_C2","qID-1","No","1734475400894","static"
"T1_S2_C2","qID-2","No","1734475443895","static"
"SUS","0","4","1734475547709","undefined"
"SUS","1","2","1734475547709","undefined"
"SUS","2","4","1734475547709","undefined"
"SUS","3","1","1734475547709","undefined"
"SUS","4","5","1734475547709","undefined"
"SUS","5","1","1734475547709","undefined"
"SUS","6","5","1734475547709","undefined"
"SUS","7","2","1734475547709","undefined"
"SUS","8","5","1734475547710","undefined"
"SUS","9","1","1734475547710","undefined"
