pageName,question,answer,time,version
"Background Questions","0","17","1734221777390","undefined"
"Background Questions","1","2021","1734221777390","undefined"
"Background Questions","2","17","1734221777390","undefined"
"Background Questions","3","regular","1734221777390","undefined"
"P1","qID-1","BC","1734221850179","static"
"P1","qID-3","HJ","1734221863139","static"
"P1","qID-2","MN","1734221880699","static"
"P2","qID-1","Angle GHJ","1734221895368","static"
"P2","qID-3","Angle NQP","1734221907073","static"
"P2","qID-2","Angle DEF","1734221916451","static"
"P4","qID-1","SSS (Side-Side-Side)","1734221947811","static"
"P4","qID-12","Yes","1734221958169","static"
"P4","qID-11","be the same shape and size, can be mirror images of each other","1734222003993","static"
"P4","qID-13","No","1734222013588","static"
"P3","qID-1","SAS (Side-Angle-Side)","1734222028753","static"
"P7","qID-1","SAS (Side-Angle-Side)","1734222043281","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1734222066319","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1734222077244","static"
"TutorialProof1","qID-1","Yes","1734222202797","static"
"TutorialProof1","qID-2","Yes","1734222232087","static"
"TutorialProof2","qID-1","No","1734222282907","static"
"T1_S1_C1","qID-0","Continue","1734222519973","static"
"T1_S1_C1","qID-11","No","1734222597348","static"
"T1_S1_C1","qID-2","Yes","1734222623145","static"
"T1_S1_C1","qID-3","Yes","1734222646405","static"
"T1_S1_C2","qID-0","Continue","1734223058317","static"
"T1_S1_C2","qID-11","Yes","1734223087381","static"
"T1_S1_C2","qID-12","Step 8","1734223157341","static"
"T1_S1_C2","qID-13","Continue","1734223165344","static"
"T1_S1_IN3","qID-0","Continue","1734223297292","static"
"T1_S1_IN3","qID-11","No","1734223307915","static"
"T1_S1_IN3","qID-3","Yes","1734223323337","static"
"T1_S1_IN2","qID-0","Continue","1734223420225","static"
"T1_S1_IN2","qID-11","No","1734223422526","static"
"T1_S1_IN2","qID-1","Yes","1734223448944","static"
"T1_S1_IN2","qID-2","No","1734223493943","static"
"T1_S1_IN1","qID-0","Continue","1734223615380","static"
"T1_S1_IN1","qID-11","No","1734223617060","static"
"T1_S1_IN1","qID-2","Yes","1734223656265","static"
"T1_S1_IN1","qID-3","Yes","1734223688496","static"
"T1_S2_IN1","qID-0","Continue","1734223879067","static"
"T1_S2_IN1","qID-11","No","1734223881526","static"
"T1_S2_IN1","qID-2","Yes","1734223895786","static"
"T1_S2_IN2","qID-0","Continue","1734224049565","static"
"T1_S2_IN2","qID-11","No","1734224051407","static"
"T1_S2_IN2","qID-2","Yes","1734224067361","static"
"T1_S2_IN2","qID-1","Yes","1734224107352","static"
"T1_S2_C2","qID-0","Continue","1734224285293","static"
"T1_S2_C2","qID-11","No","1734224287213","static"
"T1_S2_C2","qID-1","Yes","1734224320295","static"
"T1_S2_C2","qID-2","Yes","1734224334233","static"
"SUS","0","5","1734224410004","undefined"
"SUS","1","1","1734224410004","undefined"
"SUS","2","5","1734224410004","undefined"
"SUS","3","1","1734224410004","undefined"
"SUS","4","5","1734224410004","undefined"
"SUS","5","1","1734224410004","undefined"
"SUS","6","5","1734224410004","undefined"
"SUS","7","1","1734224410005","undefined"
"SUS","8","5","1734224410005","undefined"
"SUS","9","1","1734224410005","undefined"
