pageName,question,answer,time,version
"T1_S2_IN1","qID-1","Yes","1730130534400","interactive"
"T1_S2_IN1","qID-0","Continue","1733871382300","interactive"
"T1_S2_IN1","qID-11","Yes","1733871387393","interactive"
"T1_S2_IN1","qID-12","Step 8","1733871393078","interactive"
"T1_S2_IN1","qID-13","Continue","1733871450105","interactive"
"T1_S2_IN1","qID-2","No","1733871465891","interactive"
"T1_S1_C1","qID-1","Yes","1730737733922","interactive"
"T1_S1_C1","qID-2","Yes","1733870803621","interactive"
"T1_S1_C1","qID-3","No","1733870868025","interactive"
"T1_S1_C1","qID-0","Continue","1733870703965","interactive"
"T1_S1_C1","qID-11","Yes","1733870713050","interactive"
"T1_S1_C1","qID-12","Step 5","1733870722571","interactive"
"T1_S1_C1","qID-13","Continue","1733870755589","interactive"
"Background Questions","0","15","1733869063212","undefined"
"Background Questions","1","2025","1733869063212","undefined"
"Background Questions","2","10","1733869063212","undefined"
"Background Questions","3","regular","1733869063213","undefined"
"P1","qID-1","BC","1733869165840","static"
"P1","qID-3","HJ","1733869156486","static"
"P1","qID-2","MN","1733869145953","static"
"P2","qID-2","Angle DEF","1733869183208","static"
"P2","qID-3","Angle NQP","1733869174824","static"
"P2","qID-1","Angle GHJ","1733869190241","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1733869294787","static"
"P5","qID-13","No","1733773635219","static"
"P5","qID-11","be the same shape and size, can be mirror images of each other","1733773637969","static"
"P5","qID-12","No","1733773639250","static"
"P7","qID-1","RHL (Right-Hypotenuse-Leg)","1733869337929","static"
"P3","qID-1","SAS (Side-Angle-Side)","1733869311648","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1733869303241","static"
"P4","qID-1","SSS (Side-Side-Side)","1733869198178","static"
"P4","qID-13","No","1733869205154","static"
"P4","qID-12","No","1733869213034","static"
"P4","qID-11","be the same shape and size, can be mirror images of each other","1733869276860","static"
"TutorialProof1","qID-1","Yes","1733869503844","interactive"
"TutorialProof1","qID-2","No","1733869556814","interactive"
"TutorialProof2","qID-1","No","1733869711438","interactive"
"T1_S1_IN2","qID-0","Continue","1733870191686","interactive"
"T1_S1_IN2","qID-11","Yes","1733870194770","interactive"
"T1_S1_IN2","qID-12","Step 4","1733870204400","interactive"
"T1_S1_IN2","qID-13","Continue","1733870269008","interactive"
"T1_S1_IN2","qID-2","No","1733870283820","interactive"
"T1_S1_IN2","qID-1","Yes","1733870348824","interactive"
"T1_S1_IN3","qID-0","Continue","1733870951743","interactive"
"T1_S1_IN3","qID-11","Yes","1733870954664","interactive"
"T1_S1_IN3","qID-12","Step 4","1733870963504","interactive"
"T1_S1_IN3","qID-13","Continue","1733871018705","interactive"
"T1_S1_IN3","qID-3","Yes","1733871029663","interactive"
"T1_S1_C2","qID-0","Continue","1733870462882","interactive"
"T1_S1_C2","qID-11","No","1733870508986","interactive"
"T1_S1_C2","qID-4","Yes","1733870527537","interactive"
"T1_S1_C2","qID-3","Yes","1733870563259","interactive"
"T1_S1_IN1","qID-0","Continue","1733869923787","interactive"
"T1_S1_IN1","qID-11","Yes","1733869932269","interactive"
"T1_S1_IN1","qID-12","Step 4","1733869988403","interactive"
"T1_S1_IN1","qID-13","Continue","1733870019736","interactive"
"T1_S1_IN1","qID-2","No","1733870049931","interactive"
"T1_S1_IN1","qID-3","No","1733870090710","interactive"
"T1_S2_C2","qID-0","Continue","1733871614990","interactive"
"T1_S2_C2","qID-11","No","1733871638151","interactive"
"T1_S2_C2","qID-1","No","1733871790726","interactive"
"T1_S2_C2","qID-2","No","1733871823321","interactive"
"T1_S2_IN2","qID-0","Continue","1733871151354","interactive"
"T1_S2_IN2","qID-11","Yes","1733871153341","interactive"
"T1_S2_IN2","qID-12","Step 7","1733871161537","interactive"
"T1_S2_IN2","qID-13","Continue","1733871184596","interactive"
"T1_S2_IN2","qID-2","No","1733871243740","interactive"
"T1_S2_IN2","qID-1","No","1733871219208","interactive"
"SUS","0","3","1733872054445","undefined"
"SUS","1","1","1733872054445","undefined"
"SUS","2","5","1733872054445","undefined"
"SUS","3","1","1733872054445","undefined"
"SUS","4","5","1733872054446","undefined"
"SUS","5","1","1733872054446","undefined"
"SUS","6","5","1733872054446","undefined"
"SUS","7","1","1733872054446","undefined"
"SUS","8","5","1733872054446","undefined"
"SUS","9","1","1733872054446","undefined"
