pageName,question,answer,time,version
"Background Questions","0","15","1734279271538","undefined"
"Background Questions","1","2023-2024","1734279271539","undefined"
"Background Questions","2","10","1734279271539","undefined"
"Background Questions","3","regular","1734279271539","undefined"
"P1","qID-1","BC","1734279360701","static"
"P1","qID-3","HJ","1734279369520","static"
"P1","qID-2","MN","1734279378553","static"
"P2","qID-3","Angle NQP","1734279387372","static"
"P2","qID-1","Angle GHJ","1734279398419","static"
"P2","qID-2","Angle DEF","1734279407503","static"
"P7","qID-1","SSA (Side-Side-Angle)","1734279432222","static"
"P7","qID-12","Yes","1734279437557","static"
"P7","qID-13","Yes","1734279439724","static"
"P7","qID-11","be the same shape and size, can be mirror images of each other","1734279463896","static"
"P4","qID-1","SSS (Side-Side-Side)","1734279471030","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1734279479569","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1734279487185","static"
"P3","qID-1","SAS (Side-Angle-Side)","1734279494386","static"
"TutorialProof1","qID-1","No","1734279726908","interactive"
"TutorialProof1","qID-2","Yes","1734279734496","interactive"
"TutorialProof2","qID-1","No","1734279782848","interactive"
"T1_S1_C2","qID-0","Continue","1734279907224","interactive"
"T1_S1_C2","qID-11","No","1734279937390","interactive"
"T1_S1_C2","qID-4","Yes","1734279960565","interactive"
"T1_S1_C2","qID-3","Yes","1734279986589","interactive"
"T1_S1_IN1","qID-0","Continue","1734280045881","interactive"
"T1_S1_IN1","qID-11","Yes","1734280081605","interactive"
"T1_S1_IN1","qID-12","Step 4","1734280090056","interactive"
"T1_S1_IN1","qID-13","Continue","1734280114252","interactive"
"T1_S1_IN1","qID-2","Yes","1734280135057","interactive"
"T1_S1_IN1","qID-3","Yes","1734280150807","interactive"
"T1_S1_C1","qID-0","Continue","1734280187669","interactive"
"T1_S1_C1","qID-11","No","1734280189079","interactive"
"T1_S1_C1","qID-2","No","1734280208715","interactive"
"T1_S1_C1","qID-3","Yes","1734280238948","interactive"
"T1_S1_IN3","qID-0","Continue","1734280367359","interactive"
"T1_S1_IN3","qID-11","Yes","1734280370036","interactive"
"T1_S1_IN3","qID-12","Step 4","1734280373063","interactive"
"T1_S1_IN3","qID-13","Continue","1734280387551","interactive"
"T1_S1_IN3","qID-3","Yes","1734280405820","interactive"
"T1_S1_IN2","qID-0","Continue","1734280448595","interactive"
"T1_S1_IN2","qID-11","Yes","1734280450684","interactive"
"T1_S1_IN2","qID-12","Step 5","1734280461505","interactive"
"T1_S1_IN2","qID-13","Continue","1734280512038","interactive"
"T1_S1_IN2","qID-1","Yes","1734280519125","interactive"
"T1_S1_IN2","qID-2","No","1734280548211","interactive"
"T1_S2_IN2","qID-0","Continue","1734280593944","interactive"
"T1_S2_IN2","qID-11","No","1734280681140","interactive"
"T1_S2_IN2","qID-1","Yes","1734280702303","interactive"
"T1_S2_IN2","qID-2","No","1734280736619","interactive"
"T1_S2_IN1","qID-0","Continue","1734280893547","interactive"
"T1_S2_IN1","qID-11","Yes","1734280895741","interactive"
"T1_S2_IN1","qID-12","Step 8","1734280902419","interactive"
"T1_S2_IN1","qID-13","Continue","1734280949030","interactive"
"T1_S2_IN1","qID-2","Yes","1734280954521","interactive"
"T1_S2_C2","qID-0","Continue","1734280996752","interactive"
"T1_S2_C2","qID-11","No","1734280999784","interactive"
"T1_S2_C2","qID-2","No","1734281045708","interactive"
"T1_S2_C2","qID-1","Yes","1734281057417","interactive"
"SUS","0","2","1734281168299","undefined"
"SUS","1","1","1734281168299","undefined"
"SUS","2","5","1734281168299","undefined"
"SUS","3","1","1734281168299","undefined"
"SUS","4","5","1734281168299","undefined"
"SUS","5","1","1734281168299","undefined"
"SUS","6","4","1734281168299","undefined"
"SUS","7","1","1734281168299","undefined"
"SUS","8","5","1734281168300","undefined"
"SUS","9","1","1734281168300","undefined"
