pageName,question,answer,time,version
"Background Questions","0","15","1734556033632","undefined"
"Background Questions","1","2025","1734556033632","undefined"
"Background Questions","2","10","1734556033632","undefined"
"Background Questions","3","regular","1734556033632","undefined"
"P1","qID-2","MN","1734556138702","static"
"P1","qID-1","BC","1734556150914","static"
"P1","qID-3","HJ","1734556163123","static"
"P2","qID-3","Angle NQP","1734556171112","static"
"P2","qID-2","Angle DEF","1734556183218","static"
"P2","qID-1","Angle GHJ","1734556189945","static"
"P3","qID-1","SAS (Side-Angle-Side)","1734556203346","static"
"P3","qID-13","No","1734556214545","static"
"P3","qID-11","each have two segments with the same number of tick marks","1734556260477","static"
"P3","qID-12","Yes","1734556263552","static"
"P7","qID-1","SSA (Side-Side-Angle)","1734556275038","static"
"P4","qID-1","SSS (Side-Side-Side)","1734556284544","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1734556293321","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1734556302088","static"
"TutorialProof1","qID-1","No","1734556465218","interactive"
"TutorialProof1","qID-2","No","1734556480011","interactive"
"TutorialProof2","qID-1","No","1734556524710","interactive"
"T1_S1_IN1","qID-0","Continue","1734556586735","interactive"
"T1_S1_IN1","qID-11","Yes","1734556614579","interactive"
"T1_S1_IN1","qID-12","Step 4","1734556620691","interactive"
"T1_S1_IN1","qID-13","Continue","1734556632579","interactive"
"T1_S1_IN1","qID-3","Yes","1734556680294","interactive"
"T1_S1_IN1","qID-2","No","1734556692002","interactive"
"T1_S1_IN2","qID-0","Continue","1734556696020","interactive"
"T1_S1_IN2","qID-11","Yes","1734556757980","interactive"
"T1_S1_IN2","qID-12","Step 5","1734556762047","interactive"
"T1_S1_IN2","qID-13","Continue","1734556785572","interactive"
"T1_S1_IN2","qID-2","No","1734556797444","interactive"
"T1_S1_IN2","qID-1","Yes","1734556829413","interactive"
"T1_S1_C1","qID-0","Continue","1734556835478","interactive"
"T1_S1_C1","qID-11","No","1734556898882","interactive"
"T1_S1_C1","qID-3","No","1734556915907","interactive"
"T1_S1_C1","qID-2","Yes","1734556931983","interactive"
"T1_S1_C2","qID-0","Continue","1734556984489","interactive"
"T1_S1_C2","qID-11","No","1734556988710","interactive"
"T1_S1_C2","qID-4","Yes","1734556999018","interactive"
"T1_S1_C2","qID-3","Yes","1734557007739","interactive"
"T1_S1_IN3","qID-0","Continue","1734557056674","interactive"
"T1_S1_IN3","qID-11","Yes","1734557059939","interactive"
"T1_S1_IN3","qID-12","Step 4","1734557064505","interactive"
"T1_S1_IN3","qID-13","Continue","1734557116685","interactive"
"T1_S1_IN3","qID-3","Yes","1734557125737","interactive"
"T1_S2_C2","qID-0","Continue","1734557182836","interactive"
"T1_S2_C2","qID-11","No","1734557184518","interactive"
"T1_S2_C2","qID-2","No","1734557207446","interactive"
"T1_S2_C2","qID-1","No","1734557217751","interactive"
"T1_S2_IN1","qID-0","Continue","1734557294420","interactive"
"T1_S2_IN1","qID-11","Yes","1734557295905","interactive"
"T1_S2_IN1","qID-12","Step 7","1734557299714","interactive"
"T1_S2_IN1","qID-13","Continue","1734557325501","interactive"
"T1_S2_IN1","qID-2","Yes","1734557339915","interactive"
"T1_S2_IN2","qID-0","Continue","1734557371859","interactive"
"T1_S2_IN2","qID-11","Yes","1734557413541","interactive"
"T1_S2_IN2","qID-12","Step 8","1734557417245","interactive"
"T1_S2_IN2","qID-13","Continue","1734557451106","interactive"
"T1_S2_IN2","qID-1","Yes","1734557460911","interactive"
"T1_S2_IN2","qID-2","No","1734557496021","interactive"
"SUS","0","3","1734557584502","undefined"
"SUS","1","2","1734557584502","undefined"
"SUS","2","5","1734557584502","undefined"
"SUS","3","4","1734557584502","undefined"
"SUS","4","5","1734557584502","undefined"
"SUS","5","1","1734557584502","undefined"
"SUS","6","4","1734557584502","undefined"
"SUS","7","1","1734557584503","undefined"
"SUS","8","3","1734557584503","undefined"
"SUS","9","2","1734557584503","undefined"
