pageName,question,answer,time,version
"Background Questions","0","15","1734295261689","undefined"
"Background Questions","1","2024","1734295261689","undefined"
"Background Questions","2","10","1734295261689","undefined"
"Background Questions","3","regular","1734295261689","undefined"
"P1","qID-2","MN","1734295356840","static"
"P1","qID-1","BC","1734295379669","static"
"P1","qID-3","HJ","1734295391649","static"
"P2","qID-2","Angle DEF","1734295399396","static"
"P2","qID-1","Angle GHJ","1734295406111","static"
"P2","qID-3","Angle NQP","1734295413537","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1734295427408","static"
"P5","qID-12","Yes","1734295439439","static"
"P5","qID-13","Yes","1734295443077","static"
"P5","qID-11","be the same shape, not necessarily the same size","1734295477856","static"
"P3","qID-1","SAS (Side-Angle-Side)","1734295490593","static"
"P4","qID-1","SSS (Side-Side-Side)","1734295500659","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1734295510763","static"
"P7","qID-1","RHL (Right-Hypotenuse-Leg)","1734295543462","static"
"TutorialProof1","qID-1","No","1734295679142","static"
"TutorialProof1","qID-2","No","1734295694044","static"
"TutorialProof2","qID-1","No","1734295717265","static"
"T1_S1_IN2","qID-0","Continue","1734295817763","static"
"T1_S1_IN2","qID-11","Yes","1734295821132","static"
"T1_S1_IN2","qID-12","Step 5","1734295876007","static"
"T1_S1_IN2","qID-13","Continue","1734295909394","static"
"T1_S1_IN2","qID-2","No","1734295921458","static"
"T1_S1_IN2","qID-1","Yes","1734295946534","static"
"T1_S1_C1","qID-0","Continue","1734296155792","static"
"T1_S1_C1","qID-11","No","1734296182485","static"
"T1_S1_C1","qID-3","No","1734296198722","static"
"T1_S1_C1","qID-2","Yes","1734296221508","static"
"T1_S1_IN1","qID-0","Continue","1734296263705","static"
"T1_S1_IN1","qID-11","Yes","1734296403726","static"
"T1_S1_IN1","qID-12","Step 5","1734296407276","static"
"T1_S1_IN1","qID-13","Continue","1734296462763","static"
"T1_S1_IN1","qID-2","No","1734296478198","static"
"T1_S1_IN1","qID-3","No","1734296500506","static"
"T1_S1_IN3","qID-0","Continue","1734296544755","static"
"T1_S1_IN3","qID-11","No","1734296650504","static"
"T1_S1_IN3","qID-3","Yes","1734296670813","static"
"T1_S1_C2","qID-0","Continue","1734296699127","static"
"T1_S1_C2","qID-11","Yes","1734296749146","static"
"T1_S1_C2","qID-12","Step 3","1734296754087","static"
"T1_S1_C2","qID-13","Continue","1734296786157","static"
"T1_S1_C2","qID-3","Yes","1734296862856","static"
"T1_S1_C2","qID-4","Yes","1734296888275","static"
"T1_S2_IN1","qID-0","Continue","1734297243441","static"
"T1_S2_IN1","qID-11","No","1734297250285","static"
"T1_S2_IN1","qID-2","Yes","1734297257781","static"
"T1_S2_IN2","qID-0","Continue","1734297482520","static"
"T1_S2_IN2","qID-11","No","1734297484390","static"
"T1_S2_IN2","qID-2","Yes","1734297491460","static"
"T1_S2_IN2","qID-1","No","1734297547353","static"
"T1_S2_C2","qID-0","Continue","1734297629223","static"
"T1_S2_C2","qID-11","Yes","1734297704167","static"
"T1_S2_C2","qID-12","Step 7","1734297712411","static"
"T1_S2_C2","qID-13","Continue","1734297729195","static"
"T1_S2_C2","qID-1","No","1734297766022","static"
"T1_S2_C2","qID-2","No","1734297889312","static"
"SUS","0","3","1734298252274","undefined"
"SUS","1","2","1734298252274","undefined"
"SUS","2","4","1734298252274","undefined"
"SUS","3","1","1734298252274","undefined"
"SUS","4","3","1734298252275","undefined"
"SUS","5","2","1734298252275","undefined"
"SUS","6","4","1734298252275","undefined"
"SUS","7","2","1734298252275","undefined"
"SUS","8","4","1734298252275","undefined"
"SUS","9","1","1734298252275","undefined"
