pageName,question,answer,time,version
"Background Questions","0","16","1734824020189","undefined"
"Background Questions","1","2023","1734824020189","undefined"
"Background Questions","2","11th","1734824020189","undefined"
"Background Questions","3","regular","1734824020189","undefined"
"P1","qID-2","MN","1734824110424","static"
"P1","qID-1","FG","1734824151584","static"
"P1","qID-3","HJ","1734824164572","static"
"P2","qID-3","Angle NQP","1734824177480","static"
"P2","qID-1","Angle GHJ","1734824237411","static"
"P2","qID-2","Angle DEF","1734824255396","static"
"P7","qID-1","RHL (Right-Hypotenuse-Leg)","1734824307625","static"
"P7","qID-11","be the same shape, not necessarily the same size","1734824336882","static"
"P7","qID-12","No","1734824345035","static"
"P7","qID-13","Yes","1734824356058","static"
"P3","qID-1","SAS (Side-Angle-Side)","1734824366831","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1734824386000","static"
"P6","qID-1","AAA (Angle-Angle-Angle)","1734824415731","static"
"P4","qID-1","SSS (Side-Side-Side)","1734824448149","static"
"TutorialProof1","qID-1","Yes","1734824636725","interactive"
"TutorialProof1","qID-2","No","1734824699174","interactive"
"TutorialProof2","qID-1","No","1734824769328","interactive"
"T1_S1_IN2","qID-0","Continue","1734825121636","interactive"
"T1_S1_IN2","qID-11","Yes","1734825123415","interactive"
"T1_S1_IN2","qID-12","Step 5","1734825126167","interactive"
"T1_S1_IN2","qID-13","Continue","1734825127693","interactive"
"T1_S1_IN2","qID-2","No","1734825129674","interactive"
"T1_S1_IN2","qID-1","Yes","1734825157091","interactive"
"T1_S1_IN3","qID-0","Continue","1734825252393","interactive"
"T1_S1_IN3","qID-11","No","1734825289585","interactive"
"T1_S1_IN3","qID-3","Yes","1734825319933","interactive"
"T1_S1_IN1","qID-0","Continue","1734825435971","interactive"
"T1_S1_IN1","qID-11","No","1734825438410","interactive"
"T1_S1_IN1","qID-3","No","1734825468158","interactive"
"T1_S1_IN1","qID-2","No","1734825483137","interactive"
"T1_S1_C2","qID-0","Continue","1734825595707","interactive"
"T1_S1_C2","qID-11","No","1734825598077","interactive"
"T1_S1_C2","qID-4","Yes","1734825608751","interactive"
"T1_S1_C2","qID-3","Yes","1734825621283","interactive"
"T1_S1_C1","qID-0","Continue","1734825678837","interactive"
"T1_S1_C1","qID-11","No","1734825751306","interactive"
"T1_S1_C1","qID-3","No","1734825771729","interactive"
"T1_S1_C1","qID-2","Yes","1734825804593","interactive"
"T1_S2_C2","qID-0","Continue","1734825831564","interactive"
"T1_S2_C2","qID-11","No","1734825938698","interactive"
"T1_S2_C2","qID-1","No","1734825964083","interactive"
"T1_S2_C2","qID-2","No","1734825994470","interactive"
"T1_S2_IN2","qID-0","Continue","1734826085059","interactive"
"T1_S2_IN2","qID-11","No","1734826086612","interactive"
"T1_S2_IN2","qID-1","No","1734826109388","interactive"
"T1_S2_IN2","qID-2","Yes","1734826126774","interactive"
"T1_S2_IN1","qID-0","Continue","1734826135596","interactive"
"T1_S2_IN1","qID-11","Yes","1734826252423","interactive"
"T1_S2_IN1","qID-12","Step 7","1734826264010","interactive"
"T1_S2_IN1","qID-13","Continue","1734826312906","interactive"
"T1_S2_IN1","qID-2","No","1734826323847","interactive"
"SUS","0","4","1734826403743","undefined"
"SUS","1","4","1734826403743","undefined"
"SUS","2","5","1734826403743","undefined"
"SUS","3","2","1734826403743","undefined"
"SUS","4","4","1734826403743","undefined"
"SUS","5","1","1734826403743","undefined"
"SUS","6","5","1734826403743","undefined"
"SUS","7","1","1734826403743","undefined"
"SUS","8","2","1734826403744","undefined"
"SUS","9","1","1734826403744","undefined"
