pageName,question,answer,time,version
"Background Questions","0","15","1734041427676","undefined"
"Background Questions","1","2023","1734041427676","undefined"
"Background Questions","2","10th","1734041427676","undefined"
"Background Questions","3","regular","1734041427676","undefined"
"P1","qID-3","HJ","1734041485716","static"
"P1","qID-1","MN","1734041510123","static"
"P1","qID-2","BC","1734041514502","static"
"P2","qID-2","Angle DEF","1734041529931","static"
"P2","qID-3","Angle NQP","1734041537618","static"
"P2","qID-1","Angle GHJ","1734041547031","static"
"P7","qID-1","SAS (Side-Angle-Side)","1734041567312","static"
"P7","qID-13","No","1734041575012","static"
"P7","qID-12","No","1734041577665","static"
"P7","qID-11","be the same shape and size, can be mirror images of each other","1734041589489","static"
"P4","qID-1","SSS (Side-Side-Side)","1734041595731","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1734041603396","static"
"P3","qID-1","ASA (Angle-Side-Angle)","1734041608290","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1734041618606","static"
"TutorialProof1","qID-1","Yes","1734041826403","interactive"
"TutorialProof1","qID-2","No","1734041848343","interactive"
"TutorialProof2","qID-1","No","1734041913438","interactive"
"T1_S1_IN2","qID-0","Continue","1734042057253","interactive"
"T1_S1_IN2","qID-11","Yes","1734042059799","interactive"
"T1_S1_IN2","qID-12","Step 5","1734042071625","interactive"
"T1_S1_IN2","qID-13","Continue","1734042157640","interactive"
"T1_S1_IN2","qID-2","No","1734042170620","interactive"
"T1_S1_IN2","qID-1","Yes","1734042212738","interactive"
"T1_S1_IN1","qID-0","Continue","1734042325444","interactive"
"T1_S1_IN1","qID-11","Yes","1734042334302","interactive"
"T1_S1_IN1","qID-12","Step 4","1734042340431","interactive"
"T1_S1_IN1","qID-13","Continue","1734042365517","interactive"
"T1_S1_IN1","qID-3","No","1734042380443","interactive"
"T1_S1_IN1","qID-2","No","1734042399936","interactive"
"T1_S1_C1","qID-0","Continue","1734042495931","interactive"
"T1_S1_C1","qID-11","No","1734042497618","interactive"
"T1_S1_C1","qID-3","No","1734042522334","interactive"
"T1_S1_C1","qID-2","Yes","1734042541511","interactive"
"T1_S1_C2","qID-0","Continue","1734042667553","interactive"
"T1_S1_C2","qID-11","No","1734042670063","interactive"
"T1_S1_C2","qID-4","Yes","1734042691763","interactive"
"T1_S1_C2","qID-3","Yes","1734042711789","interactive"
"T1_S1_IN3","qID-0","Continue","1734042802933","interactive"
"T1_S1_IN3","qID-11","Yes","1734042811801","interactive"
"T1_S1_IN3","qID-12","Step 4","1734042817287","interactive"
"T1_S1_IN3","qID-13","Continue","1734042893401","interactive"
"T1_S1_IN3","qID-3","No","1734042899161","interactive"
"T1_S2_IN2","qID-0","Continue","1734043001740","interactive"
"T1_S2_IN2","qID-11","Yes","1734043003961","interactive"
"T1_S2_IN2","qID-12","Step 7","1734043035852","interactive"
"T1_S2_IN2","qID-13","Continue","1734043076063","interactive"
"T1_S2_IN2","qID-1","No","1734043122780","interactive"
"T1_S2_IN2","qID-2","No","1734043151117","interactive"
"T1_S2_C2","qID-0","Continue","1734043328788","interactive"
"T1_S2_C2","qID-11","No","1734043330047","interactive"
"T1_S2_C2","qID-1","No","1734043370578","interactive"
"T1_S2_C2","qID-2","No","1734043417716","interactive"
"T1_S2_IN1","qID-0","Continue","1734043559097","interactive"
"T1_S2_IN1","qID-11","Yes","1734043560679","interactive"
"T1_S2_IN1","qID-12","Step 8","1734043569844","interactive"
"T1_S2_IN1","qID-13","Continue","1734043625346","interactive"
"T1_S2_IN1","qID-2","No","1734043629788","interactive"
"SUS","0","4","1734043719289","undefined"
"SUS","1","2","1734043719289","undefined"
"SUS","2","4","1734043719289","undefined"
"SUS","3","1","1734043719289","undefined"
"SUS","4","5","1734043719289","undefined"
"SUS","5","1","1734043719289","undefined"
"SUS","6","5","1734043719289","undefined"
"SUS","7","1","1734043719289","undefined"
"SUS","8","4","1734043719289","undefined"
"SUS","9","2","1734043719289","undefined"
