pageName,question,answer,time,version
"Background Questions","0","16","1733951582309","undefined"
"Background Questions","1","2023","1733951582309","undefined"
"Background Questions","2","10","1733951582309","undefined"
"Background Questions","3","regular","1733951582309","undefined"
"P1","qID-2","MN","1733951699565","static"
"P1","qID-1","BC","1733951714843","static"
"P1","qID-3","HJ","1733951726033","static"
"P2","qID-3","Angle NQP","1733951737718","static"
"P2","qID-2","Angle DEF","1733951757129","static"
"P2","qID-1","Angle GHJ","1733951769149","static"
"P7","qID-1","SSA (Side-Side-Angle)","1733951797020","static"
"P7","qID-11","be the same shape and size, can be mirror images of each other","1733951824201","static"
"P7","qID-12","Yes","1733951832895","static"
"P7","qID-13","Yes","1733951836402","static"
"P4","qID-1","SSS (Side-Side-Side)","1733951849297","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1733951857538","static"
"P3","qID-1","SAS (Side-Angle-Side)","1733951885790","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1733951898532","static"
"TutorialProof1","qID-1","Yes","1733951999071","static"
"TutorialProof1","qID-2","No","1733952015362","static"
"TutorialProof2","qID-1","No","1733952068103","static"
"T1_S1_C1","qID-0","Continue","1733952202209","static"
"T1_S1_C1","qID-11","Yes","1733952220388","static"
"T1_S1_C1","qID-12","Step 5","1733952257513","static"
"T1_S1_C1","qID-13","Continue","1733952351382","static"
"T1_S1_C1","qID-2","Yes","1733952382209","static"
"T1_S1_C1","qID-3","No","1733952420156","static"
"T1_S1_C2","qID-0","Continue","1733952539129","static"
"T1_S1_C2","qID-11","Yes","1733952582816","static"
"T1_S1_C2","qID-12","Step 3","1733952630981","static"
"T1_S1_C2","qID-13","Continue","1733952645538","static"
"T1_S1_C2","qID-3","Yes","1733952687988","static"
"T1_S1_C2","qID-4","Yes","1733952700348","static"
"T1_S1_IN3","qID-0","Continue","1733952781597","static"
"T1_S1_IN3","qID-11","No","1733952798224","static"
"T1_S1_IN3","qID-3","Yes","1733952841998","static"
"T1_S1_IN2","qID-0","Continue","1733952923103","static"
"T1_S1_IN2","qID-11","No","1733952925592","static"
"T1_S1_IN2","qID-2","No","1733952960837","static"
"T1_S1_IN2","qID-1","No","1733952989853","static"
"T1_S1_IN1","qID-0","Continue","1733953036040","static"
"T1_S1_IN1","qID-11","No","1733953039795","static"
"T1_S1_IN1","qID-2","No","1733953085807","static"
"T1_S1_IN1","qID-3","No","1733953110965","static"
"T1_S2_IN1","qID-0","Continue","1733953324116","static"
"T1_S2_IN1","qID-11","Yes","1733953326598","static"
"T1_S2_IN1","qID-12","Step 6","1733953332546","static"
"T1_S2_IN1","qID-13","Continue","1733953384039","static"
"T1_S2_IN1","qID-2","Yes","1733953396092","static"
"T1_S2_IN2","qID-0","Continue","1733953600934","static"
"T1_S2_IN2","qID-11","No","1733953605446","static"
"T1_S2_IN2","qID-2","No","1733953653199","static"
"T1_S2_IN2","qID-1","No","1733953671789","static"
"T1_S2_C2","qID-0","Continue","1733953813663","static"
"T1_S2_C2","qID-11","No","1733953815827","static"
"T1_S2_C2","qID-1","Yes","1733953826761","static"
"T1_S2_C2","qID-2","No","1733953842193","static"
"SUS","0","3","1733953963474","undefined"
"SUS","1","2","1733953963474","undefined"
"SUS","2","5","1733953963474","undefined"
"SUS","3","1","1733953963474","undefined"
"SUS","4","4","1733953963474","undefined"
"SUS","5","1","1733953963474","undefined"
"SUS","6","5","1733953963474","undefined"
"SUS","7","1","1733953963475","undefined"
"SUS","8","4","1733953963475","undefined"
"SUS","9","1","1733953963475","undefined"
