pageName,question,answer,time,version
"Background Questions","0","15","1734299117349","undefined"
"Background Questions","1","2025","1734299117349","undefined"
"Background Questions","2","10","1734299117349","undefined"
"Background Questions","3","regular","1734299117349","undefined"
"P1","qID-2","MN","1734299215718","static"
"P1","qID-3","HJ","1734299225908","static"
"P1","qID-1","BC","1734299242865","static"
"P2","qID-2","Angle DEF","1734299249787","static"
"P2","qID-1","Angle GHJ","1734299256650","static"
"P2","qID-3","Angle NQP","1734299262613","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1734299309514","static"
"P5","qID-11","each have two segments with the same number of tick marks","1734299331810","static"
"P5","qID-13","No","1734299336562","static"
"P5","qID-12","Yes","1734299340491","static"
"P4","qID-1","SSS (Side-Side-Side)","1734299348983","static"
"P7","qID-1","SSA (Side-Side-Angle)","1734299356423","static"
"P3","qID-1","SAS (Side-Angle-Side)","1734299362458","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1734299367509","static"
"TutorialProof1","qID-1","Yes","1734299542424","interactive"
"TutorialProof1","qID-2","No","1734299591088","interactive"
"TutorialProof2","qID-1","No","1734299655204","interactive"
"T1_S1_IN3","qID-0","Continue","1734299765007","interactive"
"T1_S1_IN3","qID-11","No","1734299770908","interactive"
"T1_S1_IN3","qID-3","Yes","1734299795826","interactive"
"T1_S1_IN2","qID-0","Continue","1734299871241","interactive"
"T1_S1_IN2","qID-11","Yes","1734299874872","interactive"
"T1_S1_IN2","qID-12","Step 4","1734299902928","interactive"
"T1_S1_IN2","qID-13","Continue","1734299978854","interactive"
"T1_S1_IN2","qID-1","Yes","1734299991626","interactive"
"T1_S1_IN2","qID-2","No","1734300007699","interactive"
"T1_S1_C2","qID-0","Continue","1734300024589","interactive"
"T1_S1_C2","qID-11","No","1734300037910","interactive"
"T1_S1_C2","qID-3","Yes","1734300110770","interactive"
"T1_S1_C2","qID-4","Yes","1734300136544","interactive"
"T1_S1_IN1","qID-0","Continue","1734300161428","interactive"
"T1_S1_IN1","qID-11","No","1734300205909","interactive"
"T1_S1_IN1","qID-3","Yes","1734300220804","interactive"
"T1_S1_IN1","qID-2","No","1734300231263","interactive"
"T1_S1_C1","qID-0","Continue","1734300254905","interactive"
"T1_S1_C1","qID-11","No","1734300261420","interactive"
"T1_S1_C1","qID-2","No","1734300279423","interactive"
"T1_S1_C1","qID-3","Yes","1734300329928","interactive"
"T1_S2_IN2","qID-0","Continue","1734300343690","interactive"
"T1_S2_IN2","qID-11","No","1734300362408","interactive"
"T1_S2_IN2","qID-1","Yes","1734300403323","interactive"
"T1_S2_IN2","qID-2","Yes","1734300448795","interactive"
"T1_S2_C2","qID-0","Continue","1734300457570","interactive"
"T1_S2_C2","qID-11","No","1734300459912","interactive"
"T1_S2_C2","qID-1","No","1734300496698","interactive"
"T1_S2_C2","qID-2","No","1734300551142","interactive"
"T1_S2_IN1","qID-0","Continue","1734300563020","interactive"
"T1_S2_IN1","qID-11","No","1734300574511","interactive"
"T1_S2_IN1","qID-2","Yes","1734300674198","interactive"
"SUS","0","5","1734300908699","undefined"
"SUS","1","4","1734300908699","undefined"
"SUS","2","5","1734300908699","undefined"
"SUS","3","4","1734300908699","undefined"
"SUS","4","5","1734300908699","undefined"
"SUS","5","3","1734300908699","undefined"
"SUS","6","5","1734300908699","undefined"
"SUS","7","2","1734300908699","undefined"
"SUS","8","5","1734300908699","undefined"
"SUS","9","4","1734300908700","undefined"
