pageName,question,answer,time,version
"Background Questions","0","14","1736629563452","undefined"
"Background Questions","1","2025","1736629563453","undefined"
"Background Questions","2","10","1736629563453","undefined"
"Background Questions","3","regular","1736629563453","undefined"
"P1","qID-1","BC","1736629642716","static"
"P1","qID-3","HJ","1736629654623","static"
"P1","qID-2","MN","1736629661931","static"
"P2","qID-1","Angle GHJ","1736629673686","static"
"P2","qID-3","Angle NQP","1736629683243","static"
"P2","qID-2","Angle DEF","1736629693817","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1736629707470","static"
"P6","qID-13","No","1736629714345","static"
"P6","qID-11","each have two angles with the same number of tick marks","1736629769111","static"
"P6","qID-12","No","1736629778051","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1736629794088","static"
"P3","qID-1","SAS (Side-Angle-Side)","1736629807769","static"
"P4","qID-1","SSS (Side-Side-Side)","1736629813008","static"
"P7","qID-1","SSA (Side-Side-Angle)","1736629831921","static"
"TutorialProof1","qID-1","Yes","1736629971540","interactive"
"TutorialProof1","qID-2","No","1736630002726","interactive"
"TutorialProof2","qID-1","No","1736630074516","interactive"
"T1_S1_IN1","qID-0","Continue","1736630288908","interactive"
"T1_S1_IN1","qID-11","Yes","1736630290280","interactive"
"T1_S1_IN1","qID-12","Step 4","1736630292439","interactive"
"T1_S1_IN1","qID-13","Continue","1736630293678","interactive"
"T1_S1_IN1","qID-2","No","1736630298999","interactive"
"T1_S1_IN1","qID-3","No","1736630345724","interactive"
"T1_S1_IN3","qID-0","Continue","1736630371247","interactive"
"T1_S1_IN3","qID-11","No","1736630381788","interactive"
"T1_S1_IN3","qID-3","Yes","1736630398432","interactive"
"T1_S1_IN2","qID-0","Continue","1736630474174","interactive"
"T1_S1_IN2","qID-11","Yes","1736630475728","interactive"
"T1_S1_IN2","qID-12","Step 5","1736630497039","interactive"
"T1_S1_IN2","qID-13","Continue","1736630588183","interactive"
"T1_S1_IN2","qID-2","No","1736630607639","interactive"
"T1_S1_IN2","qID-1","Yes","1736630633435","interactive"
"T1_S1_C2","qID-0","Continue","1736630686041","interactive"
"T1_S1_C2","qID-11","No","1736630690758","interactive"
"T1_S1_C2","qID-3","Yes","1736630700531","interactive"
"T1_S1_C2","qID-4","Yes","1736630708888","interactive"
"T1_S1_C1","qID-0","Continue","1736630756363","interactive"
"T1_S1_C1","qID-11","No","1736630767063","interactive"
"T1_S1_C1","qID-2","Yes","1736630789924","interactive"
"T1_S1_C1","qID-3","Yes","1736630800437","interactive"
"T1_S2_IN2","qID-0","Continue","1736630841029","interactive"
"T1_S2_IN2","qID-11","Yes","1736630842587","interactive"
"T1_S2_IN2","qID-12","Step 7","1736630852285","interactive"
"T1_S2_IN2","qID-13","Continue","1736630858360","interactive"
"T1_S2_IN2","qID-2","No","1736630874453","interactive"
"T1_S2_IN2","qID-1","No","1736630950196","interactive"
"T1_S2_C2","qID-0","Continue","1736631276827","interactive"
"T1_S2_C2","qID-11","No","1736631017307","interactive"
"T1_S2_C2","qID-2","No","1736631040026","interactive"
"T1_S2_C2","qID-1","No","1736631123551","interactive"
"T1_S2_IN1","qID-0","Continue","1736631281786","interactive"
"T1_S2_IN1","qID-11","No","1736631284813","interactive"
"T1_S2_IN1","qID-2","Yes","1736631303413","interactive"
"SUS","0","2","1736631403046","undefined"
"SUS","1","4","1736631403047","undefined"
"SUS","2","3","1736631403047","undefined"
"SUS","3","4","1736631403047","undefined"
"SUS","4","4","1736631403047","undefined"
"SUS","5","1","1736631403047","undefined"
"SUS","6","3","1736631403047","undefined"
"SUS","7","3","1736631403047","undefined"
"SUS","8","2","1736631403047","undefined"
"SUS","9","3","1736631403047","undefined"
