pageName,question,answer,time,version
"Background Questions","0","15","1736623671077","undefined"
"Background Questions","1","2024","1736623671077","undefined"
"Background Questions","2","9","1736623671077","undefined"
"Background Questions","3","regular","1736623671077","undefined"
"P1","qID-2","MN","1736623765366","static"
"P1","qID-1","BC","1736623814182","static"
"P1","qID-3","HJ","1736623779753","static"
"P2","qID-3","Angle NQP","1736623859272","static"
"P2","qID-1","Angle GHJ","1736623880026","static"
"P2","qID-2","Angle DEF","1736623844956","static"
"P7","qID-1","RHL (Right-Hypotenuse-Leg)","1736623984957","static"
"P7","qID-11","be the same shape, not necessarily the same size","1734824336882","static"
"P7","qID-12","No","1734824345035","static"
"P7","qID-13","Yes","1734824356058","static"
"P3","qID-1","SAS (Side-Angle-Side)","1736624061160","static"
"P5","qID-1","SAS (Side-Angle-Side)","1736624034177","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1736624046871","static"
"P4","qID-1","SSS (Side-Side-Side)","1736623899801","static"
"P4","qID-12","No","1736623914581","static"
"P4","qID-13","No","1736623925520","static"
"P4","qID-11","be the same shape and size, can be mirror images of each other","1736623963139","static"
"TutorialProof1","qID-1","Yes","1736624204829","static"
"TutorialProof1","qID-2","No","1736624224225","static"
"TutorialProof2","qID-1","No","1736624253986","static"
"T1_S1_IN2","qID-0","Continue","1736624952847","static"
"T1_S1_IN2","qID-11","Yes","1736624967211","static"
"T1_S1_IN2","qID-12","Step 5","1736624973387","static"
"T1_S1_IN2","qID-13","Continue","1736625001341","static"
"T1_S1_IN2","qID-2","No","1736625014415","static"
"T1_S1_IN2","qID-1","Yes","1736625042190","static"
"T1_S1_IN3","qID-0","Continue","1736624887379","static"
"T1_S1_IN3","qID-11","No","1736624894767","static"
"T1_S1_IN3","qID-3","Yes","1736624904851","static"
"T1_S1_IN1","qID-0","Continue","1736624343203","static"
"T1_S1_IN1","qID-11","No","1736624356108","static"
"T1_S1_IN1","qID-3","No","1736624419721","static"
"T1_S1_IN1","qID-2","No","1736624380530","static"
"T1_S1_C2","qID-0","Continue","1736624456247","static"
"T1_S1_C2","qID-11","No","1736624533331","static"
"T1_S1_C2","qID-4","Yes","1736624562675","static"
"T1_S1_C2","qID-3","Yes","1736624580018","static"
"T1_S1_C1","qID-0","Continue","1736624641214","static"
"T1_S1_C1","qID-11","Yes","1736624676878","static"
"T1_S1_C1","qID-3","No","1736624813391","static"
"T1_S1_C1","qID-2","Yes","1736624797022","static"
"T1_S1_C1","qID-12","Step 7","1736624707229","static"
"T1_S1_C1","qID-13","Continue","1736624736968","static"
"T1_S2_C2","qID-0","Continue","1736625319141","static"
"T1_S2_C2","qID-11","No","1736625321054","static"
"T1_S2_C2","qID-1","No","1736625373093","static"
"T1_S2_C2","qID-2","No","1736625345485","static"
"T1_S2_IN2","qID-0","Continue","1736625068654","static"
"T1_S2_IN2","qID-11","No","1736625144662","static"
"T1_S2_IN2","qID-1","No","1736625214773","static"
"T1_S2_IN2","qID-2","Yes","1736625170658","static"
"T1_S2_IN1","qID-0","Continue","1736625417417","static"
"T1_S2_IN1","qID-11","Yes","1736625419292","static"
"T1_S2_IN1","qID-12","Step 6","1736625435625","static"
"T1_S2_IN1","qID-13","Continue","1736625463277","static"
"T1_S2_IN1","qID-2","Yes","1736625497245","static"
"SUS","0","5","1736625656449","undefined"
"SUS","1","2","1736625656449","undefined"
"SUS","2","5","1736625656449","undefined"
"SUS","3","1","1736625656449","undefined"
"SUS","4","5","1736625656449","undefined"
"SUS","5","2","1736625656449","undefined"
"SUS","6","5","1736625656449","undefined"
"SUS","7","1","1736625656449","undefined"
"SUS","8","5","1736625656450","undefined"
"SUS","9","1","1736625656450","undefined"
