t,e,c,v
1734279239624,n,i,
1734279271539,n,b,
1734279274234,n,i,
1734279520525,c,pr,s1
1734279522804,c,pr,s2
1734279556835,c,pr,s3
1734279581539,c,pr,s4
1734279650875,c,pr,given
1734279703895,c,pr,s4
1734279748837,c,pr,s4
1734279838268,n,i,
1734279840321,c,pr,s1
1734279844019,c,pr,s2
1734279847539,c,pr,s3
1734279861529,c,pr,s4
1734279865950,c,pr,s5
1734279875634,c,pr,s6
1734279878410,c,pr,s7
1734279882369,c,pr,s8
1734279887963,c,pr,s9
1734279910582,c,pr,s3
1734279913498,c,pr,s4
1734279916306,c,pr,s5
1734279918954,c,pr,s6
1734279924197,c,pr,s3
1734279925120,c,pr,s6
1734279926122,c,pr,s3
1734279928268,c,pr,s6
1734279931071,c,pr,s7
1734279933426,c,pr,s8
1734279945883,c,pr,s7
1734279975392,c,pr,s5
1734279994773,c,pr,s1
1734279999526,c,pr,s2
1734280001381,c,pr,s3
1734280004652,c,pr,s4
1734280008672,c,pr,s5
1734280015061,c,pr,s3
1734280019173,c,pr,s4
1734280026650,c,pr,s5
1734280034923,m,re,
1734280039242,ml,re,
1734280040972,m,re,
1734280041022,ml,re,
1734280050479,c,pr,s1
1734280075011,c,pr,s2
1734280076457,c,pr,s3
1734280079120,c,pr,s4
1734280109240,c,pr,s1
1734280112046,c,pr,s3
1734280120835,c,pr,s4
1734280155358,c,pr,s1
1734280160768,c,pr,s2
1734280163122,c,pr,s3
1734280166987,c,pr,s1
1734280168093,c,pr,s4
1734280168410,c,pr,s3
1734280169198,c,pr,s4
1734280175079,c,pr,s5
1734280179079,c,pr,s6
1734280183694,c,pr,s7
1734280194967,c,pr,s4
1734280204237,c,pr,s3
1734280235393,c,pr,s4
1734280243645,c,pr,s1
1734280247851,c,pr,s2
1734280253029,c,pr,s1
1734280255404,c,pr,s2
1734280257002,c,pr,s3
1734280260642,c,pr,s4
1734280270253,c,pr,s5
1734280271372,c,pr,s4
1734280273103,c,pr,s3
1734280273721,c,pr,s4
1734280283315,c,pr,s5
1734280286854,c,pr,s6
1734280290880,c,pr,s4
1734280315715,c,pr,s3
1734280316997,c,pr,s2
1734280317949,c,pr,s1
1734280319135,c,pr,s2
1734280321247,c,pr,s3
1734280326688,c,pr,s4
1734280327736,c,pr,s5
1734280329129,c,pr,s4
1734280329685,c,pr,s3
1734280344152,c,pr,s4
1734280364669,c,pr,s1
1734280365773,c,pr,s6
1734280384807,c,pr,s1
1734280385609,c,pr,s2
1734280412559,c,pr,s1
1734280415531,c,pr,s2
1734280419483,c,pr,s3
1734280423656,c,pr,s4
1734280426904,c,pr,s5
1734280430750,c,pr,s1
1734280436251,c,pr,s5
1734280454490,c,pr,s3
1734280455898,c,pr,s4
1734280456807,c,pr,s5
1734280517160,c,pr,s4
1734280553747,c,pr,s1
1734280556599,c,pr,s2
1734280560258,c,pr,s3
1734280562330,c,pr,s4
1734280564085,c,pr,s5
1734280568143,c,pr,s6
1734280571793,c,pr,s7
1734280577042,m,re,
1734280577090,ml,re,
1734280577640,m,re,
1734280577841,ml,re,
1734280578024,m,re,
1734280581741,ml,re,
1734280584889,c,pr,s8
1734280588086,m,re,
1734280588141,ml,re,
1734280596307,c,pr,s6
1734280599446,c,pr,s7
1734280600829,c,pr,s6
1734280603384,c,pr,s7
1734280636909,c,pr,s1
1734280638124,c,pr,s2
1734280638915,c,pr,s3
1734280640686,c,pr,s4
1734280641999,c,pr,s5
1734280644961,c,pr,s6
1734280655624,m,re,
1734280655641,ml,re,
1734280656657,c,pr,s7
1734280689658,c,pr,s8
1734280695899,c,pr,s2
1734280696940,c,pr,s3
1734280724258,m,re,
1734280724292,ml,re,
1734280728015,c,pr,s4
1734280728562,c,pr,s5
1734280729129,c,pr,s6
1734280742671,c,pr,s1
1734280745309,c,pr,s2
1734280747209,c,pr,s3
1734280751649,c,pr,s4
1734280755039,c,pr,s5
1734280757396,c,pr,s6
1734280762363,c,pr,s7
1734280767392,c,pr,s8
1734280788130,c,pr,s9
1734280796553,c,pr,s1
1734280798464,c,pr,s2
1734280800593,c,pr,s3
1734280803331,c,pr,s4
1734280806844,c,pr,s5
1734280809189,c,pr,s6
1734280813470,c,pr,s7
1734280817733,c,pr,s8
1734280860758,m,re,
1734280860790,ml,re,
1734280861290,m,re,
1734280861457,ml,re,
1734280873445,c,pr,s1
1734280875242,c,pr,s8
1734280876303,c,pr,s7
1734280877088,c,pr,s8
1734280887695,c,pr,s9
1734280897671,c,pr,s8
1734280926658,c,pr,s1
1734280957192,c,pr,s1
1734280960120,c,pr,s2
1734280961342,c,pr,s3
1734280964008,c,pr,s4
1734280965660,c,pr,s5
1734280968450,c,pr,s6
1734280970912,c,pr,s7
1734280976527,c,pr,s8
1734280982757,m,re,
1734280984274,ml,re,
1734280985002,c,pr,s10
1734280985838,c,pr,s9
1734280991566,c,pr,s10
1734280994252,m,re,
1734280994590,ml,re,
1734281054476,c,pr,s7
