t,e,c,v
1734556002147,n,i,
1734556033632,n,b,
1734556117760,n,i,
1734556328531,a,pr,prove
1734556331634,a,pr,s1
1734556332166,a,pr,s2
1734556371940,a,pr,s3
1734556400495,a,pr,s4
1734556490023,a,pr,prove
1734556490421,a,pr,s1
1734556490841,a,pr,s2
1734556491267,a,pr,s3
1734556491734,a,pr,s4
1734556564144,n,i,
1734556596865,c,pr,s1
1734556597671,c,pr,s2
1734556598835,c,pr,s3
1734556599752,c,pr,s4
1734556603764,c,pr,s5
1734556605081,c,pr,s4
1734556659332,c,pr,s5
1734556698379,c,pr,s1
1734556699087,c,pr,s2
1734556699704,c,pr,s3
1734556700516,c,pr,s4
1734556701369,c,pr,s5
1734556733228,c,pr,s3
1734556736500,c,pr,s4
1734556737535,c,pr,s5
1734556738968,c,pr,s4
1734556744425,c,pr,s5
1734556751725,c,pr,s4
1734556752662,c,pr,s5
1734556810774,c,pr,s4
1734556813125,c,pr,s5
1734556837398,c,pr,s1
1734556837985,c,pr,s2
1734556838598,c,pr,s3
1734556839305,c,pr,s4
1734556839845,c,pr,s5
1734556840700,c,pr,s6
1734556841528,c,pr,s7
1734556892604,c,pr,s3
1734556893364,c,pr,s2
1734556894164,c,pr,s1
1734556895356,c,pr,s2
1734556896145,c,pr,s3
1734556896924,c,pr,s4
1734556907144,c,pr,s5
1734556922336,c,pr,s1
1734556923889,c,pr,s2
1734556925545,c,pr,s1
1734556928781,c,pr,s2
1734556935194,c,pr,s1
1734556935687,c,pr,s2
1734556936408,c,pr,s1
1734556940661,c,pr,s3
1734556941225,c,pr,s2
1734556945084,c,pr,s3
1734556949987,c,pr,s4
1734556953097,c,pr,s5
1734556963255,c,pr,s6
1734556965441,c,pr,s5
1734556968544,c,pr,s6
1734556971323,c,pr,s7
1734556975971,c,pr,s8
1734556979153,c,pr,s9
1734557003824,c,pr,s5
1734557005374,c,pr,s4
1734557006239,c,pr,s5
1734557010242,c,pr,s1
1734557010832,c,pr,s2
1734557011424,c,pr,s3
1734557012137,c,pr,s4
1734557012805,c,pr,s5
1734557013721,c,pr,s6
1734557014830,c,pr,s1
1734557021497,c,pr,s2
1734557025076,c,pr,s3
1734557028882,c,pr,s4
1734557039334,c,pr,s5
1734557040802,c,pr,s4
1734557043247,c,pr,s5
1734557048715,c,pr,s6
1734557069664,c,pr,s3
1734557070645,c,pr,s4
1734557072123,c,pr,s2
1734557072959,c,pr,s3
1734557073706,c,pr,s4
1734557074749,c,pr,s3
1734557078147,c,pr,s1
1734557078679,c,pr,s2
1734557079181,c,pr,s3
1734557079826,c,pr,s4
1734557128295,c,pr,s1
1734557128821,c,pr,s2
1734557130110,c,pr,s1
1734557136709,c,pr,s2
1734557139514,c,pr,s3
1734557146657,c,pr,s4
1734557149498,c,pr,s5
1734557151447,c,pr,s6
1734557159142,c,pr,s7
1734557166276,c,pr,s8
1734557169471,c,pr,s9
1734557177927,c,pr,s10
1734557212691,c,pr,s9
1734557215120,c,pr,s8
1734557215816,c,pr,s7
1734557216505,c,pr,s8
1734557219664,c,pr,s1
1734557220182,c,pr,s2
1734557220730,c,pr,s3
1734557221346,c,pr,s4
1734557221995,c,pr,s5
1734557223226,c,pr,s1
1734557226423,c,pr,s2
1734557229753,c,pr,s3
1734557231687,c,pr,s4
1734557237906,c,pr,s5
1734557239965,c,pr,s6
1734557250804,c,pr,s7
1734557266459,c,pr,s8
1734557275600,c,pr,s9
1734557284083,c,pr,s7
1734557287562,c,pr,s6
1734557289265,c,pr,s7
1734557289830,c,pr,s8
1734557291344,c,pr,s7
1734557292198,c,pr,s6
1734557292935,c,pr,s7
1734557342462,c,pr,s1
1734557343147,c,pr,s2
1734557344153,c,pr,s1
1734557346636,c,pr,s2
1734557347723,c,pr,s3
1734557351137,c,pr,s4
1734557353235,c,pr,s5
1734557355935,c,pr,s6
1734557359123,c,pr,s7
1734557364891,c,pr,s8
1734557375537,m,re,
1734557375620,ml,re,
1734557376602,m,re,
1734557376986,ml,re,
1734557378069,m,re,
1734557378919,ml,re,
1734557384419,m,re,
1734557384569,ml,re,
1734557388069,m,re,
1734557388086,ml,re,
1734557388486,m,re,
1734557388519,ml,re,
1734557394203,m,re,
1734557394536,ml,re,
1734557395669,m,re,
1734557396370,ml,re,
1734557396903,m,re,
1734557397203,ml,re,
1734557398274,c,pr,s7
1734557399900,c,pr,s8
1734557401702,m,re,
1734557401753,ml,re,
1734557401969,m,re,
1734557402069,ml,re,
1734557408562,c,pr,s7
1734557412036,c,pr,s8
1734557456947,c,pr,s1
1734557458449,c,pr,s2
1734557469870,c,pr,s8
