t,e,c,v
1734041403340,n,i,
1734041427676,n,b,
1734041474143,n,i,
1734041642401,a,pr,prove
1734041643002,a,pr,s1
1734041643161,a,pr,s2
1734041696470,a,pr,s3
1734041749626,a,pr,s4
1734041857812,a,pr,prove
1734041857971,a,pr,s1
1734041858121,a,pr,s2
1734041858210,a,pr,s3
1734041858619,a,pr,s4
1734041984423,n,i,
1734042009852,c,pr,prove
1734042015151,c,pr-r,s1
1734042019179,c,pr-r,s2
1734042021715,c,pr-r,s3
1734042038796,c,pr-r,s4
1734042043164,c,pr-r,s5
1734042178664,m,re,
1734042183163,ml,re,
1734042185120,c,pr,s1
1734042272463,a,pr,prove
1734042273462,a,pr,s1
1734042277922,a,pr,s2
1734042279661,a,pr,s3
1734042282185,a,pr,s4
1734042295981,m,re,
1734042296046,ml,re,
1734042298112,m,re,
1734042298180,ml,re,
1734042299380,m,re,
1734042300862,ml,re,
1734042316721,a,pr,s5
1734042329450,a,pr,s4
1734042436207,a,pr,prove
1734042436986,a,pr,s1
1734042442534,a,pr,s2
1734042444608,a,pr,s3
1734042446265,a,pr,s4
1734042455668,a,pr,s5
1734042469974,a,pr,s6
1734042480715,m,re,
1734042480814,ml,re,
1734042481164,m,re,
1734042481264,ml,re,
1734042490370,a,pr,s7
1734042567283,a,pr,prove
1734042571654,a,pr,s1
1734042574242,a,pr,s2
1734042576972,a,pr,s3
1734042593435,a,pr,s4
1734042605217,a,pr,s5
1734042615397,a,pr,s6
1734042617148,a,pr,s5
1734042619390,a,pr,s6
1734042623579,a,pr,s7
1734042644325,a,pr,s8
1734042653272,a,pr,s9
1734042681109,c,pr,s7
1734042685996,c,pr,s6
1734042703883,c,pr,s5
1734042706170,c,pr,s4
1734042734103,a,pr,prove
1734042744800,a,pr,s1
1734042748564,a,pr,s2
1734042752391,a,pr,s3
1734042753996,a,pr,s4
1734042766933,a,pr,s5
1734042777248,a,pr,s6
1734042782570,c,pr,s4
1734042792328,c,pr,s5
1734042794677,c,pr,s6
1734042795200,m,re,
1734042795348,ml,re,
1734042796831,m,re,
1734042798548,ml,re,
1734042799548,m,re,
1734042800715,ml,re,
1734042806813,c,pr,s4
1734042841865,m,re,
1734042841998,ml,re,
1734042927414,c,pr,s1
1734042930512,a,pr,s2
1734042931812,a,pr,s3
1734042934358,a,pr,s4
1734042939054,a,pr,s5
1734042940866,a,pr,s6
1734042945688,a,pr,s7
1734042959073,m,re,
1734042959154,ml,re,
1734042960054,m,re,
1734042960137,ml,re,
1734042968573,a,pr,s8
1734042989737,m,re,
1734042989986,ml,re,
1734043016630,c,pr,s1
1734043017695,c,pr,s2
1734043018491,c,pr,s3
1734043020259,c,pr,s4
1734043023641,c,pr,s5
1734043026290,c,pr,s6
1734043032560,c,pr,s7
1734043082909,c,pr,s8
1734043198301,a,pr,prove
1734043212206,a,pr,s1
1734043218662,a,pr,s2
1734043220373,a,pr,s3
1734043222421,a,pr,s4
1734043224055,a,pr,s5
1734043228422,a,pr,s6
1734043236670,m,re,
1734043238201,a,pr,s7
1734043239701,ml,re,
1734043245317,m,re,
1734043245368,ml,re,
1734043247057,a,pr,s8
1734043259152,a,pr,s9
1734043264924,a,pr,s8
1734043266520,a,pr,s9
1734043305600,a,pr,s10
1734043318444,c,pr,s9
1734043325488,c,pr,s10
1734043339992,c,pr,s7
1734043456112,a,pr,prove
1734043458526,a,pr,s1
1734043461273,a,pr,s2
1734043462767,a,pr,s3
1734043464625,a,pr,s4
1734043472535,a,pr,s5
1734043475537,a,pr,s6
1734043484418,m,re,
1734043484467,ml,re,
1734043507567,a,pr,s7
1734043525887,a,pr,s8
1734043548154,a,pr,s9
1734043563282,c,pr,s8
1734043580922,c,pr,s7
