t,e,c,v
1734299084463,n,i,
1734299117349,n,b,
1734299197340,n,i,
1734299401029,c,pr,s2
1734299439129,c,pr,s3
1734299477076,c,pr,s4
1734299495480,a,pr,s3
1734299496289,a,pr,s4
1734299497129,a,pr,s3
1734299497863,a,pr,s4
1734299602902,c,pr,s4
1734299706569,n,i,
1734299711575,c,pr,s6
1734299759190,c,pr,s4
1734299763051,c,pr,s6
1734299801446,c,pr,s5
1734299829273,c,pr,s4
1734299831791,c,pr,s5
1734299835021,c,pr,s4
1734299836291,c,pr,s5
1734300011392,c,pr,s9
1734300081277,c,pr,s5
1734300114854,c,pr,s7
1734300138851,c,pr,s5
1734300233486,c,pr,s7
1734300267654,c,pr,s4
1734300284153,c,pr,s5
1734300331643,c,pr,s8
1734300336243,c,pr,s7
1734300338216,c,pr,s8
1734300450927,c,pr,s10
1734300466420,c,pr,s9
1734300508012,c,pr,s10
1734300552832,c,pr,s9
