pageName,question,answer,time,version,score,key,delta,participant
Background Questions,0,17,2024-12-15 00:16:17.390,undefined,,,0.0,eagle
Background Questions,1,2021,2024-12-15 00:16:17.390,undefined,,,0.0,eagle
Background Questions,2,17,2024-12-15 00:16:17.390,undefined,,,0.0,eagle
Background Questions,3,regular,2024-12-15 00:16:17.390,undefined,,,0.0,eagle
P1,qID-1,BC,2024-12-15 00:17:30.179,B,1.0,BC,72.789,eagle
P1,qID-3,HJ,2024-12-15 00:17:43.139,B,1.0,HJ,12.96,eagle
P1,qID-2,MN,2024-12-15 00:18:00.699,B,1.0,MN,17.56,eagle
P2,qID-1,Angle GHJ,2024-12-15 00:18:15.368,B,1.0,Angle GHJ,14.669,eagle
P2,qID-3,Angle NQP,2024-12-15 00:18:27.073,B,1.0,Angle NQP,11.705,eagle
P2,qID-2,Angle DEF,2024-12-15 00:18:36.451,B,1.0,Angle DEF,9.378,eagle
P4,qID-1,SSS (Side-Side-Side),2024-12-15 00:19:07.811,B,1.0,SSS (Side-Side-Side),31.36,eagle
P4,qID-12,Yes,2024-12-15 00:19:18.169,B,0.0,No,10.358,eagle
P4,qID-11,"be the same shape and size, can be mirror images of each other",2024-12-15 00:20:03.993,B,1.0,"be the same shape and size, can be mirror images of each other",45.824,eagle
P4,qID-13,No,2024-12-15 00:20:13.588,B,1.0,No,9.595,eagle
P3,qID-1,SAS (Side-Angle-Side),2024-12-15 00:20:28.753,B,1.0,SAS (Side-Angle-Side),15.165,eagle
P7,qID-1,SAS (Side-Angle-Side),2024-12-15 00:20:43.281,B,0.0,RHL (Right-Hypotenuse-Leg),14.528,eagle
P6,qID-1,ASA (Angle-Side-Angle),2024-12-15 00:21:06.319,B,1.0,ASA (Angle-Side-Angle),23.038,eagle
P5,qID-1,AAS (Angle-Angle-Side),2024-12-15 00:21:17.244,B,1.0,AAS (Angle-Angle-Side),10.925,eagle
TutorialProof1,qID-1,Yes,2024-12-15 00:23:22.797,B,,,125.553,eagle
TutorialProof1,qID-2,Yes,2024-12-15 00:23:52.087,B,,,29.29,eagle
