pageName,question,answer,time,version,score,key,order,delta,participant
Background Questions,2,10,2024-12-10 22:17:43.212,undefined,,,0,0.0,elephant
Background Questions,1,2025,2024-12-10 22:17:43.212,undefined,,,0,0.0,elephant
Background Questions,0,15,2024-12-10 22:17:43.212,undefined,,,0,0.0,elephant
Background Questions,3,regular,2024-12-10 22:17:43.213,undefined,,,0,0.001,elephant
P1,qID-2,MN,2024-12-10 22:19:05.953,B,1.0,MN,0,82.74,elephant
P1,qID-3,HJ,2024-12-10 22:19:16.486,B,1.0,HJ,0,10.533,elephant
P1,qID-1,BC,2024-12-10 22:19:25.840,B,1.0,BC,0,9.354,elephant
P2,qID-3,Angle NQP,2024-12-10 22:19:34.824,B,1.0,Angle NQP,0,8.984,elephant
P2,qID-2,Angle DEF,2024-12-10 22:19:43.208,B,1.0,Angle DEF,0,8.384,elephant
P2,qID-1,Angle GHJ,2024-12-10 22:19:50.241,B,1.0,Angle GHJ,0,7.033,elephant
P4,qID-1,SSS (Side-Side-Side),2024-12-10 22:19:58.178,B,1.0,SSS (Side-Side-Side),0,7.937,elephant
P4,qID-13,No,2024-12-10 22:20:05.154,B,1.0,No,0,6.976,elephant
P4,qID-12,No,2024-12-10 22:20:13.034,B,1.0,No,0,7.88,elephant
P4,qID-11,"be the same shape and size, can be mirror images of each other",2024-12-10 22:21:16.860,B,1.0,"be the same shape and size, can be mirror images of each other",0,63.826,elephant
P5,qID-1,AAS (Angle-Angle-Side),2024-12-10 22:21:34.787,B,1.0,AAS (Angle-Angle-Side),0,17.927,elephant
P6,qID-1,ASA (Angle-Side-Angle),2024-12-10 22:21:43.241,B,1.0,ASA (Angle-Side-Angle),0,8.454,elephant
P3,qID-1,SAS (Side-Angle-Side),2024-12-10 22:21:51.648,B,1.0,SAS (Side-Angle-Side),0,8.407,elephant
P7,qID-1,RHL (Right-Hypotenuse-Leg),2024-12-10 22:22:17.929,B,1.0,RHL (Right-Hypotenuse-Leg),0,26.281,elephant
TutorialProof1,qID-1,Yes,2024-12-10 22:25:03.844,A,,,0,165.915,elephant
TutorialProof1,qID-2,No,2024-12-10 22:25:56.814,A,,,0,52.97,elephant
TutorialProof2,qID-1,No,2024-12-10 22:28:31.438,A,,,0,154.624,elephant
S1_IN1,qID-0,Continue,2024-12-10 22:32:03.787,A,0.0,,0,212.349,elephant
S1_IN1,qID-11,Yes,2024-12-10 22:32:12.269,A,1.0,Yes,1,8.482,elephant
S1_IN1,qID-12,Step 4,2024-12-10 22:33:08.403,A,1.0,Step 4,1,56.134,elephant
S1_IN1,qID-13,Open-ended Correct,2024-12-10 22:33:39.736,A,1.0,Open-ended Correct,1,31.333,elephant
S1_IN1,qID-2,No,2024-12-10 22:34:09.931,A,1.0,No,1,30.195,elephant
S1_IN1,qID-3,No,2024-12-10 22:34:50.710,A,1.0,No,1,40.779,elephant
S1_IN2,qID-0,Continue,2024-12-10 22:36:31.686,A,0.0,,1,100.976,elephant
S1_IN2,qID-11,Yes,2024-12-10 22:36:34.770,A,1.0,Yes,2,3.084,elephant
S1_IN2,qID-12,Step 4,2024-12-10 22:36:44.400,A,0.0,Step 5,2,9.63,elephant
S1_IN2,qID-13,Open-ended Incorrect,2024-12-10 22:37:49.008,A,0.0,Open-ended Correct,2,64.608,elephant
S1_IN2,qID-2,No,2024-12-10 22:38:03.820,A,1.0,No,2,14.812,elephant
