pageName,question,answer,time,version,score,key,order,delta,participant
Background Questions,0,15,2024-12-18 21:07:13.632,undefined,,,0,0.0,hedgehog
Background Questions,1,2025,2024-12-18 21:07:13.632,undefined,,,0,0.0,hedgehog
Background Questions,2,10,2024-12-18 21:07:13.632,undefined,,,0,0.0,hedgehog
Background Questions,3,regular,2024-12-18 21:07:13.632,undefined,,,0,0.0,hedgehog
P1,qID-2,MN,2024-12-18 21:08:58.702,B,1.0,MN,0,105.07,hedgehog
P1,qID-1,BC,2024-12-18 21:09:10.914,B,1.0,BC,0,12.212,hedgehog
P1,qID-3,HJ,2024-12-18 21:09:23.123,B,1.0,HJ,0,12.209,hedgehog
P2,qID-3,Angle NQP,2024-12-18 21:09:31.112,B,1.0,Angle NQP,0,7.989,hedgehog
P2,qID-2,Angle DEF,2024-12-18 21:09:43.218,B,1.0,Angle DEF,0,12.106,hedgehog
P2,qID-1,Angle GHJ,2024-12-18 21:09:49.945,B,1.0,Angle GHJ,0,6.727,hedgehog
P3,qID-1,SAS (Side-Angle-Side),2024-12-18 21:10:03.346,B,1.0,SAS (Side-Angle-Side),0,13.401,hedgehog
P3,qID-13,No,2024-12-18 21:10:14.545,B,1.0,No,0,11.199,hedgehog
P3,qID-11,each have two segments with the same number of tick marks,2024-12-18 21:11:00.477,B,0.0,"be the same shape and size, can be mirror images of each other",0,45.932,hedgehog
P3,qID-12,Yes,2024-12-18 21:11:03.552,B,0.0,No,0,3.075,hedgehog
P7,qID-1,SSA (Side-Side-Angle),2024-12-18 21:11:15.038,B,0.0,RHL (Right-Hypotenuse-Leg),0,11.486,hedgehog
P4,qID-1,SSS (Side-Side-Side),2024-12-18 21:11:24.544,B,1.0,SSS (Side-Side-Side),0,9.506,hedgehog
P6,qID-1,ASA (Angle-Side-Angle),2024-12-18 21:11:33.321,B,1.0,ASA (Angle-Side-Angle),0,8.777,hedgehog
P5,qID-1,AAS (Angle-Angle-Side),2024-12-18 21:11:42.088,B,1.0,AAS (Angle-Angle-Side),0,8.767,hedgehog
