pageName,question,answer,time,version,score,key,order,delta,participant
Background Questions,0,15,2024-12-12 22:10:27.676,undefined,,,0,0.0,peacock
Background Questions,1,2023,2024-12-12 22:10:27.676,undefined,,,0,0.0,peacock
Background Questions,2,10th,2024-12-12 22:10:27.676,undefined,,,0,0.0,peacock
Background Questions,3,regular,2024-12-12 22:10:27.676,undefined,,,0,0.0,peacock
P1,qID-3,HJ,2024-12-12 22:11:25.716,B,1.0,HJ,0,58.04,peacock
P1,qID-1,MN,2024-12-12 22:11:50.123,B,0.0,BC,0,24.407,peacock
P1,qID-2,BC,2024-12-12 22:11:54.502,B,0.0,MN,0,4.379,peacock
P2,qID-2,Angle DEF,2024-12-12 22:12:09.931,B,1.0,Angle DEF,0,15.429,peacock
P2,qID-3,Angle NQP,2024-12-12 22:12:17.618,B,1.0,Angle NQP,0,7.687,peacock
P2,qID-1,Angle GHJ,2024-12-12 22:12:27.031,B,1.0,Angle GHJ,0,9.413,peacock
P7,qID-1,SAS (Side-Angle-Side),2024-12-12 22:12:47.312,B,0.0,RHL (Right-Hypotenuse-Leg),0,20.281,peacock
P7,qID-13,No,2024-12-12 22:12:55.012,B,1.0,No,0,7.7,peacock
P7,qID-12,No,2024-12-12 22:12:57.665,B,1.0,No,0,2.653,peacock
P7,qID-11,"be the same shape and size, can be mirror images of each other",2024-12-12 22:13:09.489,B,1.0,"be the same shape and size, can be mirror images of each other",0,11.824,peacock
P4,qID-1,SSS (Side-Side-Side),2024-12-12 22:13:15.731,B,1.0,SSS (Side-Side-Side),0,6.242,peacock
P6,qID-1,ASA (Angle-Side-Angle),2024-12-12 22:13:23.396,B,1.0,ASA (Angle-Side-Angle),0,7.665,peacock
P3,qID-1,ASA (Angle-Side-Angle),2024-12-12 22:13:28.290,B,0.0,SAS (Side-Angle-Side),0,4.894,peacock
P5,qID-1,AAS (Angle-Angle-Side),2024-12-12 22:13:38.606,B,1.0,AAS (Angle-Angle-Side),0,10.316,peacock
TutorialProof1,qID-1,Yes,2024-12-12 22:17:06.403,A,,,0,207.797,peacock
TutorialProof1,qID-2,No,2024-12-12 22:17:28.343,A,,,0,21.94,peacock
TutorialProof2,qID-1,No,2024-12-12 22:18:33.438,A,,,0,65.095,peacock
S1_IN2,qID-0,Continue,2024-12-12 22:20:57.253,A,0.0,,0,143.815,peacock
S1_IN2,qID-11,Yes,2024-12-12 22:20:59.799,A,1.0,Yes,1,2.546,peacock
S1_IN2,qID-12,Step 5,2024-12-12 22:21:11.625,A,1.0,Step 5,1,11.826,peacock
S1_IN2,qID-13,Open-ended Correct,2024-12-12 22:22:37.640,A,1.0,Open-ended Correct,1,86.015,peacock
S1_IN2,qID-2,No,2024-12-12 22:22:50.620,A,1.0,No,1,12.98,peacock
S1_IN2,qID-1,Yes,2024-12-12 22:23:32.738,A,1.0,Yes,1,42.118,peacock
S1_IN1,qID-0,Continue,2024-12-12 22:25:25.444,A,0.0,,1,112.706,peacock
S1_IN1,qID-11,Yes,2024-12-12 22:25:34.302,A,1.0,Yes,2,8.858,peacock
S1_IN1,qID-12,Step 4,2024-12-12 22:25:40.431,A,1.0,Step 4,2,6.129,peacock
S1_IN1,qID-13,Open-ended Correct,2024-12-12 22:26:05.517,A,1.0,Open-ended Correct,2,25.086,peacock
S1_IN1,qID-3,No,2024-12-12 22:26:20.443,A,1.0,No,2,14.926,peacock
S1_IN1,qID-2,No,2024-12-12 22:26:39.936,A,1.0,No,2,19.493,peacock
S1_C1,qID-0,Continue,2024-12-12 22:28:15.931,A,0.0,,2,95.995,peacock
S1_C1,qID-11,No,2024-12-12 22:28:17.618,A,3.0,No,3,1.687,peacock
S1_C1,qID-3,No,2024-12-12 22:28:42.334,A,1.0,No,3,24.716,peacock
S1_C1,qID-2,Yes,2024-12-12 22:29:01.511,A,1.0,Yes,3,19.177,peacock
S1_C2,qID-0,Continue,2024-12-12 22:31:07.553,A,0.0,,3,126.042,peacock
S1_C2,qID-11,No,2024-12-12 22:31:10.063,A,3.0,No,4,2.51,peacock
S1_C2,qID-4,Yes,2024-12-12 22:31:31.763,A,1.0,Yes,4,21.7,peacock
S1_C2,qID-3,Yes,2024-12-12 22:31:51.789,A,1.0,Yes,4,20.026,peacock
S1_IN3,qID-0,Continue,2024-12-12 22:33:22.933,A,0.0,,4,91.144,peacock
S1_IN3,qID-11,Yes,2024-12-12 22:33:31.801,A,1.0,Yes,5,8.868,peacock
S1_IN3,qID-12,Step 4,2024-12-12 22:33:37.287,A,1.0,Step 4,5,5.486,peacock
S1_IN3,qID-13,Open-ended Correct,2024-12-12 22:34:53.401,A,1.0,Open-ended Correct,5,76.114,peacock
S1_IN3,qID-3,No,2024-12-12 22:34:59.161,A,0.0,Yes,5,5.76,peacock
S2_IN2,qID-0,Continue,2024-12-12 22:36:41.740,A,0.0,,5,102.579,peacock
S2_IN2,qID-11,Yes,2024-12-12 22:36:43.961,A,1.0,Yes,6,2.221,peacock
S2_IN2,qID-12,Step 7,2024-12-12 22:37:15.852,A,1.0,Step 7,6,31.891,peacock
