pageName,question,answer,time,version,score,key,order,delta,participant
Background Questions,0,15,2024-12-15 21:45:17.349,undefined,,,0,0.0,rhino
Background Questions,1,2025,2024-12-15 21:45:17.349,undefined,,,0,0.0,rhino
Background Questions,2,10,2024-12-15 21:45:17.349,undefined,,,0,0.0,rhino
Background Questions,3,regular,2024-12-15 21:45:17.349,undefined,,,0,0.0,rhino
P1,qID-2,MN,2024-12-15 21:46:55.718,B,1.0,MN,0,98.369,rhino
P1,qID-3,HJ,2024-12-15 21:47:05.908,B,1.0,HJ,0,10.19,rhino
P1,qID-1,BC,2024-12-15 21:47:22.865,B,1.0,BC,0,16.957,rhino
P2,qID-2,Angle DEF,2024-12-15 21:47:29.787,B,1.0,Angle DEF,0,6.922,rhino
P2,qID-1,Angle GHJ,2024-12-15 21:47:36.650,B,1.0,Angle GHJ,0,6.863,rhino
P2,qID-3,Angle NQP,2024-12-15 21:47:42.613,B,1.0,Angle NQP,0,5.963,rhino
P5,qID-1,AAS (Angle-Angle-Side),2024-12-15 21:48:29.514,B,1.0,AAS (Angle-Angle-Side),0,46.901,rhino
P5,qID-11,each have two segments with the same number of tick marks,2024-12-15 21:48:51.810,B,0.0,"be the same shape and size, can be mirror images of each other",0,22.296,rhino
P5,qID-13,No,2024-12-15 21:48:56.562,B,1.0,No,0,4.752,rhino
P5,qID-12,Yes,2024-12-15 21:49:00.491,B,0.0,No,0,3.929,rhino
P4,qID-1,SSS (Side-Side-Side),2024-12-15 21:49:08.983,B,1.0,SSS (Side-Side-Side),0,8.492,rhino
P7,qID-1,SSA (Side-Side-Angle),2024-12-15 21:49:16.423,B,0.0,RHL (Right-Hypotenuse-Leg),0,7.44,rhino
P3,qID-1,SAS (Side-Angle-Side),2024-12-15 21:49:22.458,B,1.0,SAS (Side-Angle-Side),0,6.035,rhino
P6,qID-1,ASA (Angle-Side-Angle),2024-12-15 21:49:27.509,B,1.0,ASA (Angle-Side-Angle),0,5.051,rhino
TutorialProof1,qID-1,Yes,2024-12-15 21:52:22.424,A,,,0,174.915,rhino
TutorialProof1,qID-2,No,2024-12-15 21:53:11.088,A,,,0,48.664,rhino
TutorialProof2,qID-1,No,2024-12-15 21:54:15.204,A,,,0,64.116,rhino
S1_IN3,qID-0,Continue,2024-12-15 21:56:05.007,A,0.0,,0,109.803,rhino
S1_IN3,qID-11,No,2024-12-15 21:56:10.908,A,0.0,Yes,1,5.901,rhino
S1_IN3,qID-3,Yes,2024-12-15 21:56:35.826,A,1.0,Yes,1,24.918,rhino
S1_IN2,qID-0,Continue,2024-12-15 21:57:51.241,A,0.0,,1,75.415,rhino
S1_IN2,qID-11,Yes,2024-12-15 21:57:54.872,A,1.0,Yes,2,3.631,rhino
S1_IN2,qID-12,Step 4,2024-12-15 21:58:22.928,A,0.0,Step 5,2,28.056,rhino
S1_IN2,qID-13,Open-ended Incorrect,2024-12-15 21:59:38.854,A,0.0,Open-ended Correct,2,75.926,rhino
S1_IN2,qID-1,Yes,2024-12-15 21:59:51.626,A,1.0,Yes,2,12.772,rhino
S1_IN2,qID-2,No,2024-12-15 22:00:07.699,A,1.0,No,2,16.073,rhino
S1_C2,qID-0,Continue,2024-12-15 22:00:24.589,A,0.0,,2,16.89,rhino
S1_C2,qID-11,No,2024-12-15 22:00:37.910,A,3.0,No,3,13.321,rhino
S1_C2,qID-3,Yes,2024-12-15 22:01:50.770,A,1.0,Yes,3,72.86,rhino
S1_C2,qID-4,Yes,2024-12-15 22:02:16.544,A,1.0,Yes,3,25.774,rhino
S1_IN1,qID-0,Continue,2024-12-15 22:02:41.428,A,0.0,,3,24.884,rhino
S1_IN1,qID-11,No,2024-12-15 22:03:25.909,A,0.0,Yes,4,44.481,rhino
S1_IN1,qID-3,Yes,2024-12-15 22:03:40.804,A,0.0,No,4,14.895,rhino
S1_IN1,qID-2,No,2024-12-15 22:03:51.263,A,1.0,No,4,10.459,rhino
S1_C1,qID-0,Continue,2024-12-15 22:04:14.905,A,0.0,,4,23.642,rhino
S1_C1,qID-11,No,2024-12-15 22:04:21.420,A,3.0,No,5,6.515,rhino
S1_C1,qID-2,No,2024-12-15 22:04:39.423,A,0.0,Yes,5,18.003,rhino
S1_C1,qID-3,Yes,2024-12-15 22:05:29.928,A,0.0,No,5,50.505,rhino
S2_IN2,qID-0,Continue,2024-12-15 22:05:43.690,A,0.0,,5,13.762,rhino
S2_IN2,qID-11,No,2024-12-15 22:06:02.408,A,0.0,Yes,6,18.718,rhino
S2_IN2,qID-1,Yes,2024-12-15 22:06:43.323,A,0.0,No,6,40.915,rhino
S2_IN2,qID-2,Yes,2024-12-15 22:07:28.795,A,0.0,No,6,45.472,rhino
S2_C2,qID-0,Continue,2024-12-15 22:07:37.570,A,0.0,,6,8.775,rhino
S2_C2,qID-11,No,2024-12-15 22:07:39.912,A,3.0,No,7,2.342,rhino
S2_C2,qID-1,No,2024-12-15 22:08:16.698,A,1.0,No,7,36.786,rhino
S2_C2,qID-2,No,2024-12-15 22:09:11.142,A,1.0,No,7,54.444,rhino
S2_IN1,qID-0,Continue,2024-12-15 22:09:23.020,A,0.0,,7,11.878,rhino
S2_IN1,qID-11,No,2024-12-15 22:09:34.511,A,0.0,Yes,8,11.491,rhino
S2_IN1,qID-2,Yes,2024-12-15 22:11:14.198,A,0.0,No,8,99.687,rhino
SUS,0,5,2024-12-15 22:15:08.699,undefined,,,8,234.501,rhino
SUS,1,4,2024-12-15 22:15:08.699,undefined,,,8,0.0,rhino
SUS,2,5,2024-12-15 22:15:08.699,undefined,,,8,0.0,rhino
SUS,3,4,2024-12-15 22:15:08.699,undefined,,,8,0.0,rhino
SUS,4,5,2024-12-15 22:15:08.699,undefined,,,8,0.0,rhino
SUS,5,3,2024-12-15 22:15:08.699,undefined,,,8,0.0,rhino
SUS,6,5,2024-12-15 22:15:08.699,undefined,,,8,0.0,rhino
SUS,7,2,2024-12-15 22:15:08.699,undefined,,,8,0.0,rhino
SUS,8,5,2024-12-15 22:15:08.699,undefined,,,8,0.0,rhino
SUS,9,4,2024-12-15 22:15:08.700,undefined,,,8,0.001,rhino
