pageName,question,answer,time,version,score,key,order,delta,participant
Background Questions,0,14,2025-01-11 21:06:03.452,undefined,,,0,0.0,seal
Background Questions,1,2025,2025-01-11 21:06:03.453,undefined,,,0,0.001,seal
Background Questions,2,10,2025-01-11 21:06:03.453,undefined,,,0,0.0,seal
Background Questions,3,regular,2025-01-11 21:06:03.453,undefined,,,0,0.0,seal
P1,qID-1,BC,2025-01-11 21:07:22.716,B,1.0,BC,0,79.263,seal
P1,qID-3,HJ,2025-01-11 21:07:34.623,B,1.0,HJ,0,11.907,seal
P1,qID-2,MN,2025-01-11 21:07:41.931,B,1.0,MN,0,7.308,seal
P2,qID-1,Angle GHJ,2025-01-11 21:07:53.686,B,1.0,Angle GHJ,0,11.755,seal
P2,qID-3,Angle NQP,2025-01-11 21:08:03.243,B,1.0,Angle NQP,0,9.557,seal
P2,qID-2,Angle DEF,2025-01-11 21:08:13.817,B,1.0,Angle DEF,0,10.574,seal
P6,qID-1,ASA (Angle-Side-Angle),2025-01-11 21:08:27.470,B,1.0,ASA (Angle-Side-Angle),0,13.653,seal
P6,qID-13,No,2025-01-11 21:08:34.345,B,1.0,No,0,6.875,seal
P6,qID-11,each have two angles with the same number of tick marks,2025-01-11 21:09:29.111,B,0.0,"be the same shape and size, can be mirror images of each other",0,54.766,seal
P6,qID-12,No,2025-01-11 21:09:38.051,B,1.0,No,0,8.94,seal
P5,qID-1,AAS (Angle-Angle-Side),2025-01-11 21:09:54.088,B,1.0,AAS (Angle-Angle-Side),0,16.037,seal
P3,qID-1,SAS (Side-Angle-Side),2025-01-11 21:10:07.769,B,1.0,SAS (Side-Angle-Side),0,13.681,seal
P4,qID-1,SSS (Side-Side-Side),2025-01-11 21:10:13.008,B,1.0,SSS (Side-Side-Side),0,5.239,seal
P7,qID-1,SSA (Side-Side-Angle),2025-01-11 21:10:31.921,B,0.0,RHL (Right-Hypotenuse-Leg),0,18.913,seal
TutorialProof1,qID-1,Yes,2025-01-11 21:12:51.540,A,,,0,139.619,seal
