pageName,question,answer,time
TutorialProof1,qID-1,No,1720714616301
TutorialProof1,qID-2,No,1720714630122
TutorialProof2,qID-1,No,1720714647561
T1_S1_C1,qID-1,Yes,1720714668292
T1_S1_C1,qID-3,No,1720714673196
T1_S1_C1,qID-2,Yes,1720714675762
T1_S1_IN3,qID-2,No,1720714684026
T1_S1_IN3,qID-1,Yes,1720714685985
T1_S1_IN3,qID-3,Yes,1720714698150
T1_S1_C2,qID-4,Yes,1720714712499
T1_S1_C2,qID-2,Yes,1720714721837
T1_S1_C2,qID-1,Yes,1720714728481
T1_S1_C2,qID-3,Yes,1720714734624
T1_S1_IN2,qID-3,No,1720714746608
T1_S1_IN2,qID-1,Yes,1720714776557
T1_S1_C3,qID-1,Yes,1720714792946
T1_S1_C3,qID-4,Yes,1720714804639
T1_S1_C3,qID-2,No,1720714811473
T1_S1_C3,qID-3,No,1720714824418
T1_S1_IN1,qID-2,No,1720714858071
T1_S1_IN1,qID-1,No,1720714844670
T1_S2_IN2,qID-1,Yes,1720714861926
T1_S2_IN2,qID-2,Step 7,1720714868124
T1_S2_IN2,qID-3,The step says the wrong things are congruent to each other,1720714874563
T1_S2_IN1,qID-1,Yes,1720714915500
T1_S2_IN1,qID-2,Step 8,1720714924087
T1_S2_IN1,qID-3,The step relies on information that appears later in the proof,1720714934970
T1_S2_C1,qID-1,No,
T1_S2_C2,qID-1,No,
T1_S2_C1,qID-2,,
T1_S2_C1,qID-3,,
T1_S2_C2,qID-2,,
T1_S2_C3,qID-3,,
