t,e,c,v
1720754338460,n,b,
1720754344594,p,l,ADC
1720754344604,m,d,Congruent triangles
1720754344702,p,l,ADC
1720754348767,p,l,ADC
1720754348975,m,d,Congruent triangles
1720754348984,p,l,ABC
1720754349094,p,l,ABC
1720754349101,m,d,Congruent triangles
1720754349622,p,l,ADC
1720754349650,m,d,Congruent triangles
1720754349664,p,l,ABC
1720754349991,m,d,Congruent triangles
1720754349999,p,l,ADC
1720754350199,p,l,ADC
1720754350227,m,d,Congruent triangles
1720754350235,p,l,ABC
1720754350359,p,l,ABC
1720754350555,m,d,Congruent triangles
1720754350568,p,l,ADC
1720754351312,p,l,ABC
1720754352036,m,d,Congruent triangles
1720754352063,p,l,ADC
1720754352452,m,d,Congruent triangles
1720754352508,p,l,ABC
1720754352890,m,d,Congruent triangles
1720754352904,p,l,ADC
1720754353106,m,d,Congruent triangles
1720754353115,p,l,ABC
1720754353287,m,d,Congruent triangles
1720754353296,p,l,ADC
1720754354511,h,s,segment.AB
1720754354518,h,s,segment.AB
1720754354518,h,t,triangle.ABC
1720754354525,h,t,triangle.ABC
1720754354525,h,s,segment.AC
1720754354532,h,s,segment.AC
1720754354532,h,t,triangle.ACD
1720754354553,h,t,triangle.ACD
1720754354553,h,s,segment.CD
1720754354560,h,s,segment.CD
1720754355846,h,po,D
1720754355950,h,po,D
1720754355950,h,s,segment.CD
1720754356124,h,s,segment.CD
1720754356124,h,s,segment.AD
1720754356346,h,s,segment.AD
1720754356346,h,s,segment.CD
1720754357051,c,s,segment.CD
1720754357800,h,t,triangle.ACD
1720754357807,h,t,triangle.ACD
1720754357808,h,s,segment.AD
1720754358368,c,s,segment.AD
1720754358697,h,po,D
1720754358711,h,po,D
1720754359267,h,t,triangle.ACD
1720754359545,h,t,triangle.ACD
1720754359545,h,s,segment.AC
1720754359750,c,s,segment.AC
1720754360004,h,t,triangle.ABC
1720754360025,h,t,triangle.ABC
1720754360025,h,s,segment.BC
1720754360033,h,s,segment.BC
1720754360296,h,s,segment.BC
1720754360630,c,s,segment.BC
1720754360686,h,t,triangle.ABC
1720754360783,h,t,triangle.ABC
1720754360846,h,t,triangle.ACD
1720754361044,c,t,triangle.ACD
1720754361256,h,t,triangle.ABC
1720754361557,c,t,triangle.ABC
1720754361931,c,s,segment.AC
1720754362370,c,t,triangle.ABC
1720754363044,c,s,segment.BC
1720754363244,h,t,triangle.ABC
1720754363252,h,t,triangle.ABC
1720754363252,h,s,segment.AC
1720754363279,h,s,segment.AC
1720754363633,c,s,segment.CD
1720754364140,c,s,segment.AD
1720754364661,c,t,triangle.ACD
1720754364893,h,s,segment.CD
1720754365073,h,s,segment.CD
1720754365074,h,po,C
1720754365303,h,po,C
1720754365303,h,s,segment.CD
1720754365324,h,s,segment.CD
1720754365324,h,s,segment.AC
1720754365372,h,s,segment.AC
1720754365372,h,t,triangle.ACD
1720754366082,h,t,triangle.ACD
1720754366082,h,s,segment.CD
1720754366095,h,s,segment.CD
1720754366304,h,s,segment.BC
1720754366332,h,s,segment.BC
1720754366332,h,t,triangle.ABC
1720754366701,h,t,triangle.ABC
1720754366701,h,s,segment.AC
1720754366722,h,s,segment.AC
1720754366722,h,t,triangle.ACD
1720754366784,h,t,triangle.ACD
1720754366784,h,s,segment.AD
1720754366937,h,s,segment.AD
1720754366937,h,t,triangle.ACD
1720754367333,h,t,triangle.ACD
1720754367333,h,s,segment.AC
1720754367355,h,s,segment.AC
1720754367355,h,t,triangle.ABC
1720754367584,h,t,triangle.ABC
1720754367584,h,s,segment.AC
1720754367604,h,s,segment.AC
1720754367605,h,t,triangle.ACD
1720754368335,h,t,triangle.ACD
1720754368335,h,s,segment.AC
1720754368390,h,s,segment.AC
1720754368390,h,t,triangle.ABC
1720754368432,h,t,triangle.ABC
1720754368488,h,t,triangle.ABC
1720754368808,h,t,triangle.ABC
1720754368808,h,s,segment.AC
1720754368829,h,s,segment.AC
1720754368829,h,t,triangle.ACD
1720754369517,h,t,triangle.ACD
1720754369517,h,s,segment.AD
1720754369753,h,s,segment.AD
1720754369753,h,t,triangle.ACD
1720754369976,h,t,triangle.ACD
1720754369976,h,s,segment.AD
1720754370010,h,s,segment.AD
1720754370157,h,s,segment.AD
