pageName,question,answer,time,version
"Background Questions","0","22","1720807772585","undefined"
"Background Questions","1","2016","1720807772585","undefined"
"Background Questions","2","18","1720807772585","undefined"
"TutorialProof1","qID-1","Yes","1720807901927","interactive"
"TutorialProof1","qID-2","Yes","1720807962271","interactive"
"TutorialProof2","qID-1","No","1720808021731","interactive"
"T1_S1_C2","qID-4","Yes","1720808080491","interactive"
"T1_S1_C2","qID-1","Yes","1720808106737","interactive"
"T1_S1_C2","qID-3","Yes","1720808121037","interactive"
"T1_S1_C2","qID-2","Yes","1720808142199","interactive"
"T1_S1_IN2","qID-2","No","1720808221884","interactive"
"T1_S1_IN2","qID-1","Yes","1720808244383","interactive"
"T1_S1_IN3","qID-2","No","1720808309824","static"
"T1_S1_IN3","qID-3","Yes","1720808329135","static"
"T1_S1_IN3","qID-1","Yes","1720808337998","static"
"T1_S1_C3","qID-3","Yes","1720808465165","static"
"T1_S1_C3","qID-2","No","1720808473713","static"
"T1_S1_C3","qID-4","Yes","1720808481518","static"
"T1_S1_C3","qID-1","Yes","1720808497892","static"
"T1_S1_C1","qID-2","Yes","1720808559646","interactive"
"T1_S1_C1","qID-1","Yes","1720808580920","interactive"
"T1_S1_C1","qID-3","No","1720808611686","interactive"
"T1_S1_IN1","qID-3","Yes","1720808674928","static"
"T1_S1_IN1","qID-1","Yes","1720808680174","static"
"T1_S1_IN1","qID-2","No","1720808717604","static"
"T1_S2_C2","qID-1","No","1720808798532","static"
"T1_S2_IN2","qID-1","Yes","1720808906138","interactive"
"T1_S2_IN2","qID-2","Step 7","1720808919206","interactive"
"T1_S2_IN2","qID-3","The step says the wrong things are congruent to each other","1720808934806","interactive"
"T1_S2_C1","qID-1","No","1720809000732","static"
"T1_S2_IN1","qID-1","Yes","1720809119701","interactive"
"T1_S2_IN1","qID-2","Step 8","1720809123768","interactive"
"T1_S2_IN1","qID-3","The step says the wrong things are congruent to each other","1720809165282","interactive"
"Static SUS","0","3","1720809239501","undefined"
"Static SUS","1","1","1720809239501","undefined"
"Static SUS","2","5","1720809239501","undefined"
"Static SUS","3","2","1720809239501","undefined"
"Static SUS","4","3","1720809239501","undefined"
"Static SUS","5","2","1720809239501","undefined"
"Static SUS","6","5","1720809239501","undefined"
"Static SUS","7","1","1720809239501","undefined"
"Static SUS","8","4","1720809239501","undefined"
"Static SUS","9","1","1720809239501","undefined"
"Interactive SUS","0","2","1720809304722","undefined"
"Interactive SUS","1","4","1720809304722","undefined"
"Interactive SUS","2","3","1720809304722","undefined"
"Interactive SUS","3","3","1720809304722","undefined"
"Interactive SUS","4","5","1720809304722","undefined"
"Interactive SUS","5","2","1720809304722","undefined"
"Interactive SUS","6","3","1720809304722","undefined"
"Interactive SUS","7","4","1720809304722","undefined"
"Interactive SUS","8","4","1720809304722","undefined"
"Interactive SUS","9","2","1720809304722","undefined"
