pageName,question,answer,time,version
"Background Questions","0","25","1721432325573","undefined"
"Background Questions","1","2015","1721432325573","undefined"
"Background Questions","2","3 degrees gradient","1721432325573","undefined"
"P1","qID-3","HJ","1721432371589","static"
"P1","qID-2","MN","1721432397440","static"
"P1","qID-1","BC","1721432405488","static"
"P2","qID-3","Angle NQP","1721432421908","static"
"P2","qID-2","Angle DEF","1721432432164","static"
"P2","qID-1","Angle GHJ","1721432439288","static"
"P7","qID-1","SAS (Side-Angle-Side)","1721432451493","static"
"P7","qID-12","Yes","1721432481899","static"
"P7","qID-11","each have two segments with the same number of tick marks","1721432577532","static"
"P7","qID-13","Yes","1721432586079","static"
"P4","qID-1","SSS (Side-Side-Side)","1721432597818","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1721432607490","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1721432636698","static"
"P3","qID-1","SAS (Side-Angle-Side)","1721432644256","static"
"TutorialProof1","qID-1","No","1721432848114","interactive"
"TutorialProof1","qID-2","No","1721432941595","interactive"
"TutorialProof2","qID-1","No","1721432981494","interactive"
"T1_S1_C3","qID-2","No","1721433026662","static"
"T1_S1_C3","qID-4","Yes","1721433060225","static"
"T1_S1_C3","qID-1","Yes","1721433074903","static"
"T1_S1_C3","qID-3","No","1721433117859","static"
"T1_S1_IN1","qID-1","Yes","1721433156204","static"
"T1_S1_IN1","qID-2","Yes","1721433170984","static"
"T1_S1_IN1","qID-3","No","1721433205493","static"
"T1_S1_IN2","qID-1","Yes","1721433237360","interactive"
"T1_S1_IN2","qID-2","No","1721433268050","interactive"
"T1_S1_C2","qID-4","Yes","1721433336219","static"
"T1_S1_C2","qID-3","Yes","1721433348990","static"
"T1_S1_C2","qID-1","Yes","1721433379929","static"
"T1_S1_C2","qID-2","Yes","1721433409029","static"
"T1_S1_IN3","qID-2","No","1721433469746","interactive"
"T1_S1_IN3","qID-1","Yes","1721433508462","interactive"
"T1_S1_IN3","qID-3","Yes","1721433522549","interactive"
"T1_S1_C1","qID-3","Yes","1721433540823","interactive"
"T1_S1_C1","qID-2","No","1721433560891","interactive"
"T1_S1_C1","qID-1","Yes","1721433714219","interactive"
"T1_S2_IN2","qID-1","Yes","1721433895622","interactive"
"T1_S2_IN2","qID-2","Step 7","1721433899295","interactive"
"T1_S2_IN2","qID-3","The step says the wrong things are congruent to each other (ex: incorrectly says PA is congruent to AC)","1721433914611","interactive"
"T1_S2_C2","qID-1","No","1721434024618","interactive"
"T1_S2_C1","qID-1","No","1721434126704","static"
"T1_S2_IN1","qID-1","Yes","1721434342976","static"
"T1_S2_IN1","qID-2","Step 8","1721434347636","static"
"T1_S2_IN1","qID-3","There is not enough information to apply the theorem or definition","1721434354652","static"
"Static SUS","0","2","1721434436463","undefined"
"Static SUS","1","1","1721434436463","undefined"
"Static SUS","2","4","1721434436463","undefined"
"Static SUS","3","1","1721434436463","undefined"
"Static SUS","4","3","1721434436463","undefined"
"Static SUS","5","1","1721434436463","undefined"
"Static SUS","6","2","1721434436463","undefined"
"Static SUS","7","3","1721434436463","undefined"
"Static SUS","8","5","1721434436463","undefined"
"Static SUS","9","1","1721434436463","undefined"
"Interactive SUS","0","5","1721434474473","undefined"
"Interactive SUS","1","1","1721434474473","undefined"
"Interactive SUS","2","5","1721434474473","undefined"
"Interactive SUS","3","1","1721434474473","undefined"
"Interactive SUS","4","5","1721434474473","undefined"
"Interactive SUS","5","1","1721434474473","undefined"
"Interactive SUS","6","4","1721434474473","undefined"
"Interactive SUS","7","1","1721434474474","undefined"
"Interactive SUS","8","5","1721434474474","undefined"
"Interactive SUS","9","1","1721434474474","undefined"
