pageName,question,answer,time,version
"Background Questions","0","14","1721921792113","undefined"
"Background Questions","1","2023-2024","1721921792113","undefined"
"Background Questions","2","9th grade","1721921792113","undefined"
"Background Questions","3","regular","1721921792113","undefined"
"P1","qID-2","MN","1721921804421","static"
"P1","qID-3","HJ","1721921810554","static"
"P1","qID-1","BC","1721921819666","static"
"P2","qID-1","Angle GHJ","1721921832207","static"
"P2","qID-3","Angle NQP","1721921839032","static"
"P2","qID-2","Angle DEF","1721921850463","static"
"P7","qID-1","RHL (Right-Hypotenuse-Leg)","1721921912580","static"
"P7","qID-13","No","1721921916880","static"
"P7","qID-11","be the same shape, not necessarily the same size","1721921926335","static"
"P7","qID-12","No","1721921928653","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1721921941710","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1721921957334","static"
"P4","qID-1","SSS (Side-Side-Side)","1721921970122","static"
"P3","qID-1","SAS (Side-Angle-Side)","1721921980195","static"
"TutorialProof1","qID-1","No","1721922075722","interactive"
"TutorialProof1","qID-2","No","1721922252432","interactive"
"TutorialProof2","qID-1","No","1721922312764","interactive"
"T1_S1_IN1","qID-3","Yes","1721922600627","interactive"
"T1_S1_IN1","qID-1","Yes","1721922615324","interactive"
"T1_S1_IN1","qID-2","Yes","1721922622532","interactive"
"T1_S1_C3","qID-2","No","1721922719945","static"
"T1_S1_C3","qID-4","Yes","1721922735822","static"
"T1_S1_C3","qID-1","Yes","1721922789757","static"
"T1_S1_C3","qID-3","No","1721922822383","static"
"T1_S1_IN3","qID-1","Yes","1721922930646","interactive"
"T1_S1_IN3","qID-3","Yes","1721922950728","interactive"
"T1_S1_IN3","qID-2","Yes","1721922963261","interactive"
"T1_S1_C1","qID-2","Yes","1721923031950","static"
"T1_S1_C1","qID-3","Yes","1721923041326","static"
"T1_S1_C1","qID-1","Yes","1721923184648","static"
"T1_S1_C2","qID-2","Yes","1721923211612","static"
"T1_S1_C2","qID-1","No","1721923233888","static"
"T1_S1_C2","qID-4","No","1721923303086","static"
"T1_S1_C2","qID-3","Yes","1721923401339","static"
"T1_S1_IN2","qID-1","Yes","1721923623802","interactive"
"T1_S1_IN2","qID-2","No","1721923647409","interactive"
"T1_S2_IN2","qID-1","Yes","1721923762406","interactive"
"T1_S2_IN2","qID-2","Step 7","1721923771448","interactive"
"T1_S2_IN2","qID-3","The step says the wrong things are congruent to each other (ex: incorrectly says PA is congruent to AC)","1721923780703","interactive"
"T1_S2_C2","qID-1","Yes","1721923851003","static"
"T1_S2_C2","qID-2","Step 6","1721923854056","static"
"T1_S2_C2","qID-3","The step uses the wrong theorem or definition (ex: incorrectly uses ASA triangle congruence)","1721923859613","static"
"T1_S2_IN1","qID-1","Yes","1721924279340","interactive"
"T1_S2_IN1","qID-2","Step 6","1721924354567","interactive"
"T1_S2_IN1","qID-3","The step says the wrong things are congruent to each other (ex: incorrectly says PA is congruent to AC)","1721924359874","interactive"
"T1_S2_C1","qID-1","Yes","1721924146020","static"
"Static SUS","0","4","1721924531521","undefined"
"Static SUS","1","1","1721924531521","undefined"
"Static SUS","2","4","1721924531522","undefined"
"Static SUS","3","1","1721924531522","undefined"
"Static SUS","4","4","1721924531523","undefined"
"Static SUS","5","4","1721924531523","undefined"
"Static SUS","6","5","1721924531524","undefined"
"Static SUS","7","1","1721924531524","undefined"
"Static SUS","8","5","1721924531525","undefined"
"Static SUS","9","1","1721924531525","undefined"
"Interactive SUS","0","4","1721924604673","undefined"
"Interactive SUS","1","1","1721924604673","undefined"
"Interactive SUS","2","5","1721924604674","undefined"
"Interactive SUS","3","1","1721924604674","undefined"
"Interactive SUS","4","5","1721924604675","undefined"
"Interactive SUS","5","3","1721924604675","undefined"
"Interactive SUS","6","5","1721924604676","undefined"
"Interactive SUS","7","1","1721924604677","undefined"
"Interactive SUS","8","5","1721924604677","undefined"
"Interactive SUS","9","1","1721924604678","undefined"
