pageName,question,answer,time,version
"Background Questions","0","15","1721921791516","undefined"
"Background Questions","1","2024","1721921791516","undefined"
"Background Questions","2","10","1721921791516","undefined"
"Background Questions","3","honors","1721921791516","undefined"
"P1","qID-1","BC","1721921851829","static"
"P1","qID-3","HJ","1721921863461","static"
"P1","qID-2","MN","1721921873384","static"
"P2","qID-3","Angle NQP","1721921881791","static"
"P2","qID-2","Angle DEF","1721921893813","static"
"P2","qID-1","Angle GHJ","1721921903976","static"
"P3","qID-1","SAS (Side-Angle-Side)","1721921914664","static"
"P3","qID-11","be the same shape, not necessarily the same size","1721921950343","static"
"P3","qID-12","No","1721921954725","static"
"P3","qID-13","Yes","1721921963183","static"
"P7","qID-1","SAS (Side-Angle-Side)","1721922006361","static"
"P6","qID-1","ASA (Angle-Side-Angle)","1721922013254","static"
"P5","qID-1","AAS (Angle-Angle-Side)","1721922025337","static"
"P4","qID-1","SSS (Side-Side-Side)","1721922031270","static"
"TutorialProof1","qID-1","Yes","1721922134896","interactive"
"TutorialProof1","qID-2","Yes","1721922184544","interactive"
"TutorialProof2","qID-1","No","1721922242826","interactive"
"T1_S1_C1","qID-2","Yes","1721922411610","static"
"T1_S1_C1","qID-3","Yes","1721922415368","static"
"T1_S1_C1","qID-1","No","1721922417393","static"
"T1_S1_C3","qID-3","No","1721922482889","interactive"
"T1_S1_C3","qID-2","No","1721922538859","interactive"
"T1_S1_C3","qID-4","Yes","1721922558944","interactive"
"T1_S1_C3","qID-1","Yes","1721922592424","interactive"
"T1_S1_C2","qID-2","Yes","1721922696296","interactive"
"T1_S1_C2","qID-3","Yes","1721922743179","interactive"
"T1_S1_C2","qID-4","No","1721922809505","interactive"
"T1_S1_C2","qID-1","Yes","1721922861046","interactive"
"T1_S1_IN1","qID-2","No","1721922920034","static"
"T1_S1_IN1","qID-1","No","1721922968830","static"
"T1_S1_IN1","qID-3","No","1721922979712","static"
"T1_S1_IN3","qID-3","Yes","1721923033093","static"
"T1_S1_IN3","qID-2","No","1721923077381","static"
"T1_S1_IN3","qID-1","Yes","1721923190768","static"
"T1_S1_IN2","qID-1","Yes","1721923244192","interactive"
"T1_S1_IN2","qID-2","No","1721923276097","interactive"
"T1_S2_C1","qID-1","Yes","1721923371302","interactive"
"T1_S2_C1","qID-2","Step 4","1721923379053","interactive"
"T1_S2_C1","qID-3","The step uses the wrong theorem or definition (ex: incorrectly uses ASA triangle congruence)","1721923399754","interactive"
"T1_S2_IN1","qID-1","Yes","1721923538306","static"
"T1_S2_IN1","qID-2","Step 8","1721923546217","static"
"T1_S2_IN1","qID-3","There is not enough information to apply the theorem or definition","1721923557482","static"
"T1_S2_C2","qID-1","No","1721923718585","interactive"
"T1_S2_IN2","qID-1","Yes","1721923861389","static"
"T1_S2_IN2","qID-2","Step 8","1721923865454","static"
"T1_S2_IN2","qID-3","The step uses the wrong theorem or definition (ex: incorrectly uses ASA triangle congruence)","1721923873464","static"
"Static SUS","0","5","1721924008787","undefined"
"Static SUS","1","2","1721924008787","undefined"
"Static SUS","2","4","1721924008788","undefined"
"Static SUS","3","1","1721924008788","undefined"
"Static SUS","4","4","1721924008789","undefined"
"Static SUS","5","1","1721924008789","undefined"
"Static SUS","6","5","1721924008789","undefined"
"Static SUS","7","1","1721924008790","undefined"
"Static SUS","8","4","1721924008790","undefined"
"Static SUS","9","1","1721924008791","undefined"
"Interactive SUS","0","4","1721924096124","undefined"
"Interactive SUS","1","2","1721924096124","undefined"
"Interactive SUS","2","5","1721924096125","undefined"
"Interactive SUS","3","1","1721924096125","undefined"
"Interactive SUS","4","4","1721924096126","undefined"
"Interactive SUS","5","2","1721924096126","undefined"
"Interactive SUS","6","5","1721924096127","undefined"
"Interactive SUS","7","1","1721924096127","undefined"
"Interactive SUS","8","4","1721924096128","undefined"
"Interactive SUS","9","1","1721924096128","undefined"
