t,e,c,v
1720724606078,n,b,
1720724608895,p,l,ABC
1720724609217,m,d,Congruent triangles
1720724609341,p,l,ADC
1720724609736,p,l,BC
1720724610110,p,l,ADC
1720724613166,h,po,C
1720724613388,c,po,C
1720724613953,h,s,segment.CD
1720724614022,h,s,segment.CD
1720724614022,h,t,triangle.ACD
1720724614215,h,t,triangle.ACD
1720724614215,h,s,segment.CD
1720724614572,c,s,segment.CD
1720724616092,c,po,C
1720724616207,h,po,C
1720724617101,c,s,segment.CD
1720724619877,c,pr-r,s1
1720724620637,c,pr-r,s2
1720724621045,c,pr-r,s3
1720724621509,c,pr-r,s4
1720724627541,c,qh,show
1720724629132,c,qh,hide
1720724632916,h,s,segment.AD
1720724632935,h,s,segment.AD
1720724632935,h,t,triangle.ACD
1720724632970,h,t,triangle.ACD
1720724632970,h,s,segment.AC
1720724632983,h,s,segment.AC
1720724632984,h,t,triangle.ABC
1720724633863,h,t,triangle.ABC
1720724633864,h,s,segment.AB
1720724633885,h,s,segment.AB
1720724634684,c,pr,s3
1720724635677,c,pr,s4
1720724635851,h,s,segment.BC
1720724635860,h,s,segment.BC
1720724635861,h,t,triangle.ABC
1720724635892,h,t,triangle.ABC
1720724635899,h,s,segment.AC
1720724635934,h,s,segment.AC
1720724635934,h,t,triangle.ACD
1720724635942,h,t,triangle.ACD
1720724635943,h,s,segment.AD
1720724636003,h,s,segment.AD
1720724642477,p,l,ABC
1720724642783,m,d,Congruent triangles
1720724642985,p,l,ADC
1720724645630,h,s,segment.BC
1720724646038,h,s,segment.BC
1720724646038,h,t,triangle.ABC
1720724646073,h,t,triangle.ABC
1720724646073,h,s,segment.AB
1720724646080,h,s,segment.AB
1720724691668,h,s,segment.LM
1720724691973,h,s,segment.LM
1720724691973,h,t,triangle.KLM
1720724692133,h,t,triangle.KLM
1720724692133,h,s,segment.KM
1720724692202,h,s,segment.KM
1720724692203,h,t,triangle.JKM
1720724692632,h,t,triangle.JKM
1720724692632,h,s,segment.JK
1720724692646,h,s,segment.JK
1720724694485,c,pr-r,s1
1720724695349,c,pr-r,s2
1720724695812,c,pr-r,s3
1720724696229,c,pr-r,s4
1720724696661,c,pr-r,s5
1720724705972,c,pr,s3
1720724710197,h,s,segment.JK
1720724710250,h,s,segment.JK
1720724710250,h,s,segment.JM
1720724710277,h,s,segment.JM
1720724711854,h,s,segment.JM
1720724711880,h,s,segment.JM
1720724711880,h,s,segment.JK
1720724711915,h,s,segment.JK
1720724714496,h,po,K
1720724714498,h,po,K
1720724714499,h,s,segment.KL
1720724714513,h,s,segment.KL
1720724715055,h,s,segment.KL
1720724715589,c,s,segment.KL
1720724716092,h,t,triangle.KLM
1720724716129,h,t,triangle.KLM
1720724716129,h,s,segment.KM
1720724716171,h,s,segment.KM
1720724716172,h,t,triangle.JKM
1720724716178,h,t,triangle.JKM
1720724716178,h,s,segment.JK
1720724716240,h,s,segment.JK
1720724716982,h,s,segment.JK
1720724717107,h,s,segment.JK
1720724717107,h,t,triangle.JKM
1720724717232,h,t,triangle.JKM
1720724717232,h,s,segment.KM
1720724717660,c,s,segment.KM
1720724717893,h,t,triangle.JKM
1720724717923,h,t,triangle.JKM
1720724717924,h,s,segment.JK
1720724717937,h,s,segment.JK
1720724718516,c,pr,s5
1720724759708,c,pr-r,s1
1720724761108,c,pr-r,s2
1720724761828,c,pr-r,s3
1720724763222,c,pr-r,s4
1720724763789,c,pr-r,s5
1720724764269,c,pr-r,s6
1720724765124,c,pr,s5
1720724765732,c,pr,s4
1720724766252,c,pr,s6
1720724787530,h,s,segment.LM
1720724787543,h,s,segment.LM
1720724787543,h,t,triangle.KLM
1720724788078,h,t,triangle.KLM
1720724788078,h,s,segment.KL
1720724789654,h,s,segment.KL
1720724789654,h,t,triangle.KLM
1720724790803,h,t,triangle.KLM
1720724790804,h,s,segment.KM
1720724790865,h,s,segment.KM
1720724790866,h,t,triangle.KMN
1720724791116,h,t,triangle.KMN
1720724791116,h,s,segment.KM
1720724791547,h,s,segment.KM
1720724791548,h,t,triangle.KLM
1720724791593,h,t,triangle.KLM
1720724791593,h,s,segment.KL
1720724791656,h,s,segment.KL
1720724791657,h,s,segment.LM
1720724791664,h,s,segment.LM
1720724793028,h,s,segment.LM
1720724793049,h,s,segment.LM
1720724793049,h,t,triangle.KLM
1720724793216,h,t,triangle.KLM
1720724793216,h,s,segment.LM
1720724793230,h,s,segment.LM
