t,e,c,v
1721432325573,n,b,
1721432654948,p,l,ADC
1721432656349,m,d,Congruent triangles
1721432656372,p,l,ABC
1721432657827,m,d,Congruent triangles
1721432657966,p,l,ADC
1721432658985,m,d,Congruent triangles
1721432659009,p,l,ABC
1721432659603,m,d,Congruent triangles
1721432659621,p,l,ADC
1721432660016,m,d,Congruent triangles
1721432660040,p,l,ABC
1721432661857,m,d,Congruent triangles
1721432661881,p,l,ADC
1721432663645,h,s,segment.BC
1721432663651,h,s,segment.BC
1721432663651,h,s,segment.AC
1721432663658,h,s,segment.AC
1721432665033,h,po,D
1721432665051,h,po,D
1721432665051,h,s,segment.AD
1721432665099,h,s,segment.AD
1721432665099,h,t,triangle.ACD
1721432665590,h,t,triangle.ACD
1721432665590,h,s,segment.AD
1721432666457,h,s,segment.AD
1721432666457,h,t,triangle.ACD
1721432666469,h,t,triangle.ACD
1721432666494,h,t,triangle.ACD
1721432666700,h,t,triangle.ACD
1721432666700,h,s,segment.AC
1721432667276,h,s,segment.AC
1721432667300,h,t,triangle.ABC
1721432667336,h,t,triangle.ABC
1721432667354,h,t,triangle.ABC
1721432667942,h,t,triangle.ABC
1721432667948,h,t,triangle.ABC
1721432667967,h,t,triangle.ABC
1721432667967,h,s,segment.AB
1721432668488,h,s,segment.AB
1721432668488,h,t,triangle.ABC
1721432668536,h,t,triangle.ABC
1721432668536,h,s,segment.BC
1721432669046,h,s,segment.BC
1721432669378,h,s,segment.CD
1721432669396,h,s,segment.CD
1721432669396,h,po,C
1721432669433,h,po,C
1721432669469,h,s,segment.BC
1721432669772,h,s,segment.BC
1721432669772,h,s,segment.CD
1721432670360,h,s,segment.CD
1721432670360,h,s,segment.AC
1721432670960,h,s,segment.AC
1721432670960,h,t,triangle.ACD
1721432671379,h,t,triangle.ACD
1721432671385,h,t,triangle.ACD
1721432671578,h,t,triangle.ACD
1721432671585,h,t,triangle.ACD
1721432671596,h,t,triangle.ACD
1721432671603,h,s,segment.AD
1721432671682,h,s,segment.AD
1721432671827,h,s,segment.AD
1721432671882,h,s,segment.AD
1721432671887,h,t,triangle.ACD
1721432671900,h,t,triangle.ACD
1721432671906,h,t,triangle.ACD
1721432671985,h,t,triangle.ACD
1721432671985,h,s,segment.AC
1721432673052,h,s,segment.AC
1721432673052,h,t,triangle.ACD
1721432673112,h,t,triangle.ACD
1721432673136,h,s,segment.AD
1721432673797,h,s,segment.AD
1721432673918,h,t,triangle.ACD
1721432674008,h,t,triangle.ACD
1721432674008,h,s,segment.AC
1721432674051,h,s,segment.AC
1721432674051,h,t,triangle.ABC
1721432674221,h,t,triangle.ABC
1721432674221,h,s,segment.AB
1721432675142,h,s,segment.AB
1721432675142,h,t,triangle.ABC
1721432675494,h,t,triangle.ABC
1721432675494,h,s,segment.AC
1721432675585,h,s,segment.AC
1721432675585,h,t,triangle.ACD
1721432675694,h,t,triangle.ACD
1721432675694,h,s,segment.AD
1721432676154,h,s,segment.AD
1721432676154,h,po,A
1721432676196,h,po,A
1721432676397,h,po,A
1721432677270,h,po,A
1721432677281,h,s,segment.AB
1721432677288,h,s,segment.AB
1721432677288,h,s,segment.AD
1721432677293,h,s,segment.AD
1721432677293,h,s,segment.AC
1721432677306,h,s,segment.AC
1721432677306,h,s,segment.AB
1721432677488,h,s,segment.AB
1721432677488,h,t,triangle.ABC
1721432677730,h,t,triangle.ABC
1721432677730,h,s,segment.BC
1721432677821,h,s,segment.BC
1721432679766,h,s,segment.AB
1721432679778,h,s,segment.AB
1721432679966,h,s,segment.AB
1721432679984,h,s,segment.AB
1721432679984,h,s,segment.AC
1721432679996,h,s,segment.AC
1721432679996,h,s,segment.AD
1721432680118,h,s,segment.AD
1721432680118,h,po,A
1721432680142,h,po,A
1721432680360,h,po,A
1721432681124,h,po,A
1721432681124,h,s,segment.AD
1721432681166,h,s,segment.AD
1721432681178,h,t,triangle.ACD
1721432681227,h,t,triangle.ACD
1721432681227,h,s,segment.CD
1721432681512,h,s,segment.CD
1721432682669,h,s,segment.BC
1721432682797,h,s,segment.BC
1721432683578,h,po,D
1721432683936,h,po,D
1721432683972,h,s,segment.AD
1721432684251,h,s,segment.AD
1721432684251,h,s,segment.AC
1721432684257,h,s,segment.AC
1721432684257,h,s,segment.AB
1721432684264,h,s,segment.AB
1721432684275,h,po,A
1721432684530,h,po,A
1721432684554,h,s,segment.AD
1721432684597,h,s,segment.AD
1721432684597,h,s,segment.CD
1721432684609,h,s,segment.CD
1721432684899,h,s,segment.CD
1721432685093,h,s,segment.CD
1721432686076,h,po,D
1721432686329,c,po,D
1721432686615,h,s,segment.CD
1721432686639,h,s,segment.CD
1721432687361,h,po,C
1721432687366,h,po,C
1721432687366,h,s,segment.CD
1721432687712,h,s,segment.CD
1721432687712,h,po,C
1721432687754,h,po,C
1721432687778,h,s,segment.BC
1721432687845,h,s,segment.BC
1721432688851,h,po,C
1721432688900,h,po,C
1721432690221,h,s,segment.BC
1721432690378,h,s,segment.BC
1721432690402,h,po,C
1721432690518,h,po,C
1721432690518,h,s,segment.CD
1721432691027,h,s,segment.CD
1721432691027,h,po,C
1721432691567,h,po,C
1721432691567,h,s,segment.BC
1721432691869,h,s,segment.BC
1721432693069,h,s,segment.BC
1721432693076,h,s,segment.BC
1721432693099,h,s,segment.BC
1721432693578,h,s,segment.BC
1721432695894,h,s,segment.BC
1721432695912,h,s,segment.BC
1721432696070,h,s,segment.BC
1721432696124,h,s,segment.BC
1721432696196,h,s,segment.BC
1721432697385,h,s,segment.BC
1721432697385,h,s,segment.AB
1721432697439,h,s,segment.AB
1721432699281,h,t,triangle.ABC
1721432699300,h,t,triangle.ABC
1721432699300,h,s,segment.CD
1721432699305,h,s,segment.CD
1721432699518,h,t,triangle.ACD
1721432699524,h,t,triangle.ACD
1721432699524,h,t,triangle.ABC
1721432699542,h,t,triangle.ABC
1721432699542,h,s,segment.AB
1721432699548,h,s,segment.AB
1721432699706,h,s,segment.BC
1721432699730,h,s,segment.BC
1721432699730,h,s,segment.AC
1721432699736,h,s,segment.AC
1721432702033,h,s,segment.CD
1721432702045,h,s,segment.CD
1721432702045,h,t,triangle.ACD
1721432702367,h,t,triangle.ACD
1721432702367,h,s,segment.AD
1721432702800,c,s,segment.AD
1721432703633,h,t,triangle.ACD
1721432703645,h,t,triangle.ACD
1721432703645,h,s,segment.CD
1721432703657,h,s,segment.CD
1721432705397,p,l,ADC
1721432705518,m,d,Congruent triangles
1721432705681,p,l,AD
1721432706318,p,l,BC
1721432706336,p,l,DC
1721432706445,h,s,segment.AC
1721432706457,h,s,segment.AC
1721432706851,h,t,triangle.ACD
1721432706863,h,t,triangle.ACD
1721432706863,h,s,segment.AC
1721432706870,h,s,segment.AC
1721432706870,h,s,segment.AB
1721432706875,h,s,segment.AB
1721432707433,p,l,AD
1721432707918,p,l,BC
