t,e,c,v
1721921735474,n,i,
1721921791517,n,b,
1721922042429,h,s,segment.CD
1721922042442,h,s,segment.CD
1721922042442,h,s,segment.AD
1721922042458,h,s,segment.AD
1721922047926,h,s,segment.CD
1721922047943,h,s,segment.CD
1721922047943,h,s,segment.AC
1721922047959,h,s,segment.AC
1721922047959,h,s,segment.BC
1721922047993,h,s,segment.BC
1721922048981,p,l,ABC
1721922049045,m,d,Congruent triangles
1721922049078,p,l,ADC
1721922050381,c,pr,prove
1721922055599,h,s,segment.AB
1721922055615,h,s,segment.AB
1721922055615,h,t,triangle.ABC
1721922055666,h,t,triangle.ABC
1721922055667,h,s,segment.AC
1721922055697,h,s,segment.AC
1721922055698,h,t,triangle.ACD
1721922056316,h,t,triangle.ACD
1721922056316,h,s,segment.CD
1721922057165,h,s,segment.CD
1721922057165,h,t,triangle.ACD
1721922057184,h,t,triangle.ACD
1721922057184,h,po,C
1721922057199,h,po,C
1721922057199,h,s,segment.AC
1721922057434,h,s,segment.AC
1721922057434,h,t,triangle.ACD
1721922057717,h,t,triangle.ACD
1721922057717,h,s,segment.AD
1721922057734,h,s,segment.AD
1721922057734,h,s,segment.CD
1721922057751,h,s,segment.CD
1721922057751,h,po,D
1721922057799,h,po,D
1721922059617,h,s,segment.CD
1721922060192,c,s,segment.CD
1721922071070,c,pr-r,s1
1721922086229,h,po,C
1721922086247,h,po,C
1721922086248,h,t,triangle.ABC
1721922086262,h,t,triangle.ABC
1721922086262,h,s,segment.BC
1721922086330,h,s,segment.BC
1721922087215,c,pr,s2
1721922089996,c,pr,s3
1721922090784,c,pr,s4
1721922091282,m,mi,
1721922091415,ml,mi,
1721922091432,m,re,
1721922091516,ml,re,
1721922093186,m,re,
1721922093918,ml,re,
1721922108770,h,s,segment.AD
1721922108805,h,s,segment.AD
1721922108806,h,t,triangle.ACD
1721922109139,h,t,triangle.ACD
1721922109140,h,s,segment.AC
1721922109207,h,s,segment.AC
1721922109207,h,t,triangle.ABC
1721922109274,h,t,triangle.ABC
1721922109274,h,s,segment.BC
1721922109357,h,s,segment.BC
1721922109573,h,s,segment.BC
1721922109591,h,s,segment.BC
1721922109591,h,t,triangle.ABC
1721922109641,h,t,triangle.ABC
1721922109657,h,s,segment.AC
1721922109707,h,s,segment.AC
1721922109708,h,t,triangle.ACD
1721922109856,h,t,triangle.ACD
1721922109856,h,s,segment.AD
1721922109891,h,s,segment.AD
1721922110089,h,s,segment.AD
1721922110108,h,s,segment.AD
1721922110108,h,s,segment.AC
1721922110126,h,s,segment.AC
1721922110127,h,t,triangle.ABC
1721922110142,h,t,triangle.ABC
1721922110143,h,s,segment.AB
1721922110405,h,s,segment.AB
1721922110958,h,s,segment.AB
1721922111091,h,s,segment.AB
1721922111092,h,s,segment.AC
1721922111110,h,s,segment.AC
1721922111125,h,s,segment.AD
1721922111142,h,s,segment.AD
1721922111490,h,s,segment.AD
1721922111524,h,s,segment.AD
1721922111524,h,s,segment.AC
1721922111641,h,s,segment.AC
1721922111642,h,t,triangle.ABC
1721922111725,h,t,triangle.ABC
1721922111758,h,t,triangle.ABC
1721922111876,h,t,triangle.ABC
1721922111876,h,s,segment.BC
1721922111908,h,s,segment.BC
1721922115095,h,s,segment.BC
1721922115114,h,s,segment.BC
1721922115114,h,s,segment.AC
1721922115130,h,s,segment.AC
1721922115130,h,t,triangle.ACD
1721922115180,h,t,triangle.ACD
1721922115180,h,s,segment.AD
1721922115212,h,s,segment.AD
1721922115528,h,s,segment.AD
1721922115562,h,s,segment.AD
1721922115563,h,t,triangle.ACD
1721922115594,h,t,triangle.ACD
1721922115595,h,s,segment.AC
1721922115662,h,s,segment.AC
1721922115663,h,t,triangle.ABC
1721922116110,h,t,triangle.ABC
1721922116111,h,s,segment.AC
1721922116294,h,s,segment.AC
1721922116295,h,t,triangle.ABC
1721922116377,h,t,triangle.ABC
1721922116377,h,s,segment.AC
1721922116444,h,s,segment.AC
1721922116445,h,t,triangle.ACD
1721922116511,h,t,triangle.ACD
1721922118513,h,t,triangle.ACD
1721922118529,h,t,triangle.ACD
1721922118530,h,s,segment.AC
1721922118563,h,s,segment.AC
1721922118563,h,t,triangle.ABC
1721922118861,h,t,triangle.ABC
1721922118862,h,s,segment.AB
1721922119279,h,s,segment.AB
1721922119280,h,t,triangle.ABC
1721922119394,h,t,triangle.ABC
1721922119395,h,s,segment.BC
1721922121280,h,s,segment.BC
1721922121281,h,t,triangle.ABC
1721922121346,h,t,triangle.ABC
1721922121348,h,s,segment.AC
1721922121398,h,s,segment.AC
1721922121399,h,t,triangle.ACD
1721922122013,h,t,triangle.ACD
1721922122331,h,t,triangle.ACD
1721922122381,h,t,triangle.ACD
1721922122381,h,s,segment.AD
1721922122598,h,s,segment.AD
1721922122599,h,t,triangle.ACD
1721922122898,h,t,triangle.ACD
1721922126819,h,s,segment.AC
1721922126836,h,s,segment.AC
1721922126837,h,s,segment.BC
1721922127182,h,s,segment.BC
1721922127183,h,t,triangle.ABC
1721922127315,h,t,triangle.ABC
1721922127366,h,t,triangle.ABC
1721922127532,h,t,triangle.ABC
1721922127533,h,s,segment.AC
1721922127899,h,s,segment.AC
1721922127900,h,t,triangle.ABC
1721922127950,h,t,triangle.ABC
1721922127982,h,t,triangle.ABC
1721922128166,h,t,triangle.ABC
1721922128166,h,s,segment.BC
1721922128300,h,s,segment.BC
1721922128966,h,s,segment.BC
1721922128983,h,s,segment.BC
1721922128984,h,s,segment.AC
1721922129399,h,s,segment.AC
1721922129401,h,t,triangle.ACD
1721922129467,h,t,triangle.ACD
1721922130000,h,s,segment.BC
1721922130317,h,s,segment.BC
1721922130318,h,t,triangle.ABC
1721922130434,h,t,triangle.ABC
1721922130701,h,t,triangle.ABC
