t,e,c,v
1721921734885,n,i,
1721921762876,n,b,
1721921920682,p,l,ADC
1721921929197,h,s,segment.CD
1721921929703,c,s,segment.CD
1721921939965,c,pr-r,s1
1721921950173,p,l,ABC
1721921950224,p,l,AB
1721921950440,p,l,AB
1721921950523,p,l,ABC
1721921950962,c,pr,prove
1721921951227,m,d,Congruent triangles
1721921951978,p,l,ADC
1721921952829,p,l,AD
1721921953248,p,l,AD
1721921953817,c,pr,given
1721921954400,p,l,ABC
1721921955023,c,pr,prove
1721921955552,p,l,AB
1721921955654,m,d,Congruent lines
1721921956036,p,l,AB
1721921956386,p,l,AB
1721921956437,m,d,Congruent lines
1721921956725,c,pr,s1
1721921956842,p,l,AD
1721921964320,h,po,D
1721921964336,h,po,D
1721921968692,h,s,segment.AD
1721921968758,h,s,segment.AD
1721921968762,h,t,triangle.ACD
1721921968776,h,t,triangle.ACD
1721921968776,h,t,triangle.ABC
1721921968809,h,t,triangle.ABC
1721921975462,c,pr-r,s2
1721921977126,c,pr-r,s3
1721921978813,c,pr-r,s4
1721921992623,m,mi,
1721921993790,ml,mi,
1721922002373,h,s,segment.AB
1721922002390,h,s,segment.AB
1721922002391,h,s,segment.AC
1721922002406,h,s,segment.AC
1721922009262,h,s,segment.AD
1721922009491,h,s,segment.AD
1721922009524,h,t,triangle.ACD
1721922009624,h,t,triangle.ACD
1721922009624,h,s,segment.AC
1721922009692,h,s,segment.AC
1721922009692,h,t,triangle.ABC
1721922009791,h,t,triangle.ABC
1721922009792,h,s,segment.BC
1721922009809,h,s,segment.BC
1721922009925,m,mi,
1721922010092,ml,mi,
1721922011643,c,pr,s3
1721922013638,c,pr,s4
1721922017022,h,s,segment.AB
1721922017055,h,s,segment.AB
1721922017056,h,t,triangle.ABC
1721922017129,h,t,triangle.ABC
1721922017130,h,s,segment.AC
1721922017189,h,s,segment.AC
1721922017189,h,t,triangle.ACD
1721922017206,h,t,triangle.ACD
1721922017207,h,s,segment.AD
1721922017222,h,s,segment.AD
1721922017522,h,s,segment.AD
1721922017556,h,s,segment.AD
1721922017556,h,t,triangle.ACD
1721922017690,h,t,triangle.ACD
1721922020062,m,d,Congruent angles
1721922020133,p,l,AD
1721922020454,p,l,AD
1721922020479,c,pr,s1
1721922022070,m,d,Congruent lines
1721922022447,p,l,AD
1721922023832,p,l,AD
1721922023852,p,l,AB
1721922024918,p,l,AC
1721922024936,m,d,Congruent lines
1721922025037,p,l,AC
1721922025150,m,d,Congruent angles
1721922025169,p,l,BAC
1721922025440,p,l,BAC
1721922025460,m,d,Congruent angles
1721922025538,p,l,DAC
1721922025955,m,d,Congruent angles
1721922027769,c,pr,s2
1721922032332,p,l,DAC
1721922033316,m,d,Congruent angles
1721922045035,h,s,segment.AB
1721922045053,h,s,segment.AB
1721922045070,h,t,triangle.ABC
1721922045086,h,t,triangle.ABC
1721922045086,h,s,segment.AC
1721922045104,h,s,segment.AC
1721922045117,h,s,segment.AD
1721922045133,h,s,segment.AD
1721922045319,h,s,segment.AD
1721922045335,h,s,segment.AD
1721922045336,h,t,triangle.ACD
1721922045398,h,t,triangle.ACD
1721922045399,h,s,segment.AC
1721922045421,h,s,segment.AC
1721922045422,h,s,segment.BC
1721922045439,h,s,segment.BC
1721922046387,h,s,segment.BC
1721922046405,h,s,segment.BC
1721922049204,h,s,segment.AD
1721922049222,h,s,segment.AD
1721922049223,h,t,triangle.ABC
1721922049239,h,t,triangle.ABC
1721922049239,h,s,segment.AB
1721922049272,h,s,segment.AB
1721922052491,c,pr,s4
1721922053198,h,t,triangle.ABC
