t,e,c,v
1721852178620,n,i,
1721852211396,n,b,
1721852386901,h,s,segment.AB
1721852386947,h,s,segment.AB
1721852386948,h,t,triangle.ABC
1721852386982,h,t,triangle.ABC
1721852386999,h,t,triangle.ABC
1721852387048,h,t,triangle.ABC
1721852387048,h,s,segment.AC
1721852387115,h,s,segment.AC
1721852387116,h,t,triangle.ACD
1721852387134,h,t,triangle.ACD
1721852387135,h,s,segment.AD
1721852387165,h,s,segment.AD
1721852387415,h,po,A
1721852387449,h,po,A
1721852387647,h,s,segment.AB
1721852387666,h,s,segment.AB
1721852387782,h,s,segment.AD
1721852389718,h,s,segment.AD
1721852389718,h,s,segment.CD
1721852391534,h,s,segment.CD
1721852391535,h,t,triangle.ACD
1721852391951,h,t,triangle.ACD
1721852391951,h,s,segment.AC
1721852392116,h,s,segment.AC
1721852392117,h,t,triangle.ABC
1721852392468,h,t,triangle.ABC
1721852392468,h,s,segment.AC
1721852393851,h,s,segment.AC
1721852393852,h,t,triangle.ABC
1721852393954,h,t,triangle.ABC
1721852393954,h,s,segment.AB
1721852394002,h,s,segment.AB
1721852395670,m,d,Congruent lines
1721852395700,p,l,BC
1721852395869,p,l,ADC
1721852396209,p,l,ADC
1721852402334,c,pr-r,s1
1721852411042,p,l,ADC
1721852411394,p,l,ADC
1721852421399,h,po,D
1721852421449,h,po,D
1721852421450,h,s,segment.AD
1721852421599,h,s,segment.AD
1721852421600,h,t,triangle.ACD
1721852421834,h,t,triangle.ACD
1721852421834,h,s,segment.CD
1721852422375,c,s,segment.CD
1721852424934,h,s,segment.AC
1721852425000,h,s,segment.AC
1721852425001,h,t,triangle.ABC
1721852425384,h,t,triangle.ABC
1721852425385,h,s,segment.BC
1721852425635,h,s,segment.BC
1721852439967,c,pr-r,s2
1721852442524,c,pr-r,s3
1721852446078,m,mi,
1721852446261,ml,mi,
1721852447111,h,s,segment.AD
1721852447145,h,s,segment.AD
1721852447145,h,po,D
1721852447211,h,po,D
1721852452681,h,t,triangle.ACD
1721852452863,h,t,triangle.ACD
1721852452864,h,s,segment.AC
1721852452948,h,s,segment.AC
1721852452948,h,t,triangle.ABC
1721852453130,h,t,triangle.ABC
1721852453130,h,s,segment.AC
1721852453180,h,s,segment.AC
1721852453181,h,t,triangle.ACD
1721852453199,h,t,triangle.ACD
1721852460167,m,mi,
1721852460251,ml,mi,
1721852460533,h,s,segment.BC
1721852460601,h,s,segment.BC
1721852460601,h,t,triangle.ABC
1721852460800,h,t,triangle.ABC
1721852460801,h,s,segment.AC
1721852461284,h,s,segment.AC
1721852461302,h,t,triangle.ABC
1721852461384,h,t,triangle.ABC
1721852461384,h,s,segment.BC
1721852461402,h,s,segment.BC
1721852462635,p,l,AC
1721852462652,m,d,Congruent lines
1721852462678,p,l,AC
1721852463018,p,l,AC
1721852463054,m,d,Congruent lines
1721852463073,p,l,AC
1721852464003,m,d,Congruent lines
1721852464037,p,l,AC
1721852465487,m,d,Congruent lines
1721852465921,p,l,AC
1721852472351,m,mi,
1721852472571,ml,mi,
1721852473622,m,mi,
1721852473740,ml,mi,
1721852474744,c,pr-r,s4
1721852481381,p,l,ADC
1721852481466,m,d,Congruent triangles
1721852481491,p,l,ABC
1721852482213,p,l,ABC
1721852483015,m,d,Congruent triangles
1721852483035,p,l,ADC
1721852486785,m,mi,
1721852486969,ml,mi,
1721852488654,h,t,triangle.ACD
1721852488933,h,t,triangle.ACD
1721852495638,h,t,triangle.ACD
1721852495802,h,t,triangle.ACD
1721852495803,h,s,segment.AC
1721852496418,c,s,segment.AC
1721852496666,h,t,triangle.ABC
1721852496935,h,t,triangle.ABC
1721852496936,h,s,segment.AB
1721852497001,h,s,segment.AB
1721852497584,h,s,segment.AB
1721852498368,c,s,segment.AB
1721852498585,h,t,triangle.ABC
1721852498651,h,t,triangle.ABC
1721852498652,h,s,segment.BC
1721852498753,h,s,segment.BC
1721852499086,h,s,segment.BC
1721852499486,c,s,segment.BC
1721852499651,h,t,triangle.ABC
1721852499718,h,t,triangle.ABC
1721852499752,h,t,triangle.ACD
1721852500267,h,t,triangle.ACD
1721852500268,h,s,segment.AD
1721852500671,c,s,segment.AD
1721852501101,h,t,triangle.ACD
1721852501269,h,t,triangle.ACD
1721852501269,h,po,C
1721852501286,h,po,C
1721852502287,h,t,triangle.ABC
1721852502337,h,t,triangle.ABC
1721852502838,c,s,segment.AC
1721852503253,h,s,segment.AC
1721852503619,c,s,segment.AC
1721852503920,m,mi,
1721852505256,ml,mi,
1721852505389,h,t,triangle.ABC
1721852505739,h,t,triangle.ABC
1721852506124,c,s,segment.AC
1721852506304,h,t,triangle.ABC
1721852506439,h,t,triangle.ABC
1721852507099,c,s,segment.BC
1721852507473,h,t,triangle.ABC
1721852507556,h,t,triangle.ABC
1721852507924,c,s,segment.AB
1721852508139,h,t,triangle.ABC
1721852508173,h,t,triangle.ABC
1721852508173,h,s,segment.AC
1721852508207,h,s,segment.AC
1721852508208,h,t,triangle.ACD
1721852508240,h,t,triangle.ACD
1721852508771,c,s,segment.AD
1721852508957,h,t,triangle.ACD
1721852509039,h,t,triangle.ACD
1721852509716,c,s,segment.CD
1721852511693,h,po,D
1721852511861,h,po,D
1721852512222,h,po,D
1721852512238,h,po,D
1721852514156,h,s,segment.CD
1721852514196,h,s,segment.CD
1721852514229,h,po,D
1721852515134,c,po,D
1721852516046,h,s,segment.CD
1721852516526,h,s,segment.CD
1721852518362,h,s,segment.CD
1721852518482,h,s,segment.CD
1721852518873,c,po,D
1721852519041,h,po,D
1721852519041,h,s,segment.CD
1721852519075,h,s,segment.CD
1721852520498,m,re,
1721852520628,ml,re,
1721852521112,m,re,
1721852521145,ml,re,
1721852551421,h,s,segment.AD
1721852551454,h,s,segment.AD
1721852551455,h,t,triangle.ACD
1721852551503,h,t,triangle.ACD
1721852551504,h,s,segment.AC
1721852551518,h,s,segment.AC
1721852551519,h,t,triangle.ABC
1721852551576,h,t,triangle.ABC
1721852551577,h,s,segment.BC
1721852551593,h,s,segment.BC
1721852552132,c,pr,s3
1721852553412,c,pr,s4
1721852590350,c,pr,s3
1721852593223,c,pr,s2
1721852597851,c,pr,s3
1721852599455,c,pr,s4
1721852613083,h,s,segment.BC
1721852613117,h,s,segment.BC
1721852613118,h,s,segment.CD
1721852613135,h,s,segment.CD
1721852614121,m,re,
1721852615049,ml,re,
1721852626700,c,qh,show
1721852638077,h,po,A
1721852638111,h,po,A
1721852638113,h,s,segment.AD
1721852638336,h,s,segment.AD
1721852638353,h,s,segment.AC
1721852638386,h,s,segment.AC
1721852638387,h,t,triangle.ABC
1721852638502,h,t,triangle.ABC
1721852638518,h,t,triangle.ABC
1721852638568,h,t,triangle.ABC
1721852638569,h,s,segment.AB
1721852638652,h,s,segment.AB
1721852639585,h,s,segment.AB
1721852639703,h,s,segment.AB
1721852639704,h,t,triangle.ABC
1721852639753,h,t,triangle.ABC
1721852639786,h,t,triangle.ABC
1721852639938,h,t,triangle.ABC
1721852639939,h,s,segment.AC
1721852640054,h,s,segment.AC
1721852640055,h,s,segment.AD
1721852640135,h,s,segment.AD
1721852640234,h,s,segment.AD
1721852640302,h,s,segment.AD
1721852640303,h,t,triangle.ACD
1721852640617,h,t,triangle.ACD
1721852640618,h,s,segment.CD
1721852641202,h,s,segment.CD
1721852641203,h,s,segment.BC
1721852641236,h,s,segment.BC
1721852641237,h,s,segment.AC
1721852642785,h,s,segment.AC
1721852642787,h,t,triangle.ACD
1721852642870,h,t,triangle.ACD
1721852642871,h,s,segment.AD
1721852642888,h,s,segment.AD
1721852646992,h,po,A
1721852647025,h,po,A
1721852647095,h,s,segment.AB
1721852647258,h,s,segment.AB
1721852647606,h,s,segment.AB
1721852647873,h,s,segment.AB
1721852647875,h,t,triangle.ABC
1721852647990,h,t,triangle.ABC
1721852647991,h,s,segment.AC
1721852648339,h,s,segment.AC
1721852648340,h,t,triangle.ACD
1721852648390,h,t,triangle.ACD
1721852648391,h,s,segment.AD
1721852648408,h,s,segment.AD
1721852652302,m,re,
1721852652536,ml,re,
1721852667490,h,t,triangle.ACD
1721852667523,h,t,triangle.ACD
1721852667524,h,s,segment.AC
1721852667542,h,s,segment.AC
1721852667542,h,t,triangle.ABC
1721852667573,h,t,triangle.ABC
1721852667606,h,s,segment.AB
1721852667649,h,s,segment.AB
1721852677870,c,pr,s1
1721852678982,a,pr,s2
1721852679986,a,pr,s3
1721852682752,c,pr,s1
1721852683699,a,pr,s2
1721852684854,a,pr,s3
1721852685761,a,pr,s4
1721852687525,h,s,segment.BC
1721852687543,h,s,segment.BC
1721852687544,h,t,triangle.ABC
1721852687577,h,t,triangle.ABC
1721852687578,h,t,triangle.ACD
1721852687641,h,t,triangle.ACD
1721852687643,h,s,segment.CD
